"TPLName","Alpine","Plant category","Life form","Lifespan","Reproduction frequency","Dormancy","Embryo","Seed.mass","Source","Macroregion","Region","Accession","Dish","Scarification","GA3","Stratification","Stratification_Y_N","Light","Alternating","Tmean","Tdif","Temperature","Sown","Germinated","Germinable","MGT","MGR","UNC","SYN"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","5","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,"8.375","0.119402985074627","0.543564443199596","0.76666666666666705"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","6","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",14,20,NA,NA,NA,NA
"Poa hiemata","Generalist","Grass","H","perennial","polycarp",NA,0.12,"0.356","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","None","N","Y","N",2.5,0,"0C","20",1,1,NA,NA,NA,NA
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Satyanti","Australia","Australian Alps","Australia 792204 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",0,17,"NA","NA","0","NA"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","2","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",13,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Hotham NA NA","11","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,20,NA,NA,NA,NA
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia KB2 NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",3,15,"33.3333333333333","0.03","1.58496250072116","0"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Howitt NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",9,12,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bogong NA NA","11","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,19,"7.7222222222222197","0.12949640287769801","1.13496997460394","0.49673202614379097"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","7","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",18,18,"8.8888888888888893","0.1125","0.803071727324102","0.69281045751633996"
"Agropyron velutinum","Generalist","Grass","H","perennial","polycarp",NA,0.2,"5.2359999999999998","Satyanti","Australia","Australian Alps","Australia 783423 NA NA","3","N","Y","None","N","Y","Y",20,10,"20C","25",11,11,"14","7.1428571428571397E-2","0.865856617457224","0.65454545454545499"
"Craspedia alba","Strict","Herb","H","perennial","polycarp",NA,1,"0.59306470588235305","Satyanti","Australia","Australian Alps","Australia 770451 NA NA","3","N","Y","None","N","Y","Y",20,10,"20C","25",13,20,"21","4.7619047619047603E-2","1.7604950297662","0.269230769230769"
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","None","N","Y","N",20,0,"20C","20",0,16,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","14","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,18,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",16,18,"13.75","7.2727272727272696E-2","1.18627812445913","0.55833333333333302"
"Brachyscome stolonifera","Strict","Herb","H","perennial","polycarp",NA,1,"0.37640400000000002","Satyanti","Australia","Australian Alps","Australia 792161 NA NA","1","N","N","None","N","Y","Y",20,10,"20C","25",3,8,"16.3333333333333","6.1224489795918401E-2","0.91829583405449","0.33333333333333298"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","Cold","Y","Y","N",25,0,"25C","20",0,19,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia HWP NA NA","10","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",13,20,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,19,"18.2222222222222","5.4878048780487798E-2","1.89106111207265","0.24183006535947699"
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","N",20,0,"20C","20",14,20,NA,NA,NA,NA
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","N",20,0,"20C","20",14,20,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Stirling NA NA","2","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",20,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia HWP NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",13,20,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",14,16,"14.5","6.8965517241379296E-2","1.48383170684469","0.41758241758241799"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia McKay NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",9,20,"8.7777777777777803","0.113924050632911","1.65774272650489","0.30555555555555602"
"Craspedia alba","Strict","Herb","H","perennial","polycarp",NA,1,"0.59306470588235305","Satyanti","Australia","Australian Alps","Australia 770451 NA NA","1","N","N","None","N","Y","Y",20,10,"20C","25",6,15,"14","7.1428571428571397E-2","1.25162916738782","0.4"
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia Speculation NA NA","7","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",9,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","12","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",14,20,NA,NA,NA,NA
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","2","N","N","None","N","Y","N",25,0,"25C","20",6,18,NA,NA,NA,NA
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","None","N","Y","N",2.5,0,"0C","20",15,20,NA,NA,NA,NA
"Agropyron velutinum","Generalist","Grass","H","perennial","polycarp",NA,0.2,"5.2359999999999998","Satyanti","Australia","Australian Alps","Australia 783423 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",19,21,"26.894736842105299","3.7181996086105701E-2","2.18680859456305","0.22222222222222199"
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Stirling NA NA","3","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",18,20,"21.7777777777778","4.5918367346938799E-2","1.49553802991911","0.33986928104575198"
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","2","N","N","Cold","Y","Y","N",10,0,"10C","20",16,19,NA,NA,NA,NA
"Agropyron velutinum","Generalist","Grass","H","perennial","polycarp",NA,0.2,"5.2359999999999998","Satyanti","Australia","Australian Alps","Australia 783423 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",21,24,"24","4.1666666666666699E-2","0.988180837004676","0.65238095238095195"
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",10,0,"10C","20",15,19,NA,NA,NA,NA
"Microseris lanceolata","Generalist","Herb","H","perennial","polycarp","PD",1,"2.08","Venn","Australia","Australian Alps","Australia Magdala NA NA","1","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",20,20,"10.4","9.6153846153846104E-2","1.40600757931233","0.384210526315789"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Stirling NA NA","7","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",10,19,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","10","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,17,"17.647058823529399","5.6666666666666698E-2","2.41896119556797","0.154411764705882"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bluff NA NA","14","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",18,19,"10.5555555555556","9.4736842105263203E-2","1.82887136325244","0.30718954248365998"
"Craspedia alba","Strict","Herb","H","perennial","polycarp",NA,1,"0.59306470588235305","Satyanti","Australia","Australian Alps","Australia 770451 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",4,20,"21","4.7619047619047603E-2","1.5","0.16666666666666699"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Bogong NA NA","3","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Stirling NA NA","8","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",13,20,"10.5","9.5238095238095205E-2","0.650022421648354","0.69696969696969702"
