"TPLName","Alpine","Plant category","Life form","Lifespan","Reproduction frequency","Dormancy","Embryo","Seed.mass","Source","Macroregion","Region","Accession","Dish","Scarification","GA3","Stratification","Stratification_Y_N","Light","Alternating","Tmean","Tdif","Temperature","Sown","Germinated","Germinable","MGT","MGR","UNC","SYN"
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-04  30T 353919 4772295 NA","d1","N","N","Cold","Y","Y","Y",9,10,"10C","25",5,25,NA,NA,NA,NA
"Silene ciliata","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.621213836477987","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-04  30T 351075 4782733 NA","d2","N","N","Cold","Y","Y","Y",25,10,"25C","25",17,23,"11.307692307692299","8.8435374149659907E-2","1.48852529489775","0.39743589743589702"
"Silene ciliata","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.621213836477987","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-04  30T 351075 4782733 NA","d4","N","N","None","N","N","N",3,0,"5C","25",2,21,NA,NA,NA,NA
"Scorzoneroides cantabrica","Strict","Herb","H","perennial","polycarp",NA,1,"0.88475000000000004","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280813-04  30T 340203 4773152 NA","d3","N","N","None","N","Y","Y",17,10,"15C","25",11,14,NA,NA,NA,NA
"Silene ciliata","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.621213836477987","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-04  30T 351075 4782733 NA","d1","N","N","None","N","N","N",3,0,"5C","25",2,25,NA,NA,NA,NA
"Festuca paniculata","Strict","Grass","H","perennial","polycarp","PD",0.2,"5.192","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-05  30T 339000 4781000 NA","d4","N","N","None","N","N","N",3,0,"5C","25",7,8,NA,NA,NA,NA
"Festuca paniculata","Strict","Grass","H","perennial","polycarp","PD",0.2,"5.192","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-05  30T 339000 4781000 NA","d2","N","N","None","N","N","N",3,0,"5C","25",12,12,NA,NA,NA,NA
"Festuca eskia","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.2925727272727301","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 230812-08  30T 345477 4774356 NA","d4","N","N","None","N","Y","Y",25,10,"25C","25",2,16,"10.5","9.5238095238095205E-2","1","0"
"Rumex suffruticosus","Strict","Herb","H","perennial","polycarp",NA,0.5,"1.1488","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 230812-02  30T 347003 4774338 NA","d1","N","N","None","N","Y","Y",9,10,"10C","25",1,21,"14","7.1428571428571397E-2","0","NA"
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d3","N","N","None","N","N","N",3,0,"5C","25",12,22,NA,NA,NA,NA
"Festuca paniculata","Strict","Grass","H","perennial","polycarp","PD",0.2,"5.192","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-05  30T 339000 4781000 NA","d3","N","N","None","N","Y","Y",17,10,"15C","25",1,16,"NA","NA","0","NA"
"Jurinea humilis","Generalist","Herb","H","perennial","polycarp",NA,1,"5.5759","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 230812-07  30T 345477 4774356 NA","d4","N","N","None","N","Y","Y",9,10,"10C","25",19,24,"14.7368421052632","6.7857142857142894E-2","1.18973191682073","0.497076023391813"
"Jurinea humilis","Generalist","Herb","H","perennial","polycarp",NA,1,"5.5759","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 230812-07  30T 345477 4774356 NA","d4","N","N","Cold","Y","Y","Y",17,10,"15C","25",13,18,"10.181818181818199","9.8214285714285698E-2","1.24067053167669","0.43636363636363601"
"Festuca paniculata","Strict","Grass","H","perennial","polycarp","PD",0.2,"5.192","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-05  30T 339000 4781000 NA","d2","N","N","None","N","Y","Y",25,10,"25C","25",0,5,"NA","NA","0","NA"
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-05  30T 353889 4772278 NA","d4","N","N","None","N","Y","Y",25,10,"25C","25",1,12,"NA","NA","0","NA"
"Helictotrichon marginatum","Generalist","Grass","H","perennial","polycarp",NA,0.2,"1.9623999999999999","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-06  30T 339000 4781000 NA","d4","N","N","None","N","N","N",3,0,"5C","25",2,7,NA,NA,NA,NA
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-05  30T 353889 4772278 NA","d2","N","N","Cold","Y","Y","Y",17,10,"15C","25",0,15,"NA","NA","0","NA"
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-05  30T 353889 4772278 NA","d3","N","N","Cold","Y","Y","Y",17,10,"15C","25",0,20,"14","7.1428571428571397E-2","0","NA"
"Helictotrichon marginatum","Generalist","Grass","H","perennial","polycarp",NA,0.2,"1.9623999999999999","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-06  30T 339000 4781000 NA","d3","N","N","Cold","Y","Y","Y",17,10,"15C","25",12,15,"16.3333333333333","6.1224489795918401E-2","1.45914791702724","0.266666666666667"
"Helictotrichon marginatum","Generalist","Grass","H","perennial","polycarp",NA,0.2,"1.9623999999999999","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-06  30T 339000 4781000 NA","d4","N","N","Cold","Y","Y","Y",17,10,"15C","25",5,11,"NA","NA","0","NA"
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-05  30T 353889 4772278 NA","d3","N","N","None","N","N","N",3,0,"5C","25",0,17,NA,NA,NA,NA
"Helictotrichon marginatum","Generalist","Grass","H","perennial","polycarp",NA,0.2,"1.9623999999999999","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310712-06  30T 339000 4781000 NA","d4","N","N","None","N","Y","Y",17,10,"15C","25",5,6,"22.4","4.4642857142857102E-2","0.721928094887362","0.6"
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-05  30T 353889 4772278 NA","d2","N","N","None","N","Y","Y",9,10,"10C","25",0,21,"NA","NA","0","NA"
"Silene ciliata","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.621213836477987","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-04  30T 351075 4782733 NA","d2","N","N","None","N","N","N",3,0,"5C","25",4,20,NA,NA,NA,NA
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-05  30T 353889 4772278 NA","d3","N","N","Cold","Y","Y","Y",25,10,"25C","25",0,17,"NA","NA","0","NA"
"Saxifraga oppositifolia","Strict","Herb","CH","perennial","polycarp","MPD",0.33,"0.11","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-05  30T 353889 4772278 NA","d4","N","N","Cold","Y","Y","Y",9,10,"10C","25",0,17,"NA","NA","0","NA"
"Silene ciliata","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.621213836477987","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-04  30T 351075 4782733 NA","d2","N","N","None","N","Y","Y",17,10,"15C","25",12,23,"13.4166666666667","7.4534161490683204E-2","1.28067212952089","0.40909090909090901"
"Silene ciliata","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.621213836477987","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-04  30T 351075 4782733 NA","d1","N","N","None","N","Y","Y",25,10,"25C","25",10,23,"14.7","6.8027210884353706E-2","1.84643934467102","0.22222222222222199"
"Scorzoneroides cantabrica","Strict","Herb","H","perennial","polycarp",NA,1,"0.88475000000000004","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280813-04  30T 340203 4773152 NA","d3","N","N","Cold","Y","Y","Y",9,10,"10C","25",11,16,NA,NA,NA,NA
"Arenaria purpurascens","Strict","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-03  30T 351075 4782733 NA","d2","N","N","None","N","N","N",3,0,"5C","25",2,23,NA,NA,NA,NA
"Persicaria vivipara","Strict","Herb","H","perennial","polycarp",NA,0.68,"1.878","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280812-10  30T 351719 4784494 NA","d2","N","N","None","N","N","N",3,0,"5C","25",3,4,NA,NA,NA,NA
"Persicaria vivipara","Strict","Herb","H","perennial","polycarp",NA,0.68,"1.878","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280812-10  30T 351719 4784494 NA","d2","N","N","None","N","N","N",3,0,"5C","25",1,2,NA,NA,NA,NA
"Scorzoneroides cantabrica","Strict","Herb","H","perennial","polycarp",NA,1,"0.88475000000000004","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280813-04  30T 340203 4773152 NA","d3","N","N","None","N","N","N",3,0,"5C","25",0,16,NA,NA,NA,NA
"Scorzoneroides cantabrica","Strict","Herb","H","perennial","polycarp",NA,1,"0.88475000000000004","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280813-04  30T 340203 4773152 NA","d2","N","N","Cold","Y","Y","Y",9,10,"10C","25",4,10,NA,NA,NA,NA
"Persicaria vivipara","Strict","Herb","H","perennial","polycarp",NA,0.68,"1.878","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280812-10  30T 351719 4784494 NA","d4","N","N","None","N","Y","Y",17,10,"15C","25",20,22,"18.55","5.3908355795148202E-2","0.934068055375491","0.52105263157894699"
"Arenaria purpurascens","Strict","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-03  30T 351075 4782733 NA","d1","N","N","None","N","N","N",3,0,"5C","25",1,24,NA,NA,NA,NA
"Arenaria purpurascens","Strict","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-03  30T 351075 4782733 NA","d2","N","N","Cold","Y","Y","Y",25,10,"25C","25",7,23,"11.2","8.9285714285714302E-2","0.970950594454669","0.4"
"Arenaria purpurascens","Strict","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-03  30T 351075 4782733 NA","d2","N","N","None","N","N","N",3,0,"5C","25",2,24,NA,NA,NA,NA
"Carex asturica","Generalist","Grass","H, G","perennial","polycarp",NA,0.06,"4.4069","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-02  30T 356136 4770887 NA","d4","N","N","Cold","Y","Y","Y",9,10,"10C","25",0,25,"NA","NA","0","NA"
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d2","N","N","None","N","N","N",3,0,"5C","25",3,25,NA,NA,NA,NA
"Persicaria vivipara","Strict","Herb","H","perennial","polycarp",NA,0.68,"1.878","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280812-10  30T 351719 4784494 NA","d2","N","N","None","N","Y","Y",9,10,"10C","25",16,19,"21.875","4.57142857142857E-2","1.2987949406954","0.43333333333333302"
"Persicaria vivipara","Strict","Herb","H","perennial","polycarp",NA,0.68,"1.878","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280812-10  30T 351719 4784494 NA","d4","N","N","Cold","Y","Y","Y",17,10,"15C","25",6,7,"NA","NA","0","NA"
"Persicaria vivipara","Strict","Herb","H","perennial","polycarp",NA,0.68,"1.878","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280812-10  30T 351719 4784494 NA","d2","N","N","Cold","Y","Y","Y",25,10,"25C","25",3,4,"NA","NA","0","NA"
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-04  30T 353919 4772295 NA","d1","N","N","Cold","Y","Y","Y",25,10,"25C","25",13,23,NA,NA,NA,NA
"Festuca eskia","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.2925727272727301","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 230812-08  30T 345477 4774356 NA","d4","N","N","None","N","N","N",3,0,"5C","25",21,23,NA,NA,NA,NA
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d3","N","N","None","N","Y","Y",9,10,"10C","25",12,21,"15.75","6.3492063492063502E-2","1.28067212952089","0.40909090909090901"
"Festuca eskia","Strict","Grass","H","perennial","polycarp",NA,0.2,"1.2925727272727301","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 230812-08  30T 345477 4774356 NA","d1","N","N","None","N","N","N",3,0,"5C","25",19,22,NA,NA,NA,NA
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-04  30T 353919 4772295 NA","d2","N","N","Cold","Y","Y","Y",17,10,"15C","25",15,24,NA,NA,NA,NA
"Jasione cavanillesii","Strict","Herb","H","perennial","polycarp",NA,0.22,"0.096","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-04  30T 351595 4783197 NA","d1","N","N","None","N","N","N",3,0,"5C","25",1,25,NA,NA,NA,NA
"Jasione cavanillesii","Strict","Herb","H","perennial","polycarp",NA,0.22,"0.096","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-04  30T 351595 4783197 NA","d4","N","N","None","N","Y","Y",17,10,"15C","25",1,25,"14","7.1428571428571397E-2","0","NA"
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d4","N","N","None","N","N","N",3,0,"5C","25",9,18,NA,NA,NA,NA
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d2","N","N","None","N","N","N",3,0,"5C","25",7,16,NA,NA,NA,NA
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-04  30T 353919 4772295 NA","d4","N","N","Cold","Y","Y","Y",9,10,"10C","25",5,22,NA,NA,NA,NA
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d1","N","N","None","N","Y","Y",25,10,"25C","25",0,14,"NA","NA","0","NA"
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d2","N","N","None","N","Y","Y",9,10,"10C","25",0,24,"NA","NA","0","NA"
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d2","N","N","None","N","N","N",3,0,"5C","25",0,24,NA,NA,NA,NA
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d4","N","N","Cold","Y","Y","Y",25,10,"25C","25",0,24,"NA","NA","0","NA"
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d4","N","N","None","N","N","N",3,0,"5C","25",0,24,NA,NA,NA,NA
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d1","N","N","None","N","N","N",3,0,"5C","25",1,24,NA,NA,NA,NA
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d3","N","N","None","N","N","N",3,0,"5C","25",2,22,NA,NA,NA,NA
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d2","N","N","None","N","N","N",3,0,"5C","25",6,24,NA,NA,NA,NA
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d4","N","N","None","N","N","N",3,0,"5C","25",3,23,NA,NA,NA,NA
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d3","N","N","Cold","Y","Y","Y",9,10,"10C","25",6,23,"16.3333333333333","6.1224489795918401E-2","1.58496250072116","0"
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d3","N","N","None","N","N","N",3,0,"5C","25",4,21,NA,NA,NA,NA
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d1","N","N","None","N","N","N",3,0,"5C","25",1,25,NA,NA,NA,NA
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d4","N","N","Cold","Y","Y","Y",9,10,"10C","25",1,24,"NA","NA","0","NA"
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d4","N","N","None","N","Y","Y",17,10,"15C","25",0,23,"NA","NA","0","NA"
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d2","N","N","Cold","Y","Y","Y",25,10,"25C","25",24,24,"7","0.14285714285714299","0","1"
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d1","N","N","None","N","N","N",3,0,"5C","25",3,23,NA,NA,NA,NA
"Armeria cantabrica","Strict","Herb","H","perennial","polycarp",NA,0.95,"1.7292","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 140813-04  30T 371113 4761492 NA","d4","N","N","None","N","Y","Y",9,10,"10C","25",16,20,"15.75","6.3492063492063502E-2","0.811278124459133","0.6"
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d3","N","N","None","N","Y","Y",25,10,"25C","25",24,24,"7.2916666666666696","0.13714285714285701","0.249882292833185","0.91666666666666696"
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d2","N","N","None","N","Y","Y",25,10,"25C","25",21,22,"7.3333333333333304","0.13636363636363599","0.276195427647939","0.90476190476190499"
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d4","N","N","Cold","Y","Y","Y",25,10,"25C","25",14,22,"18.375","5.4421768707482998E-2","1.90563906222957","0.17857142857142899"
"Carex sempervirens","Generalist","Grass","H","perennial","polycarp","PD",0.06,"1.08","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-09  30T 349822 4778962 NA","d2","N","N","None","N","Y","Y",9,10,"10C","25",0,22,"NA","NA","0","NA"
"Teesdaliopsis conferta","Strict","Herb","H","perennial","polycarp",NA,1,"1.6275999999999999","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 310713-03  29T 684469 4681945 NA","d4","N","N","Cold","Y","Y","Y",17,10,"15C","25",25,25,"NA","NA","0","NA"
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d4","N","N","None","N","N","N",3,0,"5C","25",6,22,NA,NA,NA,NA
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d4","N","N","Cold","Y","Y","Y",9,10,"10C","25",9,22,"16.3333333333333","6.1224489795918401E-2","0.650022421648354","0.66666666666666696"
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d4","N","N","Cold","Y","Y","Y",25,10,"25C","25",22,23,"7","0.14285714285714299","0","1"
"Fritillaria legionensis","Strict","Herb","G","perennial","polycarp",NA,0.06,"3.3138684210526299","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 300813-01  29T 708700 4694227 NA","d4","N","N","None","N","Y","Y",25,10,"25C","25",0,11,"NA","NA","0","NA"
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d2","N","N","Cold","Y","Y","Y",17,10,"15C","25",21,21,"8.2352941176470598","0.121428571428571","0.64020643336047","0.77205882352941202"
"Kobresia myosuroides","Strict","Grass","H","perennial","polycarp","PD",0.08,"1.4343","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 220812-13  30T 349976 4778864 NA","d2","N","N","Cold","Y","Y","Y",9,10,"10C","25",5,22,"NA","NA","0","NA"
"Silene acaulis","Strict","Herb","CH","perennial","polycarp","PD",0.61,"0.3596","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 210812-01  30T 351075 4782733 NA","d1","N","N","Cold","Y","Y","Y",25,10,"25C","25",21,21,"7","0.14285714285714299","0","1"
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-04  30T 353919 4772295 NA","d3","N","N","None","N","N","N",3,0,"5C","25",0,24,NA,NA,NA,NA
"Persicaria vivipara","Strict","Herb","H","perennial","polycarp",NA,0.68,"1.878","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 280812-10  30T 351719 4784494 NA","d3","N","N","Cold","Y","Y","Y",25,10,"25C","25",6,7,"NA","NA","0","NA"
"Androsace villosa","Generalist","Herb","CH","perennial","polycarp",NA,0.21,"1.0782","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-02  30T 351457 4785493 NA","d3","N","N","Cold","Y","Y","Y",9,10,"10C","25",1,25,"NA","NA","0","NA"
"Jasione cavanillesii","Strict","Herb","H","perennial","polycarp",NA,0.22,"0.096","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-04  30T 351595 4783197 NA","d3","N","N","None","N","Y","Y",17,10,"15C","25",0,25,"NA","NA","0","NA"
"Silene suecica","Strict","Herb","H","perennial","polycarp",NA,0.61,"0.0695","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-04  30T 353919 4772295 NA","d3","N","N","Cold","Y","Y","Y",9,10,"10C","25",6,25,NA,NA,NA,NA
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d3","N","N","None","N","N","N",3,0,"5C","25",10,20,NA,NA,NA,NA
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d4","N","N","None","N","Y","Y",17,10,"15C","25",21,23,"18.6666666666667","5.3571428571428603E-2","1.35666951983331","0.39047619047618998"
"Arenaria erinacea","Generalist","Herb","CH","perennial","polycarp",NA,0.61,"0.216236363636364","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 180913-02  30T 351628 4781356 NA","d2","N","N","Cold","Y","Y","Y",17,10,"15C","25",7,16,"NA","NA","0","NA"
"Jasione cavanillesii","Strict","Herb","H","perennial","polycarp",NA,0.22,"0.096","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-04  30T 351595 4783197 NA","d4","N","N","None","N","Y","Y",9,10,"10C","25",0,25,"NA","NA","0","NA"
"Jasione cavanillesii","Strict","Herb","H","perennial","polycarp",NA,0.22,"0.096","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-04  30T 351595 4783197 NA","d2","N","N","None","N","N","N",3,0,"5C","25",1,24,NA,NA,NA,NA
"Jasione cavanillesii","Strict","Herb","H","perennial","polycarp",NA,0.22,"0.096","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 290812-04  30T 351595 4783197 NA","d2","N","N","None","N","Y","Y",17,10,"15C","25",0,24,"NA","NA","0","NA"
"Carex asturica","Generalist","Grass","H, G","perennial","polycarp",NA,0.06,"4.4069","Fernández-Pascual Plant Biol","Europe","Cantabrian Mountains","Spain 010812-02  30T 356136 4770887 NA","d4","N","N","None","N","N","N",3,0,"5C","25",0,22,NA,NA,NA,NA
