"Taxon","TPLName","Familia","Alpine","Source","Country"
"Aconitum nasutum","Aconitum nasutum","Ranunculaceae",NA,"Enscobase","Georgia"
"Aconitum talassicum","Aconitum talassicum","Ranunculaceae",NA,"Enscobase","Russia"
"Adenophora liliifolia","Adenophora liliifolia","Campanulaceae",NA,"Enscobase","Italy"
"Adenostyles alliariae","Adenostyles alliariae","Compositae",NA,"Enscobase","Slovakia"
"Alchemilla acutiloba","Alchemilla acutiloba","Rosaceae",NA,"Enscobase","United-Kingdom"
"Alchemilla alpina","Alchemilla alpina","Rosaceae",NA,"Enscobase","United-Kingdom"
"Alchemilla glabra","Alchemilla glabra","Rosaceae","Lowland","Enscobase","United-Kingdom"
"Alopecurus vaginatus","Alopecurus vaginatus","Poaceae",NA,"Enscobase","Georgia"
"Alyssoides utriculata","Alyssoides utriculata","Brassicaceae",NA,"Enscobase","Greece"
"Alyssoides utriculata","Alyssoides utriculata","Brassicaceae",NA,"Enscobase","Italy"
"Amberboa glauca","Amberboa glauca","Compositae",NA,"Enscobase","Georgia"
"Androsace barbulata","Androsace villosa","Primulaceae","Generalist","Enscobase","Georgia"
"Anemone narcissifolia","Anemone narcissiflora","Ranunculaceae",NA,"Enscobase","France"
"Anemone narcissifolia","Anemone narcissiflora","Ranunculaceae",NA,"Enscobase","Italy"
"Anemone narcissifolia","Anemone narcissiflora","Ranunculaceae",NA,"Enscobase","Poland"
"Anthemis cretica","Anthemis cretica","Compositae","Lowland","Enscobase","Greece"
"Aquilegia atrata","Aquilegia atrata","Ranunculaceae",NA,"Enscobase","France"
"Aquilegia atrata","Aquilegia atrata","Ranunculaceae",NA,"Enscobase","Italy"
"Aquilegia einseleana","Aquilegia einseleana","Ranunculaceae","Lowland","Enscobase","Austria"
"Aquilegia einseleana","Aquilegia einseleana","Ranunculaceae","Lowland","Enscobase","Italy"
"Aquilegia einseleana","Aquilegia einseleana","Ranunculaceae","Lowland","Mondoni","Italy"
"Arenaria norvegica","Arenaria norvegica","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Arenaria norvegica&anglica","Arenaria norvegica","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Artemisia eriantha","Artemisia umbelliformis","Compositae","Strict","Enscobase","Poland"
"Aruncus dioicus","Aruncus dioicus","Rosaceae",NA,"Enscobase","Poland"
"Aster ibericus","Aster amellus","Compositae",NA,"Enscobase","Georgia"
"Astragalus australis","Astragalus australis","Leguminosae",NA,"Enscobase","Poland"
"Astragalus cyri","Astragalus cyri","Leguminosae",NA,"Enscobase","Georgia"
"Astragalus penduliflorus","Astragalus penduliflorus","Leguminosae",NA,"Enscobase","Poland"
"Aubrieta thessala","Aubrieta thessala","Brassicaceae",NA,"Enscobase","Greece"
"Betula nana","Betula nana","Betulaceae",NA,"Enscobase","United-Kingdom"
"Biebersteinia orphanidis","Biebersteinia orphanidis","Biebersteiniaceae",NA,"Enscobase","Greece"
"Bupleurum marschallianum","Bupleurum marschallianum","Apiaceae",NA,"Enscobase","Georgia"
"Calamagrostis arundinacea","Calamagrostis arundinacea","Poaceae","Lowland","Enscobase","Italy"
"Calamagrostis purpurea","Calamagrostis purpurea","Poaceae",NA,"Enscobase","United-Kingdom"
"Campanula alliariifolia","Campanula alliariifolia","Campanulaceae",NA,"Enscobase","Georgia"
"Campanula hemschinica","Campanula olympica","Campanulaceae",NA,"Enscobase","Georgia"
"Campanula jacquinii","Campanula jacquinii","Campanulaceae",NA,"Enscobase","Greece"
"Campanula latifolia","Campanula latifolia","Campanulaceae",NA,"Enscobase","Austria"
"Campanula latifolia","Campanula latifolia","Campanulaceae",NA,"Enscobase","United-Kingdom"
"Campanula raineri","Campanula raineri","Campanulaceae","Lowland","Enscobase","Italy"
"Campanula raineri","Campanula raineri","Campanulaceae","Lowland","Mondoni","Italy"
"Campanula sarmatica","Campanula sarmatica","Campanulaceae",NA,"Enscobase","Georgia"
"Campanula serrata","Campanula serrata","Campanulaceae",NA,"Enscobase","Poland"
"Carduus argemone","Carduus defloratus","Compositae","Lowland","Enscobase","United-Kingdom"
"Carex buxbaumii","Carex buxbaumii","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carex capillaris","Carex capillaris","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carex lachenalii","Carex lachenalii","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carex microglochin","Carex microglochin","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carex pulicaris","Carex pulicaris","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carex rariflora","Carex rariflora","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carex rostrata","Carex rostrata","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carex saxatilis","Carex saxatilis","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Carlina biebersteinii","Carlina biebersteinii","Compositae",NA,"Enscobase","Hungary"
"Centaurea reflexa","Centaurea reflexa","Compositae",NA,"Enscobase","Georgia"
"Cerastium alpinum","Cerastium alpinum","Caryophyllaceae",NA,"Enscobase","Poland"
"Cerastium alpinum","Cerastium alpinum","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Cerastium arcticum","Cerastium arcticum","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Cerastium argenteum","Cerastium argenteum","Caryophyllaceae",NA,"Enscobase","Georgia"
"Cerastium cerastoides","Cerastium cerastoides","Caryophyllaceae",NA,"Enscobase","Italy"
"Cerastium cerastoides","Cerastium cerastoides","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Cochlearia tatrae","Cochlearia tatrae","Brassicaceae",NA,"Enscobase","Poland"
"Comarum palustre","Comarum palustre","Rosaceae",NA,"Enscobase","United-Kingdom"
"Comarum palustre","Comarum palustre","Rosaceae",NA,"Enscobase","Belgium"
"Comarum palustre","Comarum palustre","Rosaceae",NA,"Enscobase","Sweden"
"Cortusa matthioli","Primula matthioli","Primulaceae","Lowland","Enscobase","Austria"
"Cortusa matthioli","Primula matthioli","Primulaceae","Lowland","Enscobase","Poland"
"Crepis sibirica","Crepis sibirica","Compositae",NA,"Enscobase","Russia"
"Delphinium cyphoplectrum","Delphinium cyphoplectrum","Ranunculaceae",NA,"Enscobase","Georgia"
"Delphinium elatum","Delphinium elatum","Ranunculaceae",NA,"Enscobase","Russia"
"Dianthus barbatus","Dianthus barbatus","Caryophyllaceae",NA,"Enscobase","Poland"
"Dianthus barbatus","Dianthus barbatus","Caryophyllaceae",NA,"Enscobase","Croatia"
"Dianthus furcatus","Dianthus furcatus","Caryophyllaceae",NA,"Enscobase","Spain"
"Dianthus orientalis","Dianthus orientalis","Caryophyllaceae",NA,"Enscobase","Georgia"
"Dianthus plumarius","Dianthus plumarius","Caryophyllaceae",NA,"Enscobase","Poland"
"Doronicum austriacum","Doronicum austriacum","Compositae",NA,"Enscobase","Poland"
"Draba aizoides","Draba aizoides","Brassicaceae","Lowland","Enscobase","United-Kingdom"
"Draba norvegica","Draba norvegica","Brassicaceae",NA,"Enscobase","United-Kingdom"
"Eleocharis quinqueflora","Eleocharis quinqueflora","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Elymus caninus","Elymus caninus","Poaceae",NA,"Enscobase","Italy"
"Elymus caninus","Elymus caninus","Poaceae",NA,"Enscobase","United-Kingdom"
"Epilobium alpestre","Epilobium alpestre","Onagraceae","Lowland","Enscobase","Slovakia"
"Epilobium alpestre","Epilobium alpestre","Onagraceae","Lowland","Mondoni","Italy"
"Epilobium alsinifolium","Epilobium alsinifolium","Onagraceae",NA,"Enscobase","United-Kingdom"
"Eriophorum latifolium","Eriophorum latifolium","Cyperaceae",NA,"Enscobase","Belgium"
"Erysimum pieninicum","Erysimum hungaricum","Brassicaceae",NA,"Enscobase","Poland"
"Festuca altissima","Festuca altissima","Poaceae",NA,"Enscobase","Italy"
"Festuca altissima","Festuca altissima","Poaceae",NA,"Enscobase","United-Kingdom"
"Festuca melanopsis","Festuca violacea","Poaceae","Strict","Enscobase","Italy"
"Festuca melanopsis","Festuca violacea","Poaceae","Strict","Mondoni","Italy"
"Festuca nigrescens","Festuca nigrescens","Poaceae","Lowland","Enscobase","Italy"
"Festuca nigrescens","Festuca nigrescens","Poaceae","Lowland","Enscobase","Germany"
"Festuca nigrescens","Festuca nigrescens","Poaceae","Lowland","Tudela","Italy"
"Festuca nigrescens","Festuca nigrescens","Poaceae","Lowland","Mondoni","Italy"
"Galium articulatum","Galium rubioides","Rubiaceae",NA,"Enscobase","Georgia"
"Gentiana burseri","Gentiana burseri","Gentianaceae",NA,"Enscobase","Belgium"
"Gentiana depressa","Gentiana depressa","Gentianaceae",NA,"Enscobase","Hungary"
"Gentiana depressa","Gentiana depressa","Gentianaceae",NA,"Enscobase","Russia"
"Gentiana grandiflora","Gentiana grandiflora","Gentianaceae",NA,"Enscobase","Germany"
"Gentiana rockhillii","Gentiana haynaldii","Gentianaceae",NA,"Enscobase","Germany"
"Gentiana septemfida","Gentiana septemfida","Gentianaceae",NA,"Enscobase","Georgia"
"Gentiana wattenii","Gentiana waltonii","Gentianaceae",NA,"Enscobase","Austria"
"Gentianella amarella","Gentianella amarella","Gentianaceae",NA,"Enscobase","United-Kingdom"
"Geum pyrenaicum","Geum pyrenaicum","Rosaceae",NA,"Enscobase","Spain"
"Geum rivale","Geum rivale","Rosaceae",NA,"Enscobase","United-Kingdom"
"Geum rivale","Geum rivale","Rosaceae",NA,"Enscobase","Belgium"
"Glyceria notata","Glyceria notata","Poaceae",NA,"Enscobase","Germany"
"Gypsophila elegans","Gypsophila elegans","Caryophyllaceae",NA,"Enscobase","Georgia"
"Heliotropium ellipticum","Heliotropium ellipticum","Boraginaceae",NA,"Enscobase","Georgia"
"Herminium monorchis","Herminium monorchis","Orchidaceae",NA,"Enscobase","United-Kingdom"
"Hieracium attenuatifolium","Hieracium attenuatifolium","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium backhousei","Hieracium backhousei","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium calenduliflorum","Hieracium calenduliflorum","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium calvum","Hieracium calvum","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium completum","Hieracium completum","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium eximium","Hieracium eximium","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium globosiflorum","Hieracium globosiflorum","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium graniticola","Hieracium graniticola","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium hanburyi","Hieracium hanburyi","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium larigense","Hieracium larigense","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium leptodon","Hieracium leptodon","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium macrocarpum","Hieracium macrocarpum","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium milesii","Hieracium milesii","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium pensum","Hieracium pensum","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium perscitum","Hieracium perscitum","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium snowdoniense","Hieracium snowdoniense","Compositae",NA,"Enscobase","United-Kingdom"
"Hieracium stewartii","Hieracium stewartii","Compositae",NA,"Enscobase","Ireland"
"Hieracium zygophorum","Hieracium zygophorum","Compositae",NA,"Enscobase","United-Kingdom"
"Holosteum marginatum","Holosteum marginatum","Caryophyllaceae",NA,"Enscobase","Georgia"
"Horminum pyrenaicum","Horminum pyrenaicum","Lamiaceae","Lowland","Enscobase","France"
"Horminum pyrenaicum","Horminum pyrenaicum","Lamiaceae","Lowland","Tudela","Italy"
"Hyssopus angustifolius","Hyssopus officinalis","Lamiaceae",NA,"Enscobase","Georgia"
"Juncus balticus","Juncus balticus","Juncaceae",NA,"Enscobase","United-Kingdom"
"Juncus biglumis","Juncus biglumis","Juncaceae",NA,"Enscobase","United-Kingdom"
"Juncus castaneus","Juncus castaneus","Juncaceae",NA,"Enscobase","United-Kingdom"
"Juncus filiformis","Juncus filiformis","Juncaceae",NA,"Enscobase","United-Kingdom"
"Juncus triglumis","Juncus triglumis","Juncaceae",NA,"Enscobase","United-Kingdom"
"Jurinea blanda","Jurinea blanda","Compositae",NA,"Enscobase","Georgia"
"Kobresia simpliciuscula","Kobresia simpliciuscula","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Krascheninnikovia ceratoides","Krascheninnikovia ceratoides","Amaranthaceae","Lowland","Enscobase","Georgia"
"Laserpitium hispidum","Laserpitium hispidum","Apiaceae",NA,"Enscobase","Russia"
"Leontopodium alpinum","Leontopodium nivale","Compositae","Strict","Enscobase","Italy"
"Leontopodium alpinum","Leontopodium nivale","Compositae","Strict","Enscobase","Poland"
"Leontopodium alpinum","Leontopodium nivale","Compositae","Strict","Tudela","Italy"
"Ligusticum scoticum","Ligusticum scoticum","Apiaceae",NA,"Enscobase","United-Kingdom"
"Ligusticum scoticum","Ligusticum scoticum","Apiaceae",NA,"Enscobase","Sweden"
"Lilium martagon","Lilium martagon","Liliaceae",NA,"Enscobase","Greece"
"Lilium martagon","Lilium martagon","Liliaceae",NA,"Enscobase","Poland"
"Linnaea borealis","Linnaea borealis","Caprifoliaceae",NA,"Enscobase","Italy"
"Loiseleuria procumbens","Loiseleuria procumbens","Ericaceae",NA,"Enscobase","United-Kingdom"
"Lonicera pyrenaica","Lonicera pyrenaica","Caprifoliaceae",NA,"Enscobase","France"
"Luzula lutea","Luzula lutea","Juncaceae",NA,"Enscobase","France"
"Luzula nivea","Luzula nivea","Juncaceae",NA,"Enscobase","Switzerland"
"Meconopsis cambrica","Papaver cambricum","Papaveraceae",NA,"Enscobase","United-Kingdom"
"Minuartia inamoena","Minuartia inamoena","Caryophyllaceae",NA,"Enscobase","Georgia"
"Minuartia laricifolia","Minuartia laricifolia","Caryophyllaceae",NA,"Enscobase","Italy"
"Minuartia rubella","Minuartia rubella","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Minuartia sedoides","Minuartia sedoides","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Minuartia stricta","Minuartia stricta","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Minuartia wiesneri","Minuartia montana","Caryophyllaceae",NA,"Enscobase","Georgia"
"Myricaria germanica","Myricaria germanica","Tamaricaceae","Lowland","Enscobase","Georgia"
"Myricaria germanica","Myricaria germanica","Tamaricaceae","Lowland","Enscobase","Italy"
"Myricaria germanica","Myricaria germanica","Tamaricaceae","Lowland","Mondoni","Italy"
"Noccaea caerulescens","Thlaspi caerulescens","Brassicaceae",NA,"Enscobase","United-Kingdom"
"Noccaea caerulescens","Thlaspi caerulescens","Brassicaceae",NA,"Enscobase","Germany"
"Onobrychis montana","Onobrychis montana","Leguminosae",NA,"Enscobase","Greece"
"Onobrychis montana","Onobrychis montana","Leguminosae",NA,"Enscobase","Italy"
"Oxytropis campestris","Oxytropis campestris","Leguminosae",NA,"Enscobase","France"
"Oxytropis campestris","Oxytropis campestris","Leguminosae",NA,"Enscobase","United-Kingdom"
"Oxytropis halleri","Oxytropis halleri","Leguminosae","Lowland","Enscobase","Italy"
"Oxytropis halleri","Oxytropis halleri","Leguminosae","Lowland","Enscobase","Switzerland"
"Oxytropis halleri","Oxytropis halleri","Leguminosae","Lowland","Enscobase","United-Kingdom"
"Oxytropis lapponica","Oxytropis lapponica","Leguminosae",NA,"Enscobase","Switzerland"
"Papaver alpinum&ernesti-mayeri","Papaver alpinum","Papaveraceae","Strict","Enscobase","Slovenia"
"Phleum hirsutum","Phleum hirsutum","Poaceae","Lowland","Enscobase","Greece"
"Phleum hirsutum","Phleum hirsutum","Poaceae","Lowland","Enscobase","Italy"
"Phleum hirsutum","Phleum hirsutum","Poaceae","Lowland","Rosbakh","Germany"
"Phleum subulatum","Phleum subulatum","Poaceae",NA,"Enscobase","Greece"
"Physospermum cornubiense","Physospermum cornubiense","Apiaceae",NA,"Enscobase","United-Kingdom"
"Phyteuma hedraianthifolium","Phyteuma hedraianthifolium","Campanulaceae",NA,"Enscobase","Italy"
"Pilosella peleteriana","Pilosella peleteriana","Compositae",NA,"Enscobase","Russia"
"Plantago nivalis","Plantago nivalis","Plantaginaceae",NA,"Enscobase","Spain"
"Poa glauca","Poa glauca","Poaceae",NA,"Enscobase","United-Kingdom"
"Poa remota","Poa remota","Poaceae",NA,"Enscobase","Norway"
"Polemonium caeruleum","Polemonium caeruleum","Polemoniaceae","Lowland","Enscobase","Italy"
"Polemonium caeruleum","Polemonium caeruleum","Polemoniaceae","Lowland","Enscobase","United-Kingdom"
"Polemonium caeruleum","Polemonium caeruleum","Polemoniaceae","Lowland","Mondoni","Italy"
"Potamogeton alpinus","Potamogeton alpinus","Potamogetonaceae",NA,"Enscobase","United-Kingdom"
"Potentilla crantzii","Potentilla crantzii","Rosaceae",NA,"Enscobase","United-Kingdom"
"Primula algida","Primula algida","Primulaceae",NA,"Enscobase","Georgia"
"Primula auriculata","Primula auriculata","Primulaceae",NA,"Enscobase","Georgia"
"Primula daonensis","Primula daonensis","Primulaceae",NA,"Enscobase","Italy"
"Pulsatilla violacea","Pulsatilla violacea","Ranunculaceae",NA,"Enscobase","Georgia"
"Ranunculus serpens","Ranunculus serpens","Ranunculaceae","Lowland","Enscobase","Italy"
"Ranunculus serpens","Ranunculus serpens","Ranunculaceae","Lowland","Enscobase","Bulgaria"
"Rhinanthus alectorolophus","Rhinanthus alectorolophus","Orobanchaceae",NA,"Enscobase","Belgium"
"Rhinanthus angustifolius","Rhinanthus serotinus","Orobanchaceae",NA,"Enscobase","United-Kingdom"
"Rhodiola rosea","Sedum roseum","Crassulaceae","Lowland","Enscobase","United-Kingdom"
"Ribes petraeum","Ribes petraeum","Grossulariaceae",NA,"Enscobase","Italy"
"Rumex alpinus","Rumex alpinus","Polygonaceae","Lowland","Enscobase","Austria"
"Rumex alpinus","Rumex alpinus","Polygonaceae","Lowland","Enscobase","France"
"Rumex alpinus","Rumex alpinus","Polygonaceae","Lowland","Mondoni","Italy"
"Sagina nivalis","Sagina nivalis","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Sagina saginoides","Sagina saginoides","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Salix myrsinifolia","Salix myrsinifolia","Salicaceae",NA,"Enscobase","United-Kingdom"
"Saxifraga cespitosa","Saxifraga cespitosa","Saxifragaceae",NA,"Enscobase","United-Kingdom"
"Saxifraga hirculus","Saxifraga hirculus","Saxifragaceae",NA,"Enscobase","United-Kingdom"
"Saxifraga nivalis","Saxifraga nivalis","Saxifragaceae",NA,"Enscobase","United-Kingdom"
"Saxifraga rivularis","Saxifraga rivularis","Saxifragaceae",NA,"Enscobase","United-Kingdom"
"Saxifraga tombeanensis","Saxifraga tombeanensis","Saxifragaceae","Lowland","Enscobase","Italy"
"Saxifraga tombeanensis","Saxifraga tombeanensis","Saxifragaceae","Lowland","Mondoni","Italy"
"Scandix iberica","Scandix iberica","Apiaceae",NA,"Enscobase","Georgia"
"Sedum villosum","Sedum villosum","Crassulaceae",NA,"Enscobase","United-Kingdom"
"Sempervivum arachnoideum","Sempervivum arachnoideum","Crassulaceae","Lowland","Enscobase","France"
"Sempervivum caucasicum","Sempervivum caucasicum","Crassulaceae",NA,"Enscobase","Georgia"
"Senecio halleri","Jacobaea uniflora","Compositae",NA,"Enscobase","Switzerland"
"Senecio incanus","Jacobaea incana","Compositae","Strict","Enscobase","Italy"
"Senecio incanus","Jacobaea incana","Compositae","Strict","Mondoni","Italy"
"Silene elisabethae","Silene elisabethae","Caryophyllaceae","Lowland","Enscobase","Italy"
"Silene elisabethae","Silene elisabethae","Caryophyllaceae","Lowland","Mondoni","Italy"
"Silene frivaldskyana","Silene frivaldskyana","Caryophyllaceae",NA,"Enscobase","Bulgaria"
"Silene lacera","Oberna lacera","Caryophyllaceae",NA,"Enscobase","Georgia"
"Silene linearifolia","Silene linearifolia","Caryophyllaceae",NA,"Enscobase","Georgia"
"Silene pygmaea","Silene pygmaea","Caryophyllaceae",NA,"Enscobase","Georgia"
"Silene uniflora","Silene uniflora","Caryophyllaceae",NA,"Enscobase","Norway"
"Silene uniflora","Silene uniflora","Caryophyllaceae",NA,"Enscobase","United-Kingdom"
"Silene uniflora","Silene uniflora","Caryophyllaceae",NA,"Enscobase","Sweden"
"Silene viscariopsis","Silene viscariopsis","Caryophyllaceae",NA,"Enscobase","FYROM"
"Stachys alpina","Stachys alpina","Lamiaceae",NA,"Enscobase","United-Kingdom"
"Stachys balansae","Stachys balansae","Lamiaceae",NA,"Enscobase","Georgia"
"Taraxacum pieninicum","Taraxacum pieninicum","Compositae",NA,"Enscobase","Poland"
"Telekia speciosissima","Telekia speciosissima","Compositae","Lowland","Enscobase","Italy"
"Telekia speciosissima","Telekia speciosissima","Compositae","Lowland","Mondoni","Italy"
"Teucrium nuchense","Teucrium chamaedrys","Lamiaceae",NA,"Enscobase","Georgia"
"Thlaspi alpestre","Thlaspi alpestre","Brassicaceae",NA,"Enscobase","United-Kingdom"
"Thlaspi orbiculatum","Thlaspi orbiculatum","Brassicaceae",NA,"Enscobase","Georgia"
"Tofieldia calyculata","Tofieldia calyculata","Tofieldiaceae","Lowland","Enscobase","Poland"
"Tofieldia calyculata","Tofieldia calyculata","Tofieldiaceae","Lowland","Enscobase","Bosnia-Herzegovina"
"Tofieldia pusilla","Tofieldia pusilla","Tofieldiaceae",NA,"Enscobase","United-Kingdom"
"Trichophorum cespitosum","Trichophorum cespitosum","Cyperaceae",NA,"Enscobase","United-Kingdom"
"Trifolium alpinum","Trifolium alpinum","Leguminosae",NA,"Enscobase","France"
"Trifolium alpinum","Trifolium alpinum","Leguminosae",NA,"Enscobase","Italy"
"Trifolium alpinum","Trifolium alpinum","Leguminosae",NA,"Enscobase","Switzerland"
"Trifolium montanum","Trifolium montanum","Leguminosae","Lowland","Enscobase","France"
"Trifolium montanum","Trifolium montanum","Leguminosae","Lowland","Enscobase","Bulgaria"
"Trollius altissimus","Trollius altissimus","Ranunculaceae",NA,"Enscobase","Poland"
"Verbascum orientale","Verbascum orientale","Scrophulariaceae",NA,"Enscobase","Georgia"
"Veronica gentianoides","Veronica gentianoides","Plantaginaceae",NA,"Enscobase","Georgia"
"Vicia cusnae","Vicia cusnae","Leguminosae",NA,"Enscobase","Italy"
"Vicia orobus","Vicia orobus","Leguminosae",NA,"Enscobase","United-Kingdom"
"Viola dubyana","Viola dubyana","Violaceae","Lowland","Enscobase","Italy"
"Viola dubyana","Viola dubyana","Violaceae","Lowland","Mondoni","Italy"
"Viola lutea","Viola lutea","Violaceae",NA,"Enscobase","United-Kingdom"
"Zygophyllum fabago","Zygophyllum fabago","Zygophyllaceae",NA,"Enscobase","Georgia"
"Achillea atrata","Achillea atrata","Compositae","Strict","Rosbakh","Germany"
"Achillea atrata","Achillea atrata","Compositae","Strict","Mondoni","Italy"
"Aconitum tauricum","Aconitum tauricum","Ranunculaceae","Lowland","Rosbakh","Germany"
"Agrostis alpina","Agrostis alpina","Poaceae","Strict","Rosbakh","Germany"
"Androsace chamajasme","Androsace chamaejasme","Primulaceae","Strict","Rosbakh","Germany"
"Anthyllis vulneraria ssp. alpina","Anthyllis vulneraria","Leguminosae","Generalist","Rosbakh","Germany"
"Antoxanthum alpinum","Anthoxanthum odoratum","Poaceae","Generalist","Rosbakh","Germany"
"Campanula alpina","Campanula alpina","Campanulaceae","Strict","Rosbakh","Germany"
"Carex firma","Carex firma","Cyperaceae","Strict","Rosbakh","Germany"
"Carex firma","Carex firma","Cyperaceae","Strict","Tudela","Italy"
"Carex sempervirens","Carex sempervirens","Cyperaceae","Generalist","Rosbakh","Germany"
"Carex sempervirens","Carex sempervirens","Cyperaceae","Generalist","Tudela","Italy"
"Carex sempervirens","Carex sempervirens","Cyperaceae","Generalist","Fernández-Pascual Plant Biol","Spain"
"Erigeron glabratus","Erigeron pulchellus","Compositae","Strict","Rosbakh","Germany"
"Homogyne alpina","Homogyne alpina","Compositae","Generalist","Rosbakh","Germany"
"Juncus monanthos","Juncus monanthos","Juncaceae","Strict","Rosbakh","Germany"
"Myosotis alpina","Myosotis alpina","Boraginaceae","Strict","Rosbakh","Germany"
"Primula minima","Primula minima","Primulaceae","Strict","Rosbakh","Germany"
"Sesleria albicans","Sesleria albicans","Poaceae","Generalist","Rosbakh","Germany"
"Soldanella alpina","Soldanella alpina","Primulaceae","Strict","Rosbakh","Germany"
"Soldanella alpina","Soldanella alpina","Primulaceae","Strict","Tudela","Italy"
"Achillea clavenae","Achillea clavennae","Compositae","Strict","Mondoni","Italy"
"Achillea millefolium","Achillea millefolium","Compositae","Lowland","Mondoni","Italy"
"Achillea nana","Achillea nana","Compositae","Strict","Tudela","Italy"
"Achillea roseoalba","Achillea roseo-alba","Compositae","Lowland","Mondoni","Italy"
"Aconitum napellus","Aconitum napellus","Ranunculaceae","Lowland","Mondoni","Italy"
"Allium insubricum","Allium insubricum","Amaryllidaceae","Lowland","Mondoni","Italy"
"Androsace obtusifolia","Androsace obtusifolia","Primulaceae","Strict","Mondoni","Italy"
"Antennaria dioica","Antennaria dioica","Compositae","Generalist","Tudela","Italy"
"Anthoxanthum alpinum","Anthoxanthum odoratum","Poaceae","Generalist","Mondoni","Italy"
"Anthoxanthum odoratum","Anthoxanthum odoratum","Poaceae","Generalist","Rosbakh","Russia"
"Anthoxanthum odoratum","Anthoxanthum odoratum","Poaceae","Generalist","Tudela","Italy"
"Anthyllis vulneraria","Anthyllis vulneraria","Leguminosae","Generalist","Tudela","Italy"
"Anthyllis vulneraria","Anthyllis vulneraria","Leguminosae","Generalist","Mondoni","Italy"
"Arabis alpina","Arabis alpina","Brassicaceae","Generalist","Mondoni","Italy"
"Arabis caerulea","Arabis caerulea","Brassicaceae","Strict","Mondoni","Italy"
"Arenaria biflora","Arenaria biflora","Caryophyllaceae","Strict","Mondoni","Italy"
"Armeria alpina","Armeria alpina","Plumbaginaceae","Strict","Mondoni","Italy"
"Arnica montana","Arnica montana","Compositae","Generalist","Tudela","Italy"
"Arnica montana","Arnica montana","Compositae","Generalist","Mondoni","Italy"
"Artemisia genipi","Artemisia genipi","Compositae","Strict","Mondoni","Italy"
"Artemisia glacialis","Artemisia glacialis","Compositae","Strict","Mondoni","Italy"
"Artemisia umbelliformis","Artemisia umbelliformis","Compositae","Strict","Mondoni","Italy"
"Biscutella laevigata","Biscutella laevigata","Brassicaceae","Generalist","Tudela","Italy"
"Biscutella laevigata","Biscutella laevigata","Brassicaceae","Generalist","Mondoni","Italy"
"Campanula barbata","Campanula barbata","Campanulaceae","Strict","Tudela","Italy"
"Campanula barbata","Campanula barbata","Campanulaceae","Strict","Mondoni","Italy"
"Campanula cenisia","Campanula cenisia","Campanulaceae","Strict","Mondoni","Italy"
"Campanula cochleariifolia","Campanula cochleariifolia","Campanulaceae","Generalist","Mondoni","Italy"
"Campanula macrorhiza","Campanula macrorhiza","Campanulaceae","Generalist","Mondoni","Italy"
"Campanula persicifolia","Campanula persicifolia","Campanulaceae","Lowland","Mondoni","Italy"
"Campanula scheuchzeri","Campanula scheuchzeri","Campanulaceae","Strict","Mondoni","Italy"
"Campanula spicata","Campanula spicata","Campanulaceae","Lowland","Mondoni","Italy"
"Carduus carduelis","Carduus carduelis","Compositae","Lowland","Mondoni","Italy"
"Carex bicolor","Carex bicolor","Cyperaceae","Strict","Mondoni","Italy"
"Carex curvula","Carex curvula","Cyperaceae","Strict","Tudela","Italy"
"Carex foetida","Carex foetida","Cyperaceae","Strict","Mondoni","Italy"
"Centaurea nervosa","Centaurea nervosa","Compositae","Strict","Mondoni","Italy"
