"Taxon","Source","Year","Country","Region","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable"
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","2","N","N","None",NA,"0","Y",12,"N",0,16.4,16.4,16.4,"15C",NA,20,3,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","3","N","N","None",NA,"0","Y",12,"N",0,19.88,19.88,19.88,"20C",NA,20,7,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","4","N","N","None",NA,"0","Y",12,"N",0,25.17,25.17,25.17,"25C",NA,20,18,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","5","N","N","None",NA,"0","Y",12,"N",0,28.26,28.26,28.26,"30C",NA,20,2,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","6","N","N","None",NA,"0","Y",12,"N",0,33.5,33.5,33.5,"35C",NA,20,0,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","7","N","N","None",NA,"0","Y",12,"N",0,10.99,10.99,10.99,"10C",NA,20,0,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","8","N","N","None",NA,"0","Y",12,"N",0,16.4,16.4,16.4,"15C",NA,20,6,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","9","N","N","None",NA,"0","Y",12,"N",0,19.88,19.88,19.88,"20C",NA,20,15,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","10","N","N","None",NA,"0","Y",12,"N",0,25.17,25.17,25.17,"25C",NA,20,18,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","11","N","N","None",NA,"0","Y",12,"N",0,28.26,28.26,28.26,"30C",NA,20,7,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","12","N","N","None",NA,"0","Y",12,"N",0,33.5,33.5,33.5,"35C",NA,20,0,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","13","N","N","None",NA,"0","Y",12,"N",0,10.99,10.99,10.99,"10C",NA,20,0,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","14","N","N","None",NA,"0","Y",12,"N",0,16.4,16.4,16.4,"15C",NA,20,3,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","15","N","N","None",NA,"0","Y",12,"N",0,19.88,19.88,19.88,"20C",NA,20,11,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","16","N","N","None",NA,"0","Y",12,"N",0,25.17,25.17,25.17,"25C",NA,20,12,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","17","N","N","None",NA,"0","Y",12,"N",0,28.26,28.26,28.26,"30C",NA,20,7,20
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","18","N","N","None",NA,"0","Y",12,"N",0,33.5,33.5,33.5,"35C",NA,20,0,20
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","1","N","N","None",NA,"0","Y",12,"N",0,8,8,8,"10C",NA,20,0,13
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","2","N","N","None",NA,"0","Y",12,"N",0,13,13,13,"15C",NA,20,1,10
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","3","N","N","None",NA,"0","Y",12,"N",0,17.5,17.5,17.5,"15C",NA,20,7,18
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","4","N","N","None",NA,"0","Y",12,"N",0,22,22,22,"20C",NA,20,1,12
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","5","N","N","None",NA,"0","Y",12,"N",0,26,26,26,"25C",NA,20,5,16
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","6","N","N","None",NA,"0","Y",12,"N",0,30,30,30,"30C",NA,20,8,10
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","7","N","N","None",NA,"0","Y",12,"N",0,35,35,35,"35C",NA,20,0,6
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","8","N","N","None",NA,"0","Y",12,"N",0,8,8,8,"10C",NA,20,0,13
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","9","N","N","None",NA,"0","Y",12,"N",0,13,13,13,"15C",NA,20,1,14
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","10","N","N","None",NA,"0","Y",12,"N",0,17.5,17.5,17.5,"15C",NA,20,3,8
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","11","N","N","None",NA,"0","Y",12,"N",0,22,22,22,"20C",NA,20,8,17
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","12","N","N","None",NA,"0","Y",12,"N",0,26,26,26,"25C",NA,20,8,16
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","13","N","N","None",NA,"0","Y",12,"N",0,30,30,30,"30C",NA,20,12,16
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","14","N","N","None",NA,"0","Y",12,"N",0,35,35,35,"35C",NA,20,0,17
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","15","N","N","None",NA,"0","Y",12,"N",0,8,8,8,"10C",NA,20,0,16
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","16","N","N","None",NA,"0","Y",12,"N",0,13,13,13,"15C",NA,20,1,16
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","17","N","N","None",NA,"0","Y",12,"N",0,17.5,17.5,17.5,"15C",NA,20,3,14
"Richea continentis","Venn",NA,"Australia","Australian Alps","Australia Single -37.8291667 146.291667","-37.8291667",146.291667,"1560","18","N","N","None",NA,"0","Y",12,"N",0,22,22,22,"20C",NA,20,7,13
