"TPLName","Familia","Alpine","Seed.mass","Dormancy","Embryo"
"Catolobus pendulus","Brassicaceae","Generalist",0.249166666666667,"PD",1
"Celmisia costiniana","Compositae","Strict",2.977,NA,1
"Celmisia pugioniformis","Compositae","Generalist",2.478,NA,1
"Centaurea nervosa","Compositae","Strict",3.4184,NA,1
"Cerastium alpinum","Caryophyllaceae","Strict",NA,NA,0.74
"Cerastium arcticum","Caryophyllaceae","Strict",NA,NA,0.74
"Cerastium arvense","Caryophyllaceae","Generalist",0.189,"PD",0.74
"Cerastium cerastoides","Caryophyllaceae","Strict",NA,NA,0.74
"Cerastium latifolium","Caryophyllaceae","Strict",0.35,NA,0.74
"Cerastium pedunculatum","Caryophyllaceae","Strict",NA,NA,0.74
"Cerastium uniflorum","Caryophyllaceae","Strict",0.2556,NA,0.74
"Chaerophyllum australianum","Apiaceae","Generalist",1.93,NA,0.02
"Chaerophyllum eriopodum","Apiaceae","Generalist",2.45,NA,0.04
"Chaetanthera euphrasioides","Compositae","Generalist",1.4546,NA,1
"Chaetanthera microphylla","Compositae","Generalist",0.688,NA,1
"Chamaesium paradoxum","Apiaceae","Strict",NA,"MPD",0.06
"Chrysosplenium uniflorum","Saxifragaceae","Generalist",0.141333333333333,NA,0.1
"Circaeaster agrestis","Circaeasteraceae","Generalist",1.08,NA,NA
"Cirsium arvense","Compositae","Generalist",1.37507777777778,"PD",1
"Cirsium lanatum","Compositae","Generalist",NA,"PD",1
"Cirsium souliei","Compositae","Generalist",4.056,NA,1
"Cirsium spinosissimum","Compositae","Strict",2.8964,NA,1
"Clematis tangutica","Ranunculaceae","Generalist",1.72965,"MPD",0.04
"Cochlearia tatrae","Brassicaceae","Strict",NA,NA,1
"Codonopsis foetens","Campanulaceae","Strict",0.5,NA,0.22
"Colobanthus affinis","Caryophyllaceae","Strict",0.1256,NA,0.66
"Coluria longifolia","Rosaceae","Generalist",1.24481666666667,"PD",0.9
"Comarum palustre","Rosaceae","Generalist",NA,"PD",0.9
"Comastoma falcatum","Gentianaceae","Generalist",NA,"PD",0.21
"Comastoma pedunculatum","Gentianaceae","Strict",0.19,"PD",0.21
"Comastoma pulmonarium","Gentianaceae","Strict",0.283,NA,0.21
"Comastoma tenellum","Gentianaceae","Strict",NA,NA,0.21
"Convolvulus arvensis","Convolvulaceae","Generalist",11.3368333333333,"PY",0.87
"Cortaderia pilosa","Poaceae","Generalist",0.2604,NA,0.2
"Corydalis melanochlora","Papaveraceae","Strict",1.49566666666667,NA,0.06
"Craspedia alba","Compositae","Strict",NA,NA,1
"Craspedia costiniana","Compositae","Strict",NA,NA,1
"Craspedia jamesii","Compositae","Generalist",0.4458,NA,1
"Craspedia lamicola","Compositae","Strict",0.9644,NA,1
"Craspedia leucantha","Compositae","Strict",0.156,NA,1
"Cremanthodium brunneopilosum","Compositae","Strict",1.925,"PD",1
"Cremanthodium discoideum","Compositae","Strict",1.0976,NA,1
"Cremanthodium lineare","Compositae","Generalist",1.127,"ND",1
"Cyananthus hookeri","Campanulaceae","Generalist",0.243516666666667,"PD",0.22
"Delphinium albocoeruleum","Ranunculaceae","Generalist",0.825,NA,0.07
"Delphinium pylzowii","Ranunculaceae","Strict",0.4893,"MD",0.07
"Delphinium souliei","Ranunculaceae","Strict",0.237,NA,0.07
"Deschampsia cespitosa","Poaceae","Generalist",0.2725,"PD",0.11
"Deyeuxia flavens","Poaceae","Generalist",0.265,"PD",0.2
"Dianthus barbatus","Caryophyllaceae","Strict",NA,NA,0.41
"Dianthus glacialis","Caryophyllaceae","Strict",0.2891,NA,0.41
"Dianthus orientalis","Caryophyllaceae","Generalist",NA,NA,0.41
"Dichosciadium ranunculaceum","Apiaceae","Strict",NA,NA,0.06
"Dicranostigma lactucoides","Papaveraceae","Strict",0.7147,NA,0.06
"Diplaspis nivis","Apiaceae","Strict",1.0392,NA,0.06
"Doronicum austriacum","Compositae","Strict",NA,NA,1
"Draba eriopoda","Brassicaceae","Generalist",0.161316666666667,"PD",1
"Draba gilliesii","Brassicaceae","Generalist",NA,NA,1
"Draba hoppeana","Brassicaceae","Strict",NA,NA,1
"Draba ladyginii","Brassicaceae","Generalist",NA,NA,1
"Draba lanceolata","Brassicaceae","Generalist",NA,"PD",1
"Draba nemorosa","Brassicaceae","Generalist",0.03015,NA,1
"Draba norvegica","Brassicaceae","Strict",NA,NA,1
"Draba oreades","Brassicaceae","Generalist",0.117666666666667,NA,1
"Draba stylaris","Brassicaceae","Strict",NA,NA,1
"Dracocephalum heterophyllum","Lamiaceae","Generalist",2.2855,"PD",1
"Dracocephalum tanguticum","Lamiaceae","Strict",1.8353,"PD",1
"Drosera arcturi","Droseraceae","Strict",0.0564,NA,0.19
"Dryas octopetala","Rosaceae","Strict",0.5526,"PD",0.65
"Duthiea brachypodium","Poaceae","Strict",NA,"PD",0.2
"Eleocharis quinqueflora","Cyperaceae","Generalist",NA,"PD",0.17
"Elymus caninus","Poaceae","Generalist",NA,"PD",0.14
"Elymus sibiricus","Poaceae","Generalist",2.6572,"PD",0.14
"Epacris celata","Ericaceae","Generalist",NA,NA,0.27
"Epacris glacialis","Ericaceae","Strict",0.0356,NA,0.27
"Epacris microphylla","Ericaceae","Generalist",0.0552,NA,0.27
"Epacris paludosa","Ericaceae","Generalist",0.0316,NA,0.27
"Epacris petrophila","Ericaceae","Generalist",0.0292,NA,0.27
"Epilobium alsinifolium","Onagraceae","Generalist",NA,NA,1
"Epilobium angustifolium","Onagraceae","Generalist",0.105606666666667,"PD",1
"Epilobium gunnianum","Onagraceae","Generalist",0.0638,NA,1
"Epilobium palustre","Onagraceae","Generalist",0.100508333333333,"PD",1
"Eremogone lychnidea","Caryophyllaceae","Strict",NA,NA,0.66
"Erigeron bellidioides","Compositae","Generalist",0.6972,NA,1
"Erigeron cinereus","Compositae","Generalist",NA,NA,1
"Erigeron paludicola","Compositae","Strict",0.3408,NA,1
"Erigeron pulchellus","Compositae","Strict",0.158,NA,1
"Erigeron setosus","Compositae","Generalist",NA,NA,1
"Eriophorum angustifolium","Cyperaceae","Generalist",0.41,NA,0.12
"Eriophorum latifolium","Cyperaceae","Generalist",NA,"PD",0.12
"Eriophorum scheuchzeri","Cyperaceae","Strict",0.4276,NA,0.12
"Erysimum hungaricum","Brassicaceae","Strict",NA,NA,1
"Escallonia alpina","Escalloniaceae","Generalist",NA,NA,NA
"Euphorbia tibetica","Euphorbiaceae","Generalist",0.951333333333333,NA,0.48
"Euphrasia collina","Orobanchaceae","Strict",0.132233333333333,NA,0.42
"Festuca alpina","Poaceae","Strict",NA,NA,0.2
"Festuca eskia","Poaceae","Strict",NA,NA,0.2
"Festuca halleri","Poaceae","Strict",1.2496,NA,0.2
"Festuca nitidula","Poaceae","Generalist",0.5533,"PD",0.2
"Festuca norica","Poaceae","Strict",NA,NA,0.2
"Festuca ovina","Poaceae","Generalist",0.412508333333333,"PD",0.2
"Festuca paniculata","Poaceae","Strict",5.192,"PD",0.2
"Festuca quadriflora","Poaceae","Strict",NA,NA,0.2
"Festuca rubra","Poaceae","Generalist",0.755908333333333,"PD",0.2
"Festuca scabriculmis","Poaceae","Strict",NA,NA,0.2
"Festuca sinensis","Poaceae","Generalist",0.846377777777778,"PD",0.2
"Festuca varia","Poaceae","Generalist",1.6468,NA,0.2
"Festuca violacea","Poaceae","Strict",1.4784,NA,0.2
"Fritillaria legionensis","Liliaceae","Strict",NA,NA,0.06
"Fritillaria unibracteata","Liliaceae","Strict",0.78,"MPD",0.06
"Galium boreale","Rubiaceae","Generalist",0.601,"PD",0.16
"Galium montis-arerae","Rubiaceae","Strict",0.6704,NA,0.16
"Gaultheria poeppigii","Ericaceae","Generalist",NA,NA,0.17
"Gaultheria pumila","Ericaceae","Generalist",0.1204,NA,0.17
"Gentiana acaulis","Gentianaceae","Strict",0.306,"MPD",0.07
"Gentiana aquatica","Gentianaceae","Generalist",0.198277777777778,NA,0.07
"Gentiana aristata","Gentianaceae","Generalist",0.0693333333333333,"PD",0.07
"Gentiana brachyphylla","Gentianaceae","Strict",NA,"MPD",0.07
"Gentiana burseri","Gentianaceae","Generalist",NA,NA,0.07
"Gentiana choanantha","Gentianaceae","Generalist",0.074,NA,0.07
