Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Satyanti,Astelia alpina var. novae-hollandiae,Australia,792193,,,2008,NA,0,N,N,N,Y,2,25,15,12,25,9,20
Satyanti,Astelia alpina var. novae-hollandiae,Australia,792193,,,2008,NA,0,N,N,N,Y,3,25,15,12,25,4,19
Satyanti,Astelia psychrocharis,Australia,807988,,,1702,NA,0,N,N,N,Y,1,25,15,12,25,15,18
Satyanti,Astelia psychrocharis,Australia,807988,,,1702,NA,0,N,N,N,Y,2,25,15,12,25,16,20
Satyanti,Astelia psychrocharis,Australia,807988,,,1702,NA,0,N,N,N,Y,3,25,15,12,25,17,17
Satyanti,Australopyrum velutinum,Australia,783423,,,1401,NA,0,N,N,N,Y,1,25,15,12,25,25,25
Satyanti,Australopyrum velutinum,Australia,783423,,,1401,NA,0,N,N,N,Y,2,25,15,12,25,21,24
Satyanti,Australopyrum velutinum,Australia,783423,,,1401,NA,0,N,N,N,Y,3,25,15,12,25,19,21
Satyanti,Rytidosperma alpicola,Australia,771036,,,2052,NA,0,N,N,N,Y,1,25,15,12,25,25,25
Satyanti,Rytidosperma alpicola,Australia,771036,,,2052,NA,0,N,N,N,Y,2,25,15,12,25,24,25
Satyanti,Rytidosperma alpicola,Australia,771036,,,2052,NA,0,N,N,N,Y,3,25,15,12,25,25,25
Satyanti,Carex blakei,Australia,792229,,,1683,NA,0,N,N,N,Y,1,25,15,12,25,19,24
Satyanti,Carex blakei,Australia,792229,,,1683,NA,0,N,N,N,Y,2,25,15,12,25,25,25
Satyanti,Carex blakei,Australia,792229,,,1683,NA,0,N,N,N,Y,3,25,15,12,25,19,24
Satyanti,Carex cephalotes,Australia,770501,,,2095,NA,0,N,N,N,Y,1,25,15,12,25,21,21
Satyanti,Carex cephalotes,Australia,770501,,,2095,NA,0,N,N,N,Y,2,25,15,12,25,14,17
Satyanti,Carex cephalotes,Australia,770501,,,2095,NA,0,N,N,N,Y,3,25,15,12,25,18,18
Satyanti,Carex capillacea,Australia,792142,,,1640,NA,0,N,N,N,Y,1,25,15,12,25,0,23
Satyanti,Carex capillacea,Australia,792142,,,1640,NA,0,N,N,N,Y,2,25,15,12,25,0,21
Satyanti,Carex capillacea,Australia,792142,,,1640,NA,0,N,N,N,Y,3,25,15,12,25,0,25
Satyanti,Carex echinata,Australia,747974,,,1959,NA,0,N,N,N,Y,1,25,15,12,25,3,21
Satyanti,Carex echinata,Australia,747974,,,1959,NA,0,N,N,N,Y,2,25,15,12,25,12,23
Satyanti,Carex echinata,Australia,747974,,,1959,NA,0,N,N,N,Y,3,25,15,12,25,9,24
Satyanti,Carex echinata,Australia,792155,,,1742,NA,0,N,N,N,Y,1,25,15,12,25,3,23
Satyanti,Carex echinata,Australia,792155,,,1742,NA,0,N,N,N,Y,2,25,15,12,25,0,23
Satyanti,Carex echinata,Australia,792155,,,1742,NA,0,N,N,N,Y,3,25,15,12,25,3,25
Satyanti,Carex gaudichaudiana,Australia,808752,,,1835,NA,0,N,N,N,Y,1,25,15,12,25,0,18
Satyanti,Carex gaudichaudiana,Australia,808752,,,1835,NA,0,N,N,N,Y,2,25,15,12,25,0,16
Satyanti,Carex gaudichaudiana,Australia,808752,,,1835,NA,0,N,N,N,Y,3,25,15,12,25,0,19
Satyanti,Carex hebes,Australia,808766,,,2153,NA,0,N,N,N,Y,1,25,15,12,25,21,21
Satyanti,Carex hebes,Australia,808766,,,2153,NA,0,N,N,N,Y,2,25,15,12,25,15,19
Satyanti,Carex hebes,Australia,808766,,,2153,NA,0,N,N,N,Y,3,25,15,12,25,19,19
Satyanti,Carex hypandra,Australia,747976,,,2025,NA,0,N,N,N,Y,1,25,15,12,25,2,17
Satyanti,Carex hypandra,Australia,747976,,,2025,NA,0,N,N,N,Y,2,25,15,12,25,1,10
Satyanti,Carex hypandra,Australia,747976,,,2025,NA,0,N,N,N,Y,3,25,15,12,25,0,15
Satyanti,Carpha nivicola,Australia,748568,,,1924,NA,0,N,N,N,Y,1,25,15,12,25,0,19
Satyanti,Carpha nivicola,Australia,748568,,,1924,NA,0,N,N,N,Y,2,25,15,12,25,0,23
Satyanti,Carpha nivicola,Australia,748568,,,1924,NA,0,N,N,N,Y,3,25,15,12,25,0,20
Satyanti,Craspedia alba,Australia,770451,,,1855,NA,0,N,N,N,Y,1,25,15,12,25,6,15
Satyanti,Craspedia alba,Australia,770451,,,1855,NA,0,N,N,N,Y,2,25,15,12,25,4,20
Satyanti,Craspedia alba,Australia,770451,,,1855,NA,0,N,N,N,Y,3,25,15,12,25,4,23
Satyanti,Deschampsia cespitosa,Australia,783436,,,1743,NA,0,N,N,N,Y,1,25,15,12,25,21,25
Satyanti,Deschampsia cespitosa,Australia,783436,,,1743,NA,0,N,N,N,Y,2,25,15,12,25,20,25
Satyanti,Deschampsia cespitosa,Australia,783436,,,1743,NA,0,N,N,N,Y,3,25,15,12,25,13,25
Satyanti,Diplaspis nivis,Australia,786949,,,1960,NA,0,N,N,N,Y,1,25,15,12,25,0,9
Satyanti,Diplaspis nivis,Australia,786949,,,1960,NA,0,N,N,N,Y,2,25,15,12,25,0,8
Satyanti,Diplaspis nivis,Australia,786949,,,1960,NA,0,N,N,N,Y,3,25,15,12,25,0,7
Satyanti,Diplaspis nivis,Australia,786951,,,2133,NA,0,N,N,N,Y,1,25,15,12,25,0,17
Satyanti,Diplaspis nivis,Australia,786951,,,2133,NA,0,N,N,N,Y,2,25,15,12,25,0,19
Satyanti,Diplaspis nivis,Australia,786951,,,2133,NA,0,N,N,N,Y,3,25,15,12,25,0,16
Satyanti,Drosera arcturi,Australia,792186,,,1940,NA,0,N,N,N,Y,1,25,15,12,25,1,25
Satyanti,Drosera arcturi,Australia,792186,,,1940,NA,0,N,N,N,Y,2,25,15,12,25,1,25
Satyanti,Drosera arcturi,Australia,792186,,,1940,NA,0,N,N,N,Y,3,25,15,12,25,0,25
Satyanti,Drosera arcturi,Australia,786948,,,1752,NA,0,N,N,N,Y,1,25,15,12,25,0,23
Satyanti,Drosera arcturi,Australia,786948,,,1752,NA,0,N,N,N,Y,2,25,15,12,25,0,23
Satyanti,Drosera arcturi,Australia,786948,,,1752,NA,0,N,N,N,Y,3,25,15,12,25,0,23
Satyanti,Epacris glacialis,Australia,748574,,,2073,NA,0,N,N,N,Y,1,25,15,12,25,0,19
Satyanti,Epacris glacialis,Australia,748574,,,2073,NA,0,N,N,N,Y,2,25,15,12,25,0,25
Satyanti,Epacris glacialis,Australia,748574,,,2073,NA,0,N,N,N,Y,3,25,15,12,25,1,25
Satyanti,Epacris microphylla,Australia,792206,,,1761,NA,0,N,N,N,Y,1,25,15,12,25,0,15
Satyanti,Epacris microphylla,Australia,792206,,,1761,NA,0,N,N,N,Y,2,25,15,12,25,0,22
Satyanti,Epacris microphylla,Australia,792206,,,1761,NA,0,N,N,N,Y,3,25,15,12,25,0,23
Satyanti,Epacris paludosa,Australia,792176,,,1936,NA,0,N,N,N,Y,1,25,15,12,25,0,5
Satyanti,Epacris paludosa,Australia,792176,,,1936,NA,0,N,N,N,Y,2,25,15,12,25,0,6
Satyanti,Epacris paludosa,Australia,792176,,,1936,NA,0,N,N,N,Y,3,25,15,12,25,0,6
Satyanti,Epacris petrophila,Australia,782533,,,1745,NA,0,N,N,N,Y,1,25,15,12,25,1,17
Satyanti,Epacris petrophila,Australia,782533,,,1745,NA,0,N,N,N,Y,2,25,15,12,25,0,18
Satyanti,Epacris petrophila,Australia,782533,,,1745,NA,0,N,N,N,Y,3,25,15,12,25,0,16
Satyanti,Gingidia algens,Australia,792231,,,1799,NA,0,N,N,N,Y,1,25,15,12,25,0,23
Satyanti,Gingidia algens,Australia,792231,,,1799,NA,0,N,N,N,Y,2,25,15,12,25,0,24
Satyanti,Gingidia algens,Australia,792231,,,1799,NA,0,N,N,N,Y,3,25,15,12,25,0,24
Satyanti,Gingidia harveyana,Australia,792215,,,1799,NA,0,N,N,N,Y,1,25,15,12,25,0,20
Satyanti,Gingidia harveyana,Australia,792215,,,1799,NA,0,N,N,N,Y,2,25,15,12,25,0,24
Satyanti,Gingidia harveyana,Australia,792215,,,1799,NA,0,N,N,N,Y,3,25,15,12,25,0,23
Satyanti,Oreomyrrhis ciliata,Australia,792149,,,1748,NA,0,N,N,N,Y,1,25,15,12,25,12,23
