NameDB,NameAnisa,Min Elevation,Max Elevation
Epacris microphylla,Epacris microphylla,10,2000
Epacris paludosa,Epacris paludosa,3,2000
Epacris petrophila,Epacris petrophila,540,2000
Epacris petrophilla,Epacris petrophila,540,2000
Epacris purpurascens ,Epacris purpurascens ,50,1140
Epilobium billardieranum ssp. hydrophylum,Epilobium billardieranum ssp. hydrophilum,,1339
Epilobium gunnianum,Epilobium gunnianum,60,2207
Erigeron bellidioides,Erigeron bellidioides,1203,2095
Erigeron nitidus,Erigeron nitidus,1580,2143
Erigeron paludicola,Erigeron paludicola,1435,2007
Erigeron setosus,Erigeron setosus,1060,2120
Euchiton involucratus,Euchiton involucratus ,260,1534
Euphrasia   collina ssp. diversicolor,Euphrasia collina ssp. diversicolor,1370,2200
Euphrasia collina ssp. diversicolor,Euphrasia collina ssp. diversicolor,1370,2200
Euphrasia collina ssp. glacialis,Euphrasia collina ssp. glacialis,1730,2135
Geum urbanum,Geum urbanum,785,1580
Gingidia algens,Gingidia algens,1600,1880
Gingidia harveyana,Gingidia harveyana,975,1744
Isolepis crassiuscula,Isolepis crassiuscula,680,2097
Juncus falcatus,Juncus falcatus,700,1959
Kelleria dieffenbachii,Kelleria dieffenbachii,1950,2100
Kunzea mueleri,Kunzea muelleri,1300,1860
Leucochrysum albicans subsp. Albicans,Leucochrysum albicans ssp. albicans,520,1720
Leucochrysum alpinum,Leucochrysum alpinum,1204,2660
Luzula acutifolia,Luzula acutifolia,1750,2165
Luzula acutifolia ssp. nana,Luzula acutifolia ssp. nana,1880,2165
Luzula atrata,Luzula atrata,1755,2013
Luzula modesta,Luzula modesta,580,1920
Melaleuca pityoides,Melaleuca pityoides,440,1765
Microseris lanceolata,Microseris lanceolata,425,2000
Neopaxia australasica,Neopaxia australasica,590,2230
Olearia algida,Olearia algida,880,1880
Olearia phlogopappa,Olearia phlogopappa,550,2153
Oreobolus distichus,Oreobolus distichus,1445,2074
Oreomyrrhis ciliata,Oreomyrrhis ciliata,1112,1801
Oreomyrrhis eriopoda,Oreomyrrhis eriopoda,762,2159
Oxylobium ellipticum,Oxylobium ellipticum,700,1880
Ozothamnus alpina,Ozothamnus alpinus,1600,1940
Ozothamnus cupressoides,Ozothamnus cupressoides,1200,1900
Ozothamnus hookeri,Ozothamnus hookeri,1220,1880
Pelargonium helmsii*,Pelargonium helmsii,1427,1870
Pentachondra pumila,Pentachondra pumila,1600,2238
Pimelea axiflora ,Pimelea axiflora ,20,2000
Pimelea ligustrina ssp. ciliata,Pimelea ligustrina ssp. ciliata,1097,1850
Plantago glacialis,Plantago glacialis,1747,2234
Plantago muellerii,Plantago muelleri,1738,2238
Poa costiniana,Poa costiniana,780,2200
Poa hiemata,Poa hiemata,710,2042
Poa phillipsiana,Poa phillipsiana,732,1912
Podolepis robusta,Podolepis robusta,1133,1850
Prostanthera cuneata,Prostanthera cuneata,600,2090
Psychrophila introloba,Caltha introloba,1975,2028
Ranunculus acrophilus,Ranunculus acrophilus,2039,2200
Ranunculus anemoneus,Ranunculus anemoneus,1500,2164
Ranunculus clivicola,Ranunculus clivicola,1600,2058
Ranunculus dissectifolius,Ranunculus dissectifolius,1710,1956
Ranunculus graniticola,Ranunculus graniticola,1080,2004
Ranunculus gunnianus,Ranunculus gunnianus,1402,2126
Ranunculus lappaceus,Ranunculus lappaceus,20,1854
Ranunculus muellerii,Ranunculus muelleri,1524,2133
Ranunculus niphophilus,Ranunculus niphophilus,1880,2220
Ranunculus pimpinellifolius,Ranunculus pimpinellifolius,640,1800
Richea continentis,Richea continentis,1340,2094
Richea continentis ,Richea continentis,1340,2094
Rytidosperma alpicola,Rytidosperma alpicola,1480,2190
Rytidosperma nudiflora,Rytidosperma nudiflora,1080,2200
Rytidosperma nudiflorum,Rytidosperma nudiflorum,1080,2200
Rytidosperma pumilum,Rytidosperma pumilum,1200,2160
Scleranthus biflorus,Scleranthus biflorus,590,1900
Scleranthus singuliflorus,Scleranthus singuliflorus,1748,2178
Senecio gunnii,Senecio gunnii,616,1880
Stackhousia monogyna**,Stackhousia monogyna,10,1800
Stackhousia pulvinaris,Stackhousia pulvinaris,1600,2100
Stylidium graminifolium,Stylidium graminifolium,5,1820
Tasmannia xerophila,Tasmannia xerophila,1100,2000
Trisetum spicatum,Trisetum spicatum,1110,2120
Veronica perfoliata,Veronica perfoliata,50,1840
Viola betonicifolia,Viola betonicifolia,100,2123
Wahlenbergia  ceracea,Wahlenbergia ceracea,1089,2092
Wahlenbergia  gloriosa,Wahlenbergia gloriosa,616,1959
Wahlenbergia ceracea,Wahlenbergia ceracea,1089,2092
Wahlenbergia gloriosa,Wahlenbergia gloriosa,616,1959
Wahlenbergia stricta,Wahlenbergia stricta,35,1680
Xerochrysum subundulatum,Xerochrysum subundulatum,616,1800
