"TPLName","Taxon","Source","Year","Country","Region","Macroregion","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable","GRS","GRP","MGT","MGR","GSP","UNC","SYN","VGT","SDG","CVG"
"Ozothamnus cupressoides","Ozothamnus cupressoides","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 866370 NA NA",NA,NA,"1599","1","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,1,25,1,4,28,0.0357142857142857,3.57142857142857,0,NA,Inf,Inf,Inf
"Ozothamnus cupressoides","Ozothamnus cupressoides","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 866370 NA NA",NA,NA,"1599","3","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,2,13,2,15.3846153846154,49,0.0204081632653061,2.04081632653061,1,0,3536,59.464274989274,121.355663243416
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","5","N","N","Cold","2.5","4","Y",12,"N",0,25,25,25,"25C",NA,20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","4","N","N","Cold","5","8","Y",12,"Y",10,20,10,15,"15C",NA,20,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","5","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,25,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","4","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,25,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","2","N","N","Cold","2.5","8","Y",12,"N",0,20,20,20,"20C",NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","5","N","N","Cold","2.5","12","Y",12,"N",0,10,10,10,"10C",NA,20,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","5","N","N","None",NA,"0","Y",12,"Y",15,20,5,12.5,"10C",NA,20,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","1","N","N","Cold","2.5","12","Y",12,"N",0,15,15,15,"15C",NA,20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","2","N","N","Cold","2.5","8","Y",12,"Y",15,20,5,12.5,"10C",NA,20,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","1","N","N","Cold","2.5","12","Y",12,"N",0,25,25,25,"25C",NA,20,9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","2","N","N","None",NA,"0","Y",12,"N",0,2.5,2.5,2.5,"0C",NA,20,13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","4","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,20,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","1","N","N","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,20,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","4","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,25,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","2","N","N","Cold","2.5","4","Y",12,"N",0,10,10,10,"10C",NA,20,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachyscome rigidula","Brachyscome rigidula","Venn",NA,"Australia","Australian Alps","Australia","Australia Magdala NA NA",NA,NA,NA,"14","N","N","None",NA,"0","Y",14,"Y",10,20,10,15.8333333333333,"15C",NA,20,17,20,17,85,6.35294117647059,0.157407407407407,15.7407407407407,1.25329757846304,0.419117647058824,15.6911764705882,3.96120896578156,62.3523633502653
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","3","N","N","Cold","2.5","4","Y",12,"N",0,15,15,15,"15C",NA,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","4","N","N","Cold","2.5","8","Y",12,"N",0,20,20,20,"20C",NA,20,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","4","N","N","Cold","2.5","4","Y",12,"Y",15,20,5,12.5,"10C",NA,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olearia phlogopappa","Olearia phlogopappa","Venn",NA,"Australia","Australian Alps","Australia","Australia McKay NA NA",NA,NA,NA,"5","N","N","None",NA,"0","Y",14,"Y",2,12,10,11.1666666666667,"10C",NA,20,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranunculus acrophilus","Ranunculus acrophilus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 786947 NA NA",NA,NA,"2039","1","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,5,5,5,100,21.4,0.0467289719626168,4.67289719626168,1.92192809488736,0.1,290.5,17.0440605490593,79.6451427526136
"Ranunculus anemoneus","Ranunculus anemoneus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 783609 NA NA",NA,NA,"1943","3","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,24,0,0,NA,NA,NA,0,NA,0,0,NA
"Ranunculus anemoneus","Ranunculus anemoneus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 783609 NA NA",NA,NA,"1943","2","N","N","Warm","25/15+5","42+56","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Ranunculus anemoneus","Ranunculus anemoneus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 783609 NA NA",NA,NA,"1943","1","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,24,0,0,NA,NA,NA,0,NA,0,0,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","1","N","Y","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,20,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","2","N","N","Cold","2.5","12","Y",12,"Y",15,20,5,12.5,"10C",NA,20,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachyscome rigidula","Brachyscome rigidula","Venn",NA,"Australia","Australian Alps","Australia","Australia Bluff NA NA",NA,NA,NA,"4","N","N","None",NA,"0","Y",14,"Y",10,20,10,15.8333333333333,"15C",NA,20,15,20,15,75,7.93333333333333,0.126050420168067,12.6050420168067,1.85656476213095,0.304761904761905,28.2190476190476,5.31216035328826,66.9600044532133
"Aciphylla simplicifolia","Aciphylla simplicifolia","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792163 NA NA",NA,NA,"1743","2","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Poa hiemata","Poa hiemata","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1950","3","N","N","Cold","2.5","12","Y",12,"N",0,20,20,20,"20C",NA,20,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","2","N","N","None",NA,"0","Y",12,"N",0,5,5,5,"5C",NA,20,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","1","N","N","Cold","2.5","12","Y",12,"N",0,15,15,15,"15C",NA,20,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla simplicifolia","Aciphylla simplicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1360","4","N","N","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,20,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","5","N","N","Cold","2.5","8","Y",12,"N",0,15,15,15,"15C",NA,20,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","5","N","N","Cold","2.5","12","Y",12,"Y",15,20,5,12.5,"10C",NA,20,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olearia phlogopappa","Olearia phlogopappa","Venn",NA,"Australia","Australian Alps","Australia","Australia KB2 NA NA",NA,NA,NA,"8","N","N","None",NA,"0","Y",14,"Y",2,12,10,11.1666666666667,"10C",NA,20,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium gunnianum","Epilobium gunnianum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","3","N","N","Cold","5","8","Y",12,"Y",10,20,10,15,"15C",NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","1","N","N","Cold","2.5","12","Y",12,"N",0,15,15,15,"15C",NA,20,9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","3","N","N","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,20,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","1","N","N","Cold","5","4","Y",12,"Y",10,20,10,15,"15C",NA,20,9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","4","N","N","Cold","2.5","12","Y",12,"N",0,10,10,10,"10C",NA,20,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","2","N","N","None",NA,"0","Y",12,"N",0,5,5,5,"5C",NA,20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
