"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Calceolaria purpurea","Calceolariaceae","Generalist",0.0184,"Genus",0.471479706,"Family",NA
"Callistemon pityoides","Myrtaceae","Generalist",0.25,"Species",1,"Family","PD"
"Callitriche palustris","Plantaginaceae","Generalist",0.113666666666667,"Species",0.67,"Genus",NA
"Campanula alpina","Campanulaceae","Strict",0.2758,"Species",0.19,"Genus",NA
"Campanula aristata","Campanulaceae","Strict",0.0271666666666667,"Species",0.19,"Genus","PD"
"Campanula barbata","Campanulaceae","Strict",0.1055,"Species",0.19,"Genus","PD"
"Campanula cochleariifolia","Campanulaceae","Generalist",0.128884210526316,"Genus",0.19,"Genus","PD"
"Campanula collina","Campanulaceae","Strict",0.1254,"Species",0.19,"Genus",NA
"Campanula jacquinii","Campanulaceae","Strict",0.128884210526316,"Genus",0.19,"Genus",NA
"Campanula latifolia","Campanulaceae","Generalist",0.128884210526316,"Genus",0.19,"Genus","MPD"
"Campanula macrorhiza","Campanulaceae","Generalist",0.128884210526316,"Genus",0.19,"Genus",NA
"Campanula scheuchzeri","Campanulaceae","Strict",0.0572,"Species",0.19,"Genus","PD"
"Campanula thyrsoides","Campanulaceae","Generalist",0.0844,"Species",0.19,"Genus","PD"
"Caragana erinacea","Leguminosae","Generalist",28.2428142857143,"Genus",1,"Genus","PY"
"Caragana jubata","Leguminosae","Generalist",10.645,"Species",1,"Genus","PY"
"Cardamine cordata","Brassicaceae","Generalist",1.04978181818182,"Genus",1,"Genus",NA
"Cardamine robusta","Brassicaceae","Strict",1.04978181818182,"Genus",1,"Genus",NA
"Cardamine tangutorum","Brassicaceae","Generalist",0.204666666666667,"Species",1,"Genus",NA
"Carex aphylla","Cyperaceae","Generalist",1.32605406824147,"Genus",0.06,"Genus",NA
"Carex asturica","Cyperaceae","Generalist",4.4069,"Species",0.06,"Genus",NA
"Carex atrata","Cyperaceae","Strict",0.6236,"Species",0.06,"Genus","PD"
"Carex banksii","Cyperaceae","Generalist",1.32605406824147,"Genus",0.06,"Genus",NA
"Carex bicolor","Cyperaceae","Strict",0.558,"Species",0.06,"Genus",NA
"Carex blakei","Cyperaceae","Strict",1.921,"Species",0.06,"Genus",NA
"Carex buxbaumii","Cyperaceae","Generalist",1.32605406824147,"Genus",0.06,"Genus","PD"
"Carex capillacea","Cyperaceae","Generalist",0.528,"Species",0.06,"Genus",NA
"Carex capillaris","Cyperaceae","Strict",1.32605406824147,"Genus",0.06,"Genus","PD"
"Carex cephalotes","Cyperaceae","Generalist",0.5508,"Species",0.06,"Genus",NA
"Carex curvula","Cyperaceae","Strict",2,"Species",0.06,"Genus",NA
"Carex echinata","Cyperaceae","Generalist",0.83,"Species",0.06,"Genus","PD"
"Carex enervis","Cyperaceae","Generalist",0.558483333333333,"Species",0.06,"Genus","PD"
"Carex firma","Cyperaceae","Strict",1.11,"Species",0.06,"Genus","PD"
"Carex foetida","Cyperaceae","Strict",0.408,"Species",0.06,"Genus",NA
"Carex gaudichaudiana","Cyperaceae","Generalist",0.951,"Species",0.06,"Genus",NA
"Carex hebes","Cyperaceae","Strict",1.3278,"Species",0.06,"Genus",NA
"Carex hypandra","Cyperaceae","Strict",0.5362,"Species",0.06,"Genus",NA
"Carex kansuensis","Cyperaceae","Strict",0.9247,"Species",0.06,"Genus","PD"
