"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Stipa pappiformis","Poaceae","Strict",0.692333333333333,"Species",0.12,"Genus",NA
"Stipa regeliana","Poaceae","Generalist",4.0185,"Species",0.12,"Genus","PD"
"Stipa splendens","Poaceae","Generalist",1.76816666666667,"Species",0.12,"Genus","PD"
"Stylidium graminifolium","Stylidiaceae","Generalist",0.182,"Species",0.010899,"Genus","PD"
"Swertia bifolia","Gentianaceae","Generalist",0.158483333333333,"Species",0.21,"Family","PD"
"Swertia erythrosticta","Gentianaceae","Generalist",0.0707,"Species",0.21,"Family","PD"
"Swertia wolfgangiana","Gentianaceae","Generalist",0.12,"Species",0.21,"Family","PD"
"Taraxacum alpinum","Compositae","Strict",0.58,"Species",1,"Genus",NA
"Taraxacum confusum","Compositae","Strict",0.630006666666667,"Genus",1,"Genus",NA
"Taraxacum stevenii","Compositae","Strict",0.630006666666667,"Genus",1,"Genus",NA
"Tasmannia xerophila","Winteraceae","Generalist",28.85,"Species",0.001,"Family",NA
"Teesdaliopsis conferta","Brassicaceae","Strict",1.6276,"Genus",1,"Family",NA
"Teucrium chamaedrys","Lamiaceae","Generalist",2.47399090909091,"Genus",0.93,"Family","PD"
"Thalictrum alpinum","Ranunculaceae","Generalist",0.759544444444444,"Species",0.04,"Genus","MPD"
"Thalictrum rutifolium","Ranunculaceae","Generalist",1.33581666666667,"Species",0.04,"Genus","MPD"
"Thlaspi caerulescens","Brassicaceae","Generalist",1.09429090909091,"Genus",1,"Family",NA
"Tibetia himalaica","Leguminosae","Strict",2.13966666666667,"Species",0.97,"Family","PY"
"Tofieldia pusilla","Tofieldiaceae","Strict",0.0367,"Genus",0.27,"Family",NA
"Tongoloa elata","Apiaceae","Generalist",0.54265,"Species",0.06,"Family","MPD"
"Tongoloa gracilis","Apiaceae","Generalist",0.847666666666667,"Species",0.06,"Family",NA
"Trichophorum distigmaticum","Cyperaceae","Generalist",2.44865,"Species",0.11,"Family","PD"
"Trichophorum pumilum","Cyperaceae","Generalist",0.65,"Species",0.11,"Family",NA
"Trifolium alpinum","Leguminosae","Strict",1.66077153846154,"Genus",0.99,"Genus","PY"
"Trifolium badium","Leguminosae","Strict",0.75,"Species",0.99,"Genus",NA
"Trifolium pallescens","Leguminosae","Strict",0.62,"Species",0.99,"Genus",NA
"Trifolium polyphyllum","Leguminosae","Strict",1.66077153846154,"Genus",0.99,"Genus",NA
"Trifolium pratense","Leguminosae","Generalist",1.414,"Species",0.99,"Genus","PY"
"Trifolium thalii","Leguminosae","Strict",1.2688,"Species",0.99,"Genus",NA
"Triglochin palustris","Juncaginaceae","Generalist",1.10888888888889,"Species",1,"Genus","PD"
"Trisetum clarkei","Poaceae","Generalist",0.251316666666667,"Species",0.2,"Family","PD"
"Trisetum spicatum","Poaceae","Generalist",0.417,"Species",0.04,"Species",NA
"Tristagma bivalve","Amaryllidaceae","Generalist",1.089398,"Genus",0.3,"Family",NA
"Trollius europaeus","Ranunculaceae","Generalist",0.9868,"Species",0.07,"Genus","MPD"
"Trollius farreri","Ranunculaceae","Strict",0.501666666666667,"Species",0.07,"Genus","MPD"
"Urtica hyperborea","Urticaceae","Strict",0.253333333333333,"Species",0.76,"Genus",NA
"Veronica allionii","Plantaginaceae","Strict",0.411056470588235,"Genus",0.34,"Genus",NA
"Veronica alpina","Plantaginaceae","Strict",0.049,"Species",0.34,"Genus","PD"
"Veronica aphylla","Plantaginaceae","Strict",0.411056470588235,"Genus",0.34,"Genus","PD"
"Veronica bellidioides","Plantaginaceae","Strict",0.11,"Species",0.34,"Genus","PD"
"Veronica ciliata","Plantaginaceae","Generalist",0.102983333333333,"Species",0.34,"Genus","PD"
"Veronica eriogyne","Plantaginaceae","Generalist",0.0603333333333333,"Species",0.34,"Genus","PD"
"Veronica fruticans","Plantaginaceae","Strict",0.603,"Species",0.34,"Genus","PD"
"Veronica perfoliata","Plantaginaceae","Generalist",0.3,"Species",0.34,"Genus",NA
"Veronica szechuanica","Plantaginaceae","Generalist",0.255983333333333,"Species",0.34,"Genus","PD"
"Veronica vandellioides","Plantaginaceae","Generalist",0.148333333333333,"Species",0.34,"Genus",NA
"Vicia multicaulis","Leguminosae","Generalist",14.0778166666667,"Species",0.97,"Genus",NA
"Vicia orobus","Leguminosae","Generalist",58.019602,"Genus",0.97,"Genus",NA
"Viola betonicifolia","Violaceae","Generalist",1.37,"Species",0.61,"Genus",NA
"Viola comollia","Violaceae","Strict",0.59,"Species",0.61,"Genus",NA
"Wahlenbergia ceracea","Campanulaceae","Generalist",0.025,"Species",0.22,"Family",NA
"Wahlenbergia gloriosa","Campanulaceae","Generalist",0.046,"Species",0.22,"Family",NA
"Xerochrysum subundulatum","Compositae","Generalist",0.5958,"Species",1,"Family",NA
