,taxon.name.in.seed.sid,mass,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,taxon.new
2719,Festuca rubra subsp. rubra,1.2,Festuca,,rubra,NA,subsp.,rubra,,tro-25509647,TRUE,1.1,Synonym,Poaceae,Festuca,,rubra,,,L.,kew-416502,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_rubra
2720,Festuca rubra subsp. commutata Gaudin,0.89,Festuca,,rubra,NA,subsp.,commutata,Gaudin,kew-416535,TRUE,1.1,Accepted,Poaceae,Festuca,,rubra,subsp.,commutata,Gaudin,kew-416535,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_rubra
2721,Festuca rubra subsp. litoralis (G.Mey.) Auquier,1.08,Festuca,,rubra,NA,subsp.,litoralis,(G.Mey.) Auquier,kew-416554,TRUE,1.1,Synonym,Poaceae,Festuca,,rubra,,,L.,kew-416502,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_rubra
2722,Festuca rubra L. Orthodox,1.1,Festuca,,rubra,NA,NA,,L. Orthodox,kew-416502,TRUE,1.1,Accepted,Poaceae,Festuca,,rubra,,,L.,kew-416502,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_rubra
2735,Festuca varia Haenke Orthodox,1.6468,Festuca,,varia,NA,NA,,Haenke Orthodox,kew-417110,TRUE,1.1,Accepted,Poaceae,Festuca,,varia,,,Haenke,kew-417110,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_varia
3034,Helictotrichon versicolor (Vill.) Schult. & Schult.f.,1.7768,Helictotrichon,,versicolor,NA,NA,,(Vill.) Schult. & Schult.f.,kew-418551,TRUE,1.1,Accepted,Poaceae,Helictotrichon,,versicolor,,,(Vill.) Schult. & Schult.f.,kew-418551,Accepted,FALSE,FALSE,FALSE,13/04/2020,Helictotrichon_versicolor
3225,Isolepis crassiuscula Hook.f.,0.2728,Isolepis,,crassiuscula,NA,NA,,Hook.f.,kew-250236,TRUE,1.1,Accepted,Cyperaceae,Isolepis,,crassiuscula,,,Hook.f.,kew-250236,Accepted,FALSE,FALSE,FALSE,13/04/2020,Isolepis_crassiuscula
3238,Isolepis setacea (L.) R.Br. Orthodox p,0.0695,Isolepis,,setacea,NA,NA,p,(L.) R.Br. Orthodox,kew-250537,TRUE,1.1,Accepted,Cyperaceae,Isolepis,,setacea,,,(L.) R.Br.,kew-250537,Accepted,TRUE,FALSE,FALSE,13/04/2020,Isolepis_setacea
3305,Juncus falcatus E.Mey. subsp. falcatus,0.0412,Juncus,,falcatus,NA,subsp.,falcatus,E.Mey.,kew-314981,TRUE,1.1,Synonym,Juncaceae,Juncus,,falcatus,,,E.Mey.,kew-314979,Accepted,FALSE,FALSE,FALSE,13/04/2020,Juncus_falcatus
3306,Juncus falcatus E.Mey. Orthodox,0.0162,Juncus,,falcatus,NA,NA,,E.Mey. Orthodox,kew-314979,TRUE,1.1,Accepted,Juncaceae,Juncus,,falcatus,,,E.Mey.,kew-314979,Accepted,FALSE,FALSE,FALSE,13/04/2020,Juncus_falcatus
