"Region","Species","Alpine","Min.elevation","Max.elevation","Treeline"
"Southern Alps","Primula integrifolia","Strict",1880,3250,1880
"Southern Alps","Ranunculus montanus","Generalist",1050,3250,1880
"Southern Alps","Rhinanthus glacialis","Strict",1390,3250,1880
"Southern Alps","Rhododendron ferrugineum","Strict",1390,3250,1880
"Southern Alps","Saponaria lutea","Strict",1390,3250,1880
"Southern Alps","Saxifraga aizoides","Generalist",1050,3250,1880
"Southern Alps","Saxifraga bryoides","Strict",1880,3250,1880
"Southern Alps","Saxifraga caesia","Strict",1390,3250,1880
"Southern Alps","Saxifraga exarata","Strict",1390,3250,1880
"Southern Alps","Saxifraga hostii","Generalist",1050,3250,1880
"Southern Alps","Saxifraga oppositifolia","Strict",1880,3250,1880
"Southern Alps","Saxifraga paniculata","Strict",1390,3250,1880
"Southern Alps","Saxifraga stellaris","Strict",1390,3250,1880
"Southern Alps","Scorzoneroides helvetica","Strict",1390,3250,1880
"Southern Alps","Senecio doronicum","Generalist",1050,3250,1880
"Southern Alps","Sesleria caerulea","Generalist",1050,3250,1880
"Southern Alps","Sesleria sphaerocephala","Strict",1390,3250,1880
"Southern Alps","Sibbaldia procumbens","Strict",1880,3250,1880
"Southern Alps","Silene acaulis","Strict",1880,3250,1880
"Southern Alps","Silene suecica","Strict",1880,3250,1880
"Southern Alps","Silene vallesia","Strict",1390,3250,1880
"Southern Alps","Silene vulgaris","Generalist",1050,3250,1880
"Southern Alps","Soldanella alpina","Strict",1390,3250,1880
"Southern Alps","Solidago virgaurea","Generalist",0,3250,1880
"Southern Alps","Taraxacum alpinum","Strict",1390,3250,1880
"Southern Alps","Trifolium badium","Strict",1390,3250,1880
"Southern Alps","Trifolium pallescens","Strict",1390,3250,1880
"Southern Alps","Trifolium pratense","Generalist",0,3250,1880
"Southern Alps","Veronica allionii","Strict",1390,3250,1880
"Southern Alps","Veronica alpina","Strict",1390,3250,1880
"Southern Alps","Veronica aphylla","Strict",1390,3250,1880
"Southern Alps","Veronica bellidioides","Strict",1390,3250,1880
"Southern Alps","Veronica fruticans","Strict",1390,3250,1880
"Southern Alps","Viola comollia","Strict",1880,3250,1880
"Apennines","Carex foetida","Strict",1390,3250,1750
"Apennines","Centaurea nervosa","Strict",1390,1880,1750
"Apennines","Festuca violacea","Strict",1390,3250,1750
"Apennines","Plantago alpina","Strict",1390,3250,1750
"Apennines","Plantago atrata","Strict",1390,3250,1750
"Apennines","Senecio squalidus","Generalist",1050,1880,1750
"Apennines","Silene rupestris","Generalist",1050,1880,1750
"Apennines","Silene suecica","Strict",1880,3250,1750
"Apennines","Trifolium thalii","Strict",1390,1880,1750
"Apennines","Trollius europaeus","Generalist",1050,1880,1750
"Australian Alps","Aciphylla glacialis","Strict",1600,2230,1750
"Australian Alps","Aciphylla simplicifolia","Generalist",500,1880,1750
"Australian Alps","Agropyron velutinum","Generalist",770,2013,1750
"Australian Alps","Astelia alpina","Strict",1400,2133,1750
"Australian Alps","Astelia psychrocharis","Strict",1500,2133,1750
"Australian Alps","Baeckea gunniana","Generalist",150,2060,1750
"Australian Alps","Baeckea utilis","Generalist",40,2122,1750
"Australian Alps","Brachyscome obovata","Generalist",1060,1910,1750
"Australian Alps","Brachyscome rigidula","Generalist",60,1842,1750
"Australian Alps","Brachyscome spathulata","Generalist",20,2111,1750
"Australian Alps","Brachyscome stolonifera","Strict",1730,2136,1750
"Australian Alps","Callistemon pityoides","Generalist",440,1765,1750
"Australian Alps","Cardamine robusta","Strict",1486,2118,1750
"Australian Alps","Carex blakei","Strict",1392,1900,1750
"Australian Alps","Carex capillacea","Generalist",960,1790,1750
"Australian Alps","Carex cephalotes","Generalist",1121,2122,1750
"Australian Alps","Carex echinata","Generalist",600,2100,1750
"Australian Alps","Carex gaudichaudiana","Generalist",30,2122,1750
"Australian Alps","Carex hebes","Strict",1565,2204,1750
"Australian Alps","Carex hypandra","Strict",1840,2160,1750
"Australian Alps","Carpha nivicola","Generalist",424,2070,1750
"Australian Alps","Celmisia costiniana","Strict",1600,2140,1750
"Australian Alps","Celmisia pugioniformis","Generalist",130,2140,1750
"Australian Alps","Chaerophyllum australianum","Generalist",1112,1801,1750
"Australian Alps","Chaerophyllum eriopodum","Generalist",762,2159,1750
"Australian Alps","Colobanthus affinis","Strict",1610,2182,1750
"Australian Alps","Craspedia alba","Strict",1640,2000,1750
"Australian Alps","Craspedia costiniana","Strict",1495,2200,1750
"Australian Alps","Craspedia jamesii","Generalist",1000,2038,1750
"Australian Alps","Craspedia lamicola","Strict",1323,2200,1750
"Australian Alps","Craspedia leucantha","Strict",1580,2092,1750
"Australian Alps","Deschampsia cespitosa","Generalist",1110,2093,1750
"Australian Alps","Dichosciadium ranunculaceum","Strict",1747,2230,1750
"Australian Alps","Diplaspis nivis","Strict",1500,2230,1750
"Australian Alps","Drosera arcturi","Strict",1733,2190,1750
"Australian Alps","Epacris celata","Generalist",1002,1943,1750
"Australian Alps","Epacris glacialis","Strict",1585,2100,1750
"Australian Alps","Epacris microphylla","Generalist",10,2000,1750
"Australian Alps","Epacris paludosa","Generalist",3,2000,1750
"Australian Alps","Epacris petrophila","Generalist",540,2000,1750
"Australian Alps","Epilobium gunnianum","Generalist",60,2207,1750
"Australian Alps","Erigeron bellidioides","Generalist",1203,2095,1750
"Australian Alps","Erigeron paludicola","Strict",1435,2007,1750
"Australian Alps","Erigeron setosus","Generalist",1060,2120,1750
"Australian Alps","Euphrasia collina","Strict",1370,2200,1750
"Australian Alps","Euphrasia collina","Strict",1730,2135,1750
"Australian Alps","Gentianella muelleriana","Strict",1376,2160,1750
"Australian Alps","Gingidia algens","Strict",1600,1880,1750
"Australian Alps","Isolepis crassiuscula","Generalist",680,2097,1750
"Australian Alps","Juncus falcatus","Generalist",700,1959,1750
"Australian Alps","Kelleria dieffenbachii","Strict",1950,2100,1750
"Australian Alps","Kunzea muelleri","Strict",1300,1860,1750
"Australian Alps","Leucochrysum alpinum","Generalist",1204,2660,1750
"Australian Alps","Luzula acutifolia","Strict",1880,2165,1750
"Australian Alps","Luzula acutifolia","Strict",1750,2165,1750
"Australian Alps","Luzula modesta","Generalist",580,1920,1750
"Australian Alps","Microseris lanceolata","Generalist",425,2000,1750
"Australian Alps","Mniarum biflorum","Generalist",590,1900,1750
"Australian Alps","Neopaxia australasica","Generalist",590,2230,1750
"Australian Alps","Olearia algida","Generalist",880,1880,1750
"Australian Alps","Olearia phlogopappa","Generalist",550,2153,1750
"Australian Alps","Oreobolus distichus","Strict",1445,2074,1750
"Australian Alps","Oxylobium ellipticum","Generalist",700,1880,1750
"Australian Alps","Ozothamnus alpinus","Strict",1600,1940,1750
"Australian Alps","Ozothamnus cupressoides","Generalist",1200,1900,1750
"Australian Alps","Ozothamnus hookeri","Generalist",1220,1880,1750
"Australian Alps","Pelargonium helmsii","Strict",1427,1870,1750
"Australian Alps","Pentachondra pumila","Strict",1600,2238,1750
"Australian Alps","Pimelea axiflora","Generalist",20,2000,1750
"Australian Alps","Pimelea ligustrina","Generalist",1097,1850,1750
"Australian Alps","Plantago glacialis","Strict",1747,2234,1750
"Australian Alps","Plantago muelleri","Strict",1738,2238,1750
"Australian Alps","Poa costiniana","Generalist",780,2200,1750
"Australian Alps","Poa hiemata","Generalist",710,2042,1750
"Australian Alps","Poa phillipsiana","Generalist",732,1912,1750
"Australian Alps","Podolepis robusta","Generalist",1133,1850,1750
"Australian Alps","Prostanthera cuneata","Generalist",600,2090,1750
"Australian Alps","Psychrophila introloba","Strict",1975,2028,1750
"Australian Alps","Ranunculus acrophilus","Strict",2039,2200,1750
"Australian Alps","Ranunculus anemoneus","Strict",1500,2164,1750
"Australian Alps","Ranunculus clivicola","Strict",1600,2058,1750
"Australian Alps","Ranunculus dissectifolius","Strict",1710,1956,1750
"Australian Alps","Ranunculus graniticola","Generalist",1080,2004,1750
"Australian Alps","Ranunculus gunnianus","Strict",1402,2126,1750
"Australian Alps","Ranunculus lappaceus","Generalist",20,1854,1750
"Australian Alps","Ranunculus muelleri","Strict",1524,2133,1750
"Australian Alps","Ranunculus niphophilus","Strict",1880,2220,1750
"Australian Alps","Ranunculus pimpinellifolius","Generalist",640,1800,1750
"Australian Alps","Richea continentis","Strict",1340,2094,1750
"Australian Alps","Rytidosperma alpicola","Strict",1480,2190,1750
"Australian Alps","Rytidosperma nudiflorum","Generalist",1080,2200,1750
"Australian Alps","Rytidosperma pumilum","Generalist",1200,2160,1750
"Australian Alps","Scleranthus singuliflorus","Strict",1748,2178,1750
"Australian Alps","Senecio gunnii","Generalist",616,1880,1750
"Australian Alps","Stackhousia monogyna","Generalist",10,1800,1750
"Australian Alps","Stackhousia pulvinaris","Strict",1600,2100,1750
"Australian Alps","Stylidium graminifolium","Generalist",5,1820,1750
"Australian Alps","Tasmannia xerophila","Generalist",1100,2000,1750
"Australian Alps","Trisetum spicatum","Generalist",1110,2120,1750
"Australian Alps","Veronica perfoliata","Generalist",50,1840,1750
"Australian Alps","Viola betonicifolia","Generalist",100,2123,1750
"Australian Alps","Wahlenbergia ceracea","Generalist",1089,2092,1750
"Australian Alps","Wahlenbergia gloriosa","Generalist",616,1959,1750
"Australian Alps","Xerochrysum subundulatum","Generalist",616,1800,1750
"Cantabrian Mountains","Androsace villosa","Generalist",800,2780,1700
"Cantabrian Mountains","Arenaria erinacea","Generalist",900,2200,1700
"Cantabrian Mountains","Arenaria grandiflora","Generalist",500,2500,1700
"Cantabrian Mountains","Arenaria purpurascens","Strict",1700,2900,1700
"Cantabrian Mountains","Armeria cantabrica","Strict",1200,2400,1700
"Cantabrian Mountains","Carex asturica","Generalist",700,2100,1700
"Cantabrian Mountains","Carex sempervirens","Generalist",500,2700,1700
"Cantabrian Mountains","Festuca eskia","Strict",1600,3000,1700
"Cantabrian Mountains","Festuca paniculata","Strict",1500,2750,1700
"Cantabrian Mountains","Fritillaria legionensis","Strict",1200,2000,1700
"Cantabrian Mountains","Helictotrichon marginatum","Generalist",0,2000,1700
"Cantabrian Mountains","Jasione cavanillesii","Strict",1650,2460,1700
"Cantabrian Mountains","Jurinea humilis","Generalist",800,1900,1700
"Cantabrian Mountains","Kobresia myosuroides","Strict",1700,2800,1700
"Cantabrian Mountains","Persicaria vivipara","Strict",1200,3000,1700
"Cantabrian Mountains","Rumex suffruticosus","Strict",1400,2400,1700
"Cantabrian Mountains","Saxifraga oppositifolia","Strict",1700,3000,1700
"Cantabrian Mountains","Scorzoneroides cantabrica","Strict",1250,2550,1700
"Cantabrian Mountains","Silene acaulis","Strict",1600,3000,1700
"Cantabrian Mountains","Silene ciliata","Generalist",1100,2700,1700
"Cantabrian Mountains","Silene suecica","Strict",1700,2800,1700
"Cantabrian Mountains","Teesdaliopsis conferta","Strict",1500,2200,1700
"Caucasus","Anthoxanthum odoratum","Generalist",1000,2900,2100
"Caucasus","Anthyllis vulneraria","Generalist",1000,2900,2100
"Caucasus","Aster alpinus","Generalist",1000,2900,2100
"Caucasus","Campanula collina","Strict",1700,2900,2100
"Caucasus","Eremogone lychnidea","Strict",2400,2900,2100
"Caucasus","Festuca varia","Generalist",1000,2900,2100
"Caucasus","Hedysarum caucasicum","Generalist",1000,2900,2100
"Caucasus","Leontodon hispidus","Generalist",0,2900,2100
"Caucasus","Matricaria breviradiata","Strict",2400,2900,2100
"Caucasus","Nardus stricta","Generalist",1000,2900,2100
"Caucasus","Phleum alpinum","Strict",1700,2900,2100
"Caucasus","Podospermum canum","Generalist",1000,2400,2100
"Caucasus","Potentilla grandiflora","Generalist",0,2900,2100
"Caucasus","Rumex alpestris","Strict",1700,2900,2100
"Caucasus","Sibbaldia procumbens","Generalist",1000,2900,2100
"Caucasus","Taraxacum confusum","Strict",1700,2900,2100
"Caucasus","Taraxacum stevenii","Strict",1700,2900,2100
"Caucasus","Trifolium polyphyllum","Strict",2400,2900,2100
"Central Andes","Acaena pinnatifida","Generalist",1300,4000,2600
"Central Andes","Adesmia radicifolia","Generalist",0,3100,2600
"Central Andes","Alstroemeria pallida","Generalist",1100,2800,2600
"Central Andes","Anarthrophyllum cumingii","Generalist",1800,3000,2600
"Central Andes","Anarthrophyllum gayanum","Strict",2000,3700,2600
"Central Andes","Azorella madreporica","Generalist",1800,3600,2600
"Central Andes","Berberis montana","Generalist",500,2700,2600
"Central Andes","Calandrinia caespitosa","Strict",1980,3950,2600
"Central Andes","Calceolaria purpurea","Generalist",350,2800,2600
"Central Andes","Cerastium arvense","Generalist",0,3650,2600
"Central Andes","Chaetanthera euphrasioides","Generalist",1200,3700,2600
"Central Andes","Chaetanthera microphylla","Generalist",60,3170,2600
"Central Andes","Draba gilliesii","Generalist",400,4000,2600
"Central Andes","Laretia acaulis","Strict",2000,3500,2600
"Central Andes","Loasa caespitosa","Strict",3300,3400,2600
"Central Andes","Madia sativa","Generalist",0,2800,2600
"Central Andes","Microsteris gracilis","Generalist",0,4100,2600
"Central Andes","Mutisia sinuata","Generalist",1700,3500,2600
"Central Andes","Nassauvia pinnigera","Strict",3000,4000,2600
"Central Andes","Nastanthus scapigerus","Generalist",1720,3800,2600
"Central Andes","Nicotiana corymbosa","Generalist",700,3700,2600
"Central Andes","Nothoscordum andinum","Generalist",1500,3500,2600
"Central Andes","Olsynium philippii","Strict",2000,3000,2600
"Central Andes","Rhodophiala andicola","Generalist",750,2800,2600
"Central Andes","Sanicula graveolens","Generalist",1500,3000,2600
"Central Andes","Schizanthus grahamii","Generalist",330,3500,2600
"Central Andes","Schizanthus hookeri","Generalist",1300,3000,2600
"Central Andes","Senecio eruciformis","Generalist",1800,3300,2600
"Central Andes","Sisyrinchium arenarium","Generalist",1000,3200,2600
"Central Andes","Stachys grandidentata","Generalist",0,2900,2600
"Central Andes","Tristagma bivalve","Generalist",650,3500,2600
"Northern Alps","Achillea atrata","Strict",1390,3250,1880
"Northern Alps","Agrostis alpina","Strict",1390,3250,1880
"Northern Alps","Androsace chamaejasme","Strict",1390,3250,1880
"Northern Alps","Anthoxanthum odoratum","Strict",1390,3250,1880
"Northern Alps","Anthyllis vulneraria","Generalist",0,4810,1880
"Northern Alps","Bartsia alpina","Strict",1880,3250,1880
"Northern Alps","Campanula alpina","Strict",1390,3250,1880
"Northern Alps","Carex atrata","Strict",1390,3250,1880
"Northern Alps","Carex firma","Strict",1390,3250,1880
"Northern Alps","Carex sempervirens","Strict",1390,3250,1880
"Northern Alps","Dryas octopetala","Strict",1390,3250,1880
"Northern Alps","Erigeron pulchellus","Strict",1390,3250,1880
"Northern Alps","Homogyne alpina","Strict",1390,3250,1880
"Northern Alps","Juncus monanthos","Strict",1390,3250,1880
"Northern Alps","Myosotis alpina","Strict",1390,3250,1880
"Northern Alps","Poa alpina","Strict",1390,3250,1880
"Northern Alps","Primula auricula","Strict",1390,3250,1880
"Northern Alps","Primula minima","Strict",1880,3250,1880
"Northern Alps","Sesleria albicans","Generalist",1050,3250,1880
"Northern Alps","Silene acaulis","Strict",1880,3250,1880
"Northern Alps","Soldanella alpina","Strict",1390,3250,1880
"Qinghai-Tibet Plateau","Aconitum brunneum","Strict",3000,4300,4250
"Qinghai-Tibet Plateau","Aconitum tanguticum","Strict",3200,4800,4250
"Qinghai-Tibet Plateau","Acronema chinense","Strict",3200,4900,4250
"Qinghai-Tibet Plateau","Adenophora himalayana","Generalist",2500,4700,4250
"Qinghai-Tibet Plateau","Adenophora liliifolioides","Generalist",2400,4600,4250
"Qinghai-Tibet Plateau","Ajania fruticulosa","Generalist",500,4400,4250
"Qinghai-Tibet Plateau","Ajania salicifolia","Generalist",2600,4600,4250
"Qinghai-Tibet Plateau","Ajania tenuifolia","Generalist",2200,4600,4250
"Qinghai-Tibet Plateau","Aletris glandulifera","Strict",3300,4300,4250
"Qinghai-Tibet Plateau","Allium chrysanthum","Generalist",2000,4500,4250
"Qinghai-Tibet Plateau","Allium chrysocephalum","Strict",3400,4800,4250
"Qinghai-Tibet Plateau","Allium cyaneum","Generalist",2100,5000,4250
"Qinghai-Tibet Plateau","Allium cyathophorum","Generalist",2700,4600,4250
"Qinghai-Tibet Plateau","Allium prattii","Generalist",2000,4900,4250
"Qinghai-Tibet Plateau","Allium przewalskianum","Generalist",2000,4800,4250
"Qinghai-Tibet Plateau","Allium rude","Generalist",2700,5000,4250
"Qinghai-Tibet Plateau","Allium sikkimense","Generalist",2400,5000,4250
"Qinghai-Tibet Plateau","Anaphalis flavescens","Generalist",2800,4700,4250
"Qinghai-Tibet Plateau","Anaphalis nepalensis","Generalist",2400,4500,4250
"Qinghai-Tibet Plateau","Androsace gmelinii","Generalist",2600,4400,4250
"Qinghai-Tibet Plateau","Anemone rivularis","Generalist",800,4900,4250
"Qinghai-Tibet Plateau","Anisodus tanguticus","Generalist",2000,4400,4250
"Qinghai-Tibet Plateau","Anthriscus sylvestris","Generalist",0,4500,4250
"Qinghai-Tibet Plateau","Arenaria edgeworthiana","Strict",4200,5100,4250
"Qinghai-Tibet Plateau","Arenaria kansuensis","Strict",3500,5300,4250
"Qinghai-Tibet Plateau","Aristida triseta","Generalist",2400,4700,4250
"Qinghai-Tibet Plateau","Artemisia desertorum","Strict",3500,4600,4250
"Qinghai-Tibet Plateau","Artemisia gmelinii","Generalist",1000,4900,4250
"Qinghai-Tibet Plateau","Artemisia hedinii","Generalist",1000,4800,4250
"Qinghai-Tibet Plateau","Aster diplostephioides","Generalist",2700,4600,4250
"Qinghai-Tibet Plateau","Aster souliei","Generalist",2700,4600,4250
"Qinghai-Tibet Plateau","Aster yunnanensis","Generalist",2300,4500,4250
"Qinghai-Tibet Plateau","Astragalus floridulus","Generalist",2700,5200,4250
"Qinghai-Tibet Plateau","Astragalus mahoschanicus","Generalist",1800,4500,4250
"Qinghai-Tibet Plateau","Astragalus polycladus","Generalist",2000,4500,4250
"Qinghai-Tibet Plateau","Astragalus tongolensis","Strict",3400,4800,4250
"Qinghai-Tibet Plateau","Batrachium bungei","Generalist",0,4900,4250
"Qinghai-Tibet Plateau","Blysmus sinocompressus","Generalist",500,4800,4250
"Qinghai-Tibet Plateau","Braya rosea","Generalist",2500,5300,4250
"Qinghai-Tibet Plateau","Bromus sinensis","Strict",3500,4300,4250
"Qinghai-Tibet Plateau","Bupleurum commelynoideum","Generalist",2700,4300,4250
"Qinghai-Tibet Plateau","Callitriche palustris","Generalist",0,5000,4250
"Qinghai-Tibet Plateau","Campanula aristata","Strict",3500,5000,4250
"Qinghai-Tibet Plateau","Caragana erinacea","Generalist",2000,4600,4250
"Qinghai-Tibet Plateau","Caragana jubata","Generalist",2400,4700,4250
"Qinghai-Tibet Plateau","Cardamine tangutorum","Generalist",1300,4400,4250
"Qinghai-Tibet Plateau","Carex enervis","Generalist",2500,4500,4250
"Qinghai-Tibet Plateau","Carex kansuensis","Strict",3400,4600,4250
"Qinghai-Tibet Plateau","Carex przewalskii","Generalist",2000,4500,4250
"Qinghai-Tibet Plateau","Carex scabrirostris","Strict",3000,4600,4250
"Qinghai-Tibet Plateau","Carum carvi","Generalist",1500,4300,4250
"Qinghai-Tibet Plateau","Catolobus pendulus","Generalist",0,4300,4250
"Qinghai-Tibet Plateau","Cerastium arvense","Generalist",600,4300,4250
"Qinghai-Tibet Plateau","Chamaesium paradoxum","Strict",3200,4800,4250
"Qinghai-Tibet Plateau","Chrysosplenium uniflorum","Generalist",2400,4700,4250
"Qinghai-Tibet Plateau","Circaeaster agrestis","Generalist",2100,5000,4250
"Qinghai-Tibet Plateau","Cirsium arvense","Generalist",500,4300,4250
"Qinghai-Tibet Plateau","Cirsium souliei","Generalist",1900,4800,4250
"Qinghai-Tibet Plateau","Clematis tangutica","Generalist",300,4900,4250
"Qinghai-Tibet Plateau","Codonopsis foetens","Strict",3300,4500,4250
"Qinghai-Tibet Plateau","Coluria longifolia","Generalist",2700,4600,4250
"Qinghai-Tibet Plateau","Comastoma falcatum","Generalist",2100,5300,4250
"Qinghai-Tibet Plateau","Comastoma pedunculatum","Strict",3200,4800,4250
"Qinghai-Tibet Plateau","Comastoma pulmonarium","Strict",3000,4800,4250
"Qinghai-Tibet Plateau","Convolvulus arvensis","Generalist",600,4500,4250
"Qinghai-Tibet Plateau","Corydalis melanochlora","Strict",4000,5000,4250
"Qinghai-Tibet Plateau","Cremanthodium brunneopilosum","Strict",3000,4300,4250
"Qinghai-Tibet Plateau","Cremanthodium discoideum","Strict",3000,5000,4250
"Qinghai-Tibet Plateau","Cremanthodium lineare","Generalist",2400,4800,4250
"Qinghai-Tibet Plateau","Cyananthus hookeri","Generalist",2700,4500,4250
"Qinghai-Tibet Plateau","Delphinium albocoeruleum","Generalist",1500,4900,4250
"Qinghai-Tibet Plateau","Delphinium pylzowii","Strict",3500,4500,4250
"Qinghai-Tibet Plateau","Delphinium souliei","Strict",3500,4400,4250
"Qinghai-Tibet Plateau","Deschampsia cespitosa","Generalist",1500,4500,4250
"Qinghai-Tibet Plateau","Deyeuxia flavens","Generalist",2700,4500,4250
"Qinghai-Tibet Plateau","Dicranostigma lactucoides","Strict",3700,4300,4250
"Qinghai-Tibet Plateau","Draba eriopoda","Generalist",2000,4900,4250
"Qinghai-Tibet Plateau","Draba ladyginii","Generalist",2100,4700,4250
"Qinghai-Tibet Plateau","Draba lanceolata","Generalist",1100,4900,4250
"Qinghai-Tibet Plateau","Draba nemorosa","Generalist",0,4800,4250
"Qinghai-Tibet Plateau","Draba oreades","Generalist",2300,5500,4250
"Qinghai-Tibet Plateau","Dracocephalum heterophyllum","Generalist",1100,5000,4250
"Qinghai-Tibet Plateau","Dracocephalum tanguticum","Strict",3200,4700,4250
"Qinghai-Tibet Plateau","Duthiea brachypodium","Strict",3000,5300,4250
"Qinghai-Tibet Plateau","Elymus burchan-buddae","Strict",3000,5500,4250
"Qinghai-Tibet Plateau","Elymus sibiricus","Generalist",1500,4900,4250
"Qinghai-Tibet Plateau","Epilobium angustifolium","Generalist",0,4700,4250
"Qinghai-Tibet Plateau","Epilobium palustre","Generalist",200,4500,4250
"Qinghai-Tibet Plateau","Euphorbia tibetica","Generalist",2500,5000,4250
"Qinghai-Tibet Plateau","Festuca nitidula","Generalist",2500,5300,4250
"Qinghai-Tibet Plateau","Festuca ovina","Generalist",1600,4400,4250
