Source,Taxon,Country,Region,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
LiuGuja,Acroglochin persicarioides (Poir.)Mog.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,52,150
LiuGuja,Acroglochin persicarioides (Poir.)Mog.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,31,150
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,52,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,50,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,47,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,3500,NA,0,N,N,N,Y,1,25,10,0,50,1,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,50,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,43,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,49,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,3500,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,3500,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,3500,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Actaea cimicifuga,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,0,50
