ID,Family ,Species,loggevity,dispersal mode,altitude(m),"seed mass (g,100seeds)-sample1","seed mass (g,100seeds)-sample2","seed mass (g,100seeds)-sample3"
2.88,Asteraceae,Senecio dubitabilis,A,wind,2954,0.0197,0.0198,0.0161
10.56,Poaceae,Festuca sp.,P,unassisted,3565,0.0199,0.0197,0.0174
2.11,Asteraceae,Chenopodium glaucum,A,unassisted,3513,0.0169,0.0183,0.0235
25.09,Scrophulariaceae,Phtheirospermum japonicum,A,unassisted,2202,0.0133,0.0347,0.0116
17.11,Gentianaceae ,Swertia bimaculata,A,unassisted,2304,0.0204,0.0201,0.0209
2.85,Asteraceae,Erigeron acer,A,wind,3397,0.0202,0.0201,0.0211
26.03,Brassicaceae,Cardamine tangutorum,P,ant,3740,0.0178,0.0218,0.0218
17.05,Gentianaceae ,Comastoma pedunculatum ,A,unassisted,3903,0.0173,0.0208,0.0241
26.06,Brassicaceae,Sisymbrium heteromallum ,P,ant,2229,0.0233,0.0192,0.0202
26.05,Brassicaceae,Arabis pendula L.,A,ant,2691,0.0201,0.0213,0.0214
27.01,Caryophyllaceae,Stellaria dianthifolia,P,unassisted,2768,0.0239,0.0193,0.02
13.66,Asteraceae,Anaphalis lactea Maxim.,P,wind,3514,0.0236,0.0203,0.0195
26.1,Brassicaceae,Lepidium apetalum ,A,ant,3530,0.0207,0.0209,0.0224
2.82,Brassicaceae,Hedinia tibetiea,A,ant,3903,0.0202,0.0222,0.0216
6.31,Lamiaceae,Isodon glaucocalyx var.japonicus,P,unassisted,2659,0.0203,0.022,0.0223
1.07,Rosaceae,Potantilla saundersiana ,P,unassisted,3514,0.0235,0.0183,0.023
19.06,Lamiaceae,Isodon sp,P,unassisted,2081,0.0199,0.023,0.0221
6.03,Crassulaceae,Sedum ulricae,A,unassisted,3028,0.0134,0.0311,0.0209
3.23,Rosaceae,Potentilla saundersiana var. caespitosa,P,unassisted,3451,0.0199,0.0238,
13.54,Asteraceae,Artemisia parviflora,P,wind,3062,0.0221,0.0222,0.0214
27.06,Caryophyllaceae,Stellaria sp,P,unassisted,3467,0.0232,0.0216,0.0213
4.26,Campanulaceae,Cyananthus hookeri,A,unassisted,3240,0.0232,0.0216,0.0216
4.62,Caryophyllaceae,Cerastium fontanum ,A,unassisted,2960,0.0209,0.0155,0.0304
13.7,Asteraceae,Heteropappus sp1,A,wind,2954,0.0201,0.0218,0.0255
2.012,Gentianaceae ,Gentiana straminea ,P,unassisted,3740,0.0237,0.0223,0.0216
2.118,Gentianaceae ,Gentiana dahuriea ,P,unassisted,2955,0.0197,0.025,0.0232
3.22,Poaceae,Poa poophagorum ,P,unassisted,3000,0.0264,0.0223,0.0195
2.44,Hypericaceae,Hypericum przewalskii ,P,unassisted,2304,0.0242,0.0223,0.0223
10.1,Poaceae,Trisetum sp,P,unassisted,3554,0.0241,0.0227,0.0231
4.07,Urticaceae,Pilea pumila,A,unassisted,2691,0.0234,0.0254,0.0217
19.14,Ranunculaceae,Delphinium Souliei,P,unassisted,3500,0.0241,0.0242,0.0228
26.09,Brassicaceae,Rorippa elata,A,ant,3530,0.0253,0.0249,0.0211
4.94,Plantaginaceae,Plantage major,A,unassisted,2188,0.0218,0.0244,0.0254
2.37,Plantaginaceae,Plantago asiatica,A,unassisted,3049,0.0246,0.023,0.0244
26.07,Brassicaceae,Torularia sp,A,ant,2955,0.0278,0.0229,0.0225
3.16,Brassicaceae,Torularia humilis,A,ant,2956,0.0278,0.0229,0.0225
13.4,Asteraceae,Sonchus transcaspicus,P,wind,2954,0.0263,0.0257,0.0222
13.48,Asteraceae,Artemisia desertorum ,P,wind,3417,0.026,0.0242,0.0241
4.97,Urticaceae,Urtica hyperborea,P,unassisted,3011,0.0237,0.0279,0.0244
4.9,Primulaceae ,Lysimachia barystachys,P,unassisted,2188,0.0264,0.0272,0.0232
10.48,Poaceae,Deschampsia caespitosa ,P,unassisted,3500,0.0266,0.0289,0.0218
13.38,Poaceae,Trisetum clarkei ,P,unassisted,3886,0.0262,0.0256,0.0263
26.08,Brassicaceae,Lepidium latifolium,P,ant,2380,0.022,0.0302,0.0261
10.28,Poaceae,Helictotrichon altius,P,unassisted,3740,0.0177,0.0392,0.0215
1.25,Lamiaceae,Thymus mongolicus ,P,unassisted,2251,0.027,0.0273,0.0243
10.35,Poaceae,Muhlendergia hugelii ,P,unassisted,2081,0.0322,0.0244,0.0223
13.31,Asteraceae,Anaphalis nepalensis,P,wind,3903,0.0274,0.0252,0.0263
2.3,Rosaceae,Potentilla saundersiana var.saundersiana,P,unassisted,2960,0.0278,0.025,0.0279
2.124,Gentianaceae ,Comastoma pulmonarium ,A,unassisted,2960,0.0254,0.0301,0.0253
10.33,Poaceae,Koeleria cristata,P,unassisted,3530,0.0287,0.0263,0.0262
2.36,Primulaceae ,Primula gemmifera ,P,unassisted,3472,0.0292,0.0268,0.0261
2.8,Brassicaceae,Malcolmia africana ,A,ant,3500,0.0265,0.0281,0.0276
3.3,Poaceae,Digitaria sp,A,unassisted,1962,0.0268,0.0239,0.0316
10.25,Poaceae,Festuca ovina,P,unassisted,3530,0.0254,0.0313,0.0257
10.38,Poaceae,Deschampsia sp ,P,unassisted,3530,0.0288,0.0277,0.0261
27.08,Caryophyllaceae,Silene fortunei,P,unassisted,2532,0.0337,0.0273,0.0217
17.04,Gentianaceae ,Gentiana nubigena ,P,unassisted,3712,0.0263,0.0305,0.0277
2.97,Lamiaceae,Clinopodium urticifolium,P,unassisted,2160,0.0308,0.0286,0.0272
2.159,Caryophyllaceae,Stellaria graminea ,P,unassisted,3020,0.0271,0.0317,0.0286
6.25,Lamiaceae,Elsholtzia feddeiBenth,A,unassisted,2926,0.0275,0.028,0.0329
2.19,Asteraceae,Polygonum fertile,A,unassisted,3903,0.0283,0.0322,0.0288
27.02,Caryophyllaceae,Stellaria uda,P,unassisted,2954,0.0301,0.029,0.0305
2.101,Poaceae,Deschampsia littoralis ,P,unassisted,3113,0.0299,0.0328,0.0276
10.37,Poaceae,Agrostis trinii,P,unassisted,3530,0.0268,0.0301,0.0338
10.55,Poaceae,Poa sp,P,unassisted,3550,0.031,0.0361,0.0243
2.99,Lamiaceae,Clinopodium chinense,P,unassisted,2304,0.0299,0.0313,0.0306
24.03,Apiaceae,Ligusticum acuminatum ,P,wind,2168,0.0307,0.0237,0.0379
1.31,Rosaceae,Potentilla muitifide ,P,unassisted,2980,0.0296,0.0306,0.0324
2.09,Rosaceae,Potentilla sp,P,unassisted,2980,0.0296,0.0306,0.0324
4.28,Rubiaceae,Galium boreale var. ciliatum ,P,adhesive,2202,0.0334,0.031,0.0285
13.03,Asteraceae,Ajania salicifolia,P,wind,3434,0.0327,0.0259,0.0348
13.39,Poaceae,Digitaria ciliaris ,A,unassisted,1962,0.0285,0.0316,0.0345
2.87,Asteraceae,Heteropappus gouldii,A,wind,3397,0.0368,0.0316,0.0272
13.22,Asteraceae,Artemisia sp2,A,wind,2769,0.0334,0.0333,0.0301
13.71,Asteraceae,Sonchus arvensis,P,wind,2926,0.0385,0.0315,0.0275
4.6,Campanulaceae,Codonopsis pilosula ,P,unassisted,2188,0.0306,0.0332,0.0353
4.54,Juncaginaceae,Triglochin sp,P,unassisted,3454,0.0339,0.0304,0.0355
2.39,Caryophyllaceae,Silene pterosperma,P,unassisted,2532,0.0303,0.0348,0.0352
25.02,Ranunculaceae,Ranunculus tanguticus,P,unassisted,3530,0.0346,0.0333,0.0328
2.14,Ranunculaceae,Delphinium sivanense,P,unassisted,2430,0.0351,0.0269,0.0391
4.63,Rubiaceae,Asperula orientalis,A,unassisted,2598,0.0308,0.0262,0.0453
4.57,Caryophyllaceae,Stellaria neglecta ,A,unassisted,2172,0.0327,0.0352,0.0363
13.69,Asteraceae,Tephroseris rufa,P,wind,3454,0.0341,0.038,0.0324
10.43,Poaceae,Digitaria sanguinalis ,A,unassisted,2209,0.0316,0.0368,0.0372
29.13,Gentianaceae ,Gentiana siphorantha ,P,unassisted,3582,0.0366,0.036,0.036
25.16,Cyperaceae,Carex hubigena ,P,unassisted,3472,0.0475,0.0298,0.0314
4.59,Caryophyllaceae,Silene gracilzcaulis,P,unassisted,2605,0.0374,0.0366,0.0369
27.05,Caryophyllaceae,Gypsophila licentiana,P,unassisted,2252,0.0356,0.035,0.0404
14.01,Asteraceae,Microgynoecium tibeticum,A,unassisted,3526,0.0374,0.0387,0.0361
