ID,Days,Germinated,Tmax,Tmin,Light
6.12,60,6,20,5,0
6.12,60,10,20,5,0
6.14,60,44,20,5,0
6.14,60,33,20,5,0
6.14,60,34,20,5,0
6.15,60,0,20,5,0
6.15,60,0,20,5,0
6.15,60,1,20,5,0
6.16,60,1,20,5,0
6.16,60,0,20,5,0
6.16,60,2,20,5,0
6.19,60,8,20,5,0
6.19,60,8,20,5,0
6.19,60,8,20,5,0
6.2,60,22,20,5,0
6.2,60,22,20,5,0
6.2,60,24,20,5,0
6.21,60,47,20,5,0
6.21,60,49,20,5,0
6.21,60,46,20,5,0
6.22,60,0,20,5,0
6.22,60,0,20,5,0
6.22,60,0,20,5,0
6.24,60,42,20,5,0
6.24,60,39,20,5,0
6.24,60,36,20,5,0
11.03,60,1,20,5,0
11.03,60,2,20,5,0
11.03,60,2,20,5,0
15.05,60,48,20,5,0
15.05,60,49,20,5,0
15.05,60,43,20,5,0
15.07,60,0,20,5,0
15.07,60,1,20,5,0
15.07,60,0,20,5,0
15.08,60,1,20,5,0
15.08,60,7,20,5,0
15.08,60,7,20,5,0
17.22,60,2,20,5,0
17.22,60,2,20,5,0
17.22,60,2,20,5,0
17.23,60,0,20,5,0
17.23,60,0,20,5,0
17.23,60,0,20,5,0
17.24,60,42,20,5,0
17.24,60,42,20,5,0
17.24,60,41,20,5,0
17.25,60,7,20,5,0
17.25,60,10,20,5,0
17.25,60,7,20,5,0
17.26,60,0,20,5,0
17.26,60,1,20,5,0
17.26,60,0,20,5,0
17.27,60,0,20,5,0
17.27,60,0,20,5,0
17.27,60,0,20,5,0
17.28,60,3,20,5,0
17.28,60,3,20,5,0
17.28,60,5,20,5,0
19.55,60,7,20,5,0
19.55,60,11,20,5,0
19.55,60,13,20,5,0
19.56,60,0,20,5,0
19.56,60,0,20,5,0
19.56,60,0,20,5,0
19.57,60,0,20,5,0
19.57,60,0,20,5,0
19.57,60,0,20,5,0
20.05,60,3,20,5,0
20.05,60,3,20,5,0
20.05,60,7,20,5,0
21.03,60,46,20,5,0
21.03,60,39,20,5,0
21.03,60,38,20,5,0
21.04,60,38,20,5,0
21.04,60,33,20,5,0
21.04,60,31,20,5,0
21.05,60,6,20,5,0
21.05,60,9,20,5,0
21.05,60,6,20,5,0
21.06,60,2,20,5,0
21.06,60,2,20,5,0
21.06,60,1,20,5,0
21.07,60,3,20,5,0
21.07,60,1,20,5,0
21.07,60,4,20,5,0
21.08,60,3,20,5,0
21.08,60,1,20,5,0
21.08,60,2,20,5,0
25.18,60,3,20,5,0
25.18,60,6,20,5,0
25.18,60,2,20,5,0
25.19,60,0,20,5,0
25.19,60,0,20,5,0
25.19,60,2,20,5,0
25.21,60,0,20,5,0
25.21,60,1,20,5,0
25.21,60,0,20,5,0
27.23,60,20,20,5,0
27.23,60,18,20,5,0
27.23,60,12,20,5,0
27.24,60,1,20,5,0
27.24,60,1,20,5,0
27.24,60,0,20,5,0
27.25,60,14,20,5,0
27.25,60,8,20,5,0
27.25,60,13,20,5,0
27.26,60,20,20,5,0
27.26,60,9,20,5,0
27.26,60,15,20,5,0
27.27,60,23,20,5,0
27.27,60,24,20,5,0
27.27,60,19,20,5,0
39.01,60,50,20,5,0
39.01,60,48,20,5,0
39.01,60,50,20,5,0
39.03,60,33,20,5,0
39.03,60,33,20,5,0
39.03,60,33,20,5,0
39.04,60,37,20,5,0
39.04,60,53,20,5,0
39.04,60,39,20,5,0
51.13,60,1,20,5,0
51.13,60,2,20,5,0
51.13,60,3,20,5,0
51.14,60,4,20,5,0
51.14,60,10,20,5,0
51.14,60,10,20,5,0
51.16,60,0,20,5,0
51.16,60,0,20,5,0
51.16,60,0,20,5,0
51.28,60,0,20,5,0
51.28,60,0,20,5,0
51.28,60,0,20,5,0
51.34,60,39,20,5,0
51.34,60,34,20,5,0
51.34,60,39,20,5,0
9.59,60,1,20,5,0
9.59,60,0,20,5,0
9.59,60,0,20,5,0
9.58,60,7,20,5,0
9.58,60,8,20,5,0
9.58,60,12,20,5,0
51.31,60,1,20,5,0
51.31,60,1,20,5,0
51.31,60,0,20,5,0
19.05,60,30,20,5,0
19.05,60,32,20,5,0
19.05,60,29,20,5,0
1.08,60,43,20,5,0
1.08,60,44,20,5,0
1.08,60,41,20,5,0
1.14,60,38,20,5,0
1.14,60,37,20,5,0
1.14,60,41,20,5,0
1.15,60,47,20,5,0
1.15,60,44,20,5,0
1.15,60,44,20,5,0
2.04,60,31,20,5,0
2.04,60,29,20,5,0
2.04,60,20,20,5,0
3.16,60,52,20,5,0
3.16,60,45,20,5,0
3.16,60,44,20,5,0
4.01,60,0,20,5,0
4.01,60,0,20,5,0
4.01,60,2,20,5,0
4.02,60,11,20,5,0
4.02,60,10,20,5,0
4.02,60,12,20,5,0
4.04,60,0,20,5,0
4.04,60,1,20,5,0
4.04,60,3,20,5,0
4.05,60,0,20,5,0
4.05,60,0,20,5,0
4.05,60,0,20,5,0
4.07,60,20,20,5,0
4.07,60,14,20,5,0
4.07,60,3,20,5,0
6.13,60,0,20,5,0
6.13,60,0,20,5,0
6.13,60,0,20,5,0
6.18,60,0,20,5,0
6.18,60,0,20,5,0
6.18,60,0,20,5,0
6.23,60,0,20,5,0
6.23,60,0,20,5,0
6.23,60,0,20,5,0
6.25,60,0,20,5,0
6.25,60,0,20,5,0
6.25,60,0,20,5,0
6.26,60,9,20,5,0
6.26,60,8,20,5,0
6.26,60,17,20,5,0
8.01,60,8,20,5,0
8.01,60,8,20,5,0
8.01,60,10,20,5,0
8.05,60,1,20,5,0
8.05,60,0,20,5,0
8.05,60,0,20,5,0
