"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Name","Longevity","Dispersal","Elevation","Days","Germinated","Tmax","Tmin","Light"
"Achnatherum splendens(Trin.)Nevski","Achnatherum","","splendens",NA,NA,"","(Trin.)Nevski","kew-387159",TRUE,"1.1","Synonym","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Stipa splendens","P","unassisted",2300,60,44,25,10,0
"Achnatherum splendens(Trin.)Nevski","Achnatherum","","splendens",NA,NA,"","(Trin.)Nevski","kew-387159",TRUE,"1.1","Synonym","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Stipa splendens","P","unassisted",2300,60,46,20,5,0
"Achnatherum splendens(Trin.)Nevski","Achnatherum","","splendens",NA,NA,"","(Trin.)Nevski","kew-387159",TRUE,"1.1","Synonym","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Stipa splendens","P","unassisted",2300,60,40,25,10,0
"Achnatherum splenolens ","Achnatherum","","splenolens",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","splenolens",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum splenolens","P","unassisted",2380,40,38,20,5,12
"Achnatherum splenolens ","Achnatherum","","splenolens",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","splenolens",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum splenolens","P","unassisted",2380,40,43,20,5,12
"Achnatherum splenolens ","Achnatherum","","splenolens",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","splenolens",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum splenolens","P","unassisted",2380,40,40,20,5,12
"Aconitum barbatum var. hispidum","Aconitum","","barbatum",NA,"var.","hispidum","","kew-2618420",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","barbatum","var.","hispidum","(DC.) Ser.","kew-2618420","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum barbatum","P","unassisted",2188,40,11,20,5,12
"Aconitum barbatum var. hispidum","Aconitum","","barbatum",NA,"var.","hispidum","","kew-2618420",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","barbatum","var.","hispidum","(DC.) Ser.","kew-2618420","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum barbatum","P","unassisted",2188,40,8,20,5,12
"Aconitum barbatum var. hispidum","Aconitum","","barbatum",NA,"var.","hispidum","","kew-2618420",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","barbatum","var.","hispidum","(DC.) Ser.","kew-2618420","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum barbatum","P","unassisted",2188,40,14,20,5,12
"Aconitum brunneum","Aconitum","","brunneum",NA,NA,"","","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3740,40,11,20,5,12
"Aconitum brunneum","Aconitum","","brunneum",NA,NA,"","","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3740,40,6,20,5,12
"Aconitum brunneum","Aconitum","","brunneum",NA,NA,"","","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3740,40,12,20,5,12
"Aconitum brunneum ","Aconitum","","brunneum",NA,NA,"","","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3824,40,1,20,5,12
"Aconitum brunneum ","Aconitum","","brunneum",NA,NA,"","","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3824,40,1,20,5,12
"Aconitum brunneum ","Aconitum","","brunneum",NA,NA,"","","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3824,40,0,20,5,12
"Aconitum brunneum Hand.-Mazz.","Aconitum","","brunneum",NA,NA,"","Hand.-Mazz.","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3300,60,7,25,10,0
"Aconitum brunneum Hand.-Mazz.","Aconitum","","brunneum",NA,NA,"","Hand.-Mazz.","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum brunneum","P","unassisted",3300,60,13,25,10,0
