ID,Germinated,Days,Tmax,Tmin,Light
15.14,6,40,20,5,12
15.14,0,40,20,5,12
15.02,21,40,20,5,12
15.02,23,40,20,5,12
15.02,24,40,20,5,12
15.03,50,40,20,5,12
15.03,50,40,20,5,12
15.03,50,40,20,5,12
15.04,19,40,20,5,12
15.04,21,40,20,5,12
15.04,30,40,20,5,12
15.05,0,40,20,5,12
15.05,5,40,20,5,12
15.05,2,40,20,5,12
15.06,46,40,20,5,12
15.06,46,40,20,5,12
15.06,44,40,20,5,12
15.07,0,40,20,5,12
15.07,1,40,20,5,12
15.07,0,40,20,5,12
15.08,33,40,20,5,12
15.08,33,40,20,5,12
15.08,36,40,20,5,12
15.09,16,40,20,5,12
15.09,26,40,20,5,12
15.09,33,40,20,5,12
17.1,16,40,20,5,12
17.1,20,40,20,5,12
17.1,15,40,20,5,12
17.01,42,40,20,5,12
17.01,39,40,20,5,12
17.01,34,40,20,5,12
17.11,12,40,20,5,12
17.11,10,40,20,5,12
17.11,15,40,20,5,12
17.12,48,40,20,5,12
17.12,49,40,20,5,12
17.12,48,40,20,5,12
17.02,5,40,20,5,12
17.02,4,40,20,5,12
17.02,4,40,20,5,12
17.03,15,40,20,5,12
17.03,10,40,20,5,12
17.03,7,40,20,5,12
17.04,9,40,20,5,12
17.04,10,40,20,5,12
17.04,13,40,20,5,12
17.05,3,40,20,5,12
17.05,0,40,20,5,12
17.05,2,40,20,5,12
17.06,1,40,20,5,12
17.06,4,40,20,5,12
17.06,3,40,20,5,12
17.08,41,40,20,5,12
17.08,44,40,20,5,12
17.08,47,40,20,5,12
17.09,3,40,20,5,12
17.09,1,40,20,5,12
17.09,4,40,20,5,12
18.08,2,40,20,5,12
18.08,4,40,20,5,12
18.08,2,40,20,5,12
19.01,11,40,20,5,12
19.01,11,40,20,5,12
19.01,19,40,20,5,12
19.11,0,40,20,5,12
19.11,1,40,20,5,12
19.11,1,40,20,5,12
19.12,47,40,20,5,12
19.12,45,40,20,5,12
19.12,47,40,20,5,12
19.02,3,40,20,5,12
19.02,1,40,20,5,12
19.02,1,40,20,5,12
19.03,8,40,20,5,12
19.03,11,40,20,5,12
19.03,14,40,20,5,12
19.06,5,40,20,5,12
19.06,11,40,20,5,12
19.06,2,40,20,5,12
24.01,1,40,20,5,12
24.01,1,40,20,5,12
24.01,2,40,20,5,12
24.11,1,40,20,5,12
24.11,3,40,20,5,12
24.11,3,40,20,5,12
24.12,18,40,20,5,12
24.12,31,40,20,5,12
24.12,33,40,20,5,12
24.13,22,40,20,5,12
24.13,34,40,20,5,12
24.13,33,40,20,5,12
24.14,40,40,20,5,12
24.14,34,40,20,5,12
24.14,40,40,20,5,12
24.15,6,40,20,5,12
24.15,5,40,20,5,12
24.15,11,40,20,5,12
24.02,27,40,20,5,12
24.02,39,40,20,5,12
24.02,29,40,20,5,12
24.03,46,40,20,5,12
24.03,46,40,20,5,12
24.03,50,40,20,5,12
24.04,5,40,20,5,12
24.04,17,40,20,5,12
24.04,12,40,20,5,12
24.05,0,40,20,5,12
24.05,2,40,20,5,12
24.05,4,40,20,5,12
24.06,32,40,20,5,12
24.06,35,40,20,5,12
24.06,33,40,20,5,12
24.07,41,40,20,5,12
24.07,46,40,20,5,12
24.07,47,40,20,5,12
24.09,43,40,20,5,12
24.09,46,40,20,5,12
24.09,48,40,20,5,12
25.11,21,40,20,5,12
25.11,20,40,20,5,12
25.11,23,40,20,5,12
25.12,47,40,20,5,12
25.12,48,40,20,5,12
25.12,48,40,20,5,12
25.15,38,40,20,5,12
25.15,26,40,20,5,12
25.15,28,40,20,5,12
25.16,49,40,20,5,12
25.16,48,40,20,5,12
25.16,47,40,20,5,12
25.17,0,40,20,5,12
25.17,0,40,20,5,12
25.17,2,40,20,5,12
25.18,42,40,20,5,12
25.18,49,40,20,5,12
25.18,48,40,20,5,12
