"TPLName","Dormancy"
"Conospermum undulatum","PD"
"Conostylis aculeata","MPD"
"Conostylis candicans","MPD"
"Conostylis neocymosa","MPD"
"Conostylis setigera","MPD"
"Conostylis setosa","MPD"
"Consolida ajacis","MPD"
"Consolida divaricata","MPD"
"Consolida orientalis","MPD"
"Consolida persica","MPD"
"Consolida regalis","MPD"
"Consolida rugulosa","MPD"
"Convallaria majalis","MPD"
"Convolvulus arvensis","PY"
"Convolvulus canariensis","PY"
"Convolvulus caput-medusae","PY"
"Convolvulus erubescens","PY"
"Convolvulus floridus","PY"
"Convolvulus glandulosus","PY"
"Convolvulus lanatus","PY"
"Convolvulus microphyllus","PY"
"Convolvulus negevensis","PY"
"Convolvulus perraudieri","PY"
"Convolvulus remotus","PY"
"Convolvulus scoparius","PY"
"Conyza abyssinica","ND"
"Conyza hochstetteri","PD"
"Coopernookia polygalacea","PD"
"Coopernookia strophiolata","PD"
"Copaifera aromatica","ND"
"Copaifera cambiar","ND"
"Copaifera langsdorffii","PY"
"Copaifera martii","ND"
"Copaifera multijuga","ND"
"Copaifera officinalis","ND"
"Copaifera salikounda","ND"
"Copernicia curtissii","MD"
"Copernicia glabrescens","MD"
"Copernicia hospita","MPD"
"Copernicia prunifera","MPD"
"Copernicia yarey","MPD"
"Coprosma crassifolia","PD"
"Coprosma cymosa","PD"
"Coprosma ernodeoides","PD"
"Coprosma foetidissima","PD"
"Coprosma grandifolia","PD"
"Coprosma lucida","PD"
"Coprosma montana","PD"
"Coprosma ochracea","PD"
"Coprosma oliveri","PD"
"Coprosma pyrifolia","PD"
"Coprosma repens","PD"
"Coprosma rhamnoides","PD"
"Coprosma rhynchocarpa","PD"
"Coprosma robusta","PD"
"Coprosma tenuicaulis","PD"
"Coprosma virescens","PD"
"Coptis asplenifolia","MPD"
"Coptis teeta","MPD"
"Corchoropsis tomentosa","PD"
"Corchorus aestuans","PY"
"Corchorus capsularis","PY"
"Corchorus depressus","PY"
"Corchorus fascicularis","PY"
"Corchorus olitorius","PY"
"Corchorus pseudo-olitorius","PY"
"Corchorus tridens","PY"
"Corchorus trilocularis","PY"
"Cordia africana","PD"
"Cordia alliodora","PD"
"Cordia americana","ND"
"Cordia apurensis","ND"
"Cordia bicolor","PD"
"Cordia boissieri","PD"
"Cordia collococca","PD"
"Cordia cylindrostachya","ND"
"Cordia dichotoma","PD"
"Cordia dodecandra","ND"
"Cordia ecalyculata","PD"
"Cordia elaeagnoides","PD"
"Cordia gerascanthus","ND"
"Cordia goeldiana","PD"
"Cordia laevigata","ND"
"Cordia multispicata","ND"
"Cordia myxa","PD"
"Cordia oncocalyx","PD"
"Cordia platythyrsa","PD"
"Cordia sebestena","PD"
"Cordia senegalensis","PD"
"Cordia sinensis","PD"
"Cordia subcordata","PD"
"Cordia sulcata","PD"
"Cordia trichotoma","PD"
"Cordia vestita","PD"
"Cordiera sessilis","PD"
"Cordya africana","PY"
"Cordya densiflora","ND"
"Cordya pinnata","ND"
"Cordylanthus maritimus","PD"
"Cordyline australis","ND"
"Cordyline banksii","PD"
"Corema conradii","PD"
"Coreopsis bigelovii","PD"
"Coreopsis lanceolata","PD"
"Coreopsis leavenworthii","PD"
"Coreopsis palmata","PD"
"Coreopsis rosea","PD"
"Coreopsis tinctoria","ND"
"Coreopsis tripteris","PD"
"Coriandrum sativum","MPD"
"Coriaria angustissima","PD"
"Coriaria arborea","ND"
"Coriaria japonica","PD"
"Coriaria myrtifolia","PD"
"Coriaria nepalensis","PD"
"Coriaria plumosa","ND"
"Coriaria ruscifolia","ND"
"Corilaena hirsuta","PD"
"Corilaena quercifolia","PD"
"Coriospermum villosum","PD"
"Corispermum chinganicum","MPD"
"Corispermum hyssopifolium","PD"
"Corispermum tibeticum","PD"
"Cornus alba","PD"
"Cornus amomum","PD"
"Cornus canadensis","PD"
"Cornus capitata","PD"
"Cornus controversa","PD"
"Cornus disciflora","PD"
"Cornus drummondii","PD"
"Cornus excelsa","PD"
"Cornus florida","PD"
"Cornus hemsleyi","PD"
"Cornus kousa","PD"
"Cornus macrophylla","PD"
"Cornus mas","PD"
"Cornus nuttallii","PD"
"Cornus racemosa","PD"
"Cornus rugosa","PD"
"Cornus sanguinea","PD"
"Cornus sericea","PD"
"Coronilla juncea","PY"
"Coronilla minima","PY"
"Coronilla scorpioides","PY"
"Coronilla vaginalis","PY"
"Coronilla valentina","PY"
"Corrigiola litoralis","PD"
"Corydalis adunca","MPD"
"Corydalis ambigua","MPD"
"Corydalis aurea","MPD"
"Corydalis bracteata","MPD"
"Corydalis caucasica","MPD"
"Corydalis cava","MPD"
"Corydalis flavula","MPD"
"Corydalis impatiens","MPD"
"Corydalis magadanica","PD"
"Corydalis pumila","MPD"
"Corydalis solida","MPD"
"Corylopsis coreana","PD"
"Corylopsis sinensis","PD"
"Corylus americana","PD"
"Corylus avellana","PD"
"Corylus colurna","PD"
"Corylus cornuta","PD"
"Corylus heterophylla","PD"
"Corylus jacquemontii","PD"
"Corylus sieboldiana","PD"
"Corymbia bleeseri","ND"
"Corymbia calophylla","ND"
"Corymbia citriodora","PD"
"Corymbia dichromophloia","ND"
"Corymbia ferruginea","ND"
"Corymbia foelscheana","ND"
"Corymbia intermedia","ND"
"Corymbia maculata","ND"
"Corymbia nesophila","ND"
"Corymbia papuana","ND"
"Corymbia polycarpa","ND"
"Corymbia porrecta","PD"
"Corymbia ptychocarpa","ND"
"Corymbia tessellaris","ND"
"Corymbia torelliana","ND"
"Corynanthe pachyceras","ND"
"Corynephorus canescens","ND"
"Corynocarpus laevigatus","PD"
"Corynopuntia kunzei","PD"
"Corypha lecomtei","MPD"
"Corypha umbraculifera","MPD"
"Coryphanta gladispina","PD"
"Coryphanta pallida","ND"
"Coryphantha potosiana","PD"
"Corythophora rimosa","ND"
"Cosmelia rubra","PD"
"Cosmos bipinnatus","PD"
"Cosscinium wallichianum","PD"
"Cotinus coggygria","PYPD"
"Cotinus obovatus","PYPD"
"Cotoneaster acutifolius","PD"
"Cotoneaster adpressus","PD"
"Cotoneaster affinis","PD"
"Cotoneaster ambiguus","PD"
"Cotoneaster amoenus","PD"
"Cotoneaster apiculatus","PD"
"Cotoneaster armenus","PD"
"Cotoneaster ascendens","PD"
"Cotoneaster bullatus","PD"
"Cotoneaster buxifolius","PD"
"Cotoneaster cochleatus","PD"
"Cotoneaster congestus","PD"
"Cotoneaster conspicuus","PD"
"Cotoneaster dammeri","PD"
"Cotoneaster dielsianus","PD"
"Cotoneaster divaricatus","PD"
"Cotoneaster foveolatus","PD"
"Cotoneaster franchetii","PD"
"Cotoneaster harrysmithii","PD"
"Cotoneaster hebephyllus","PD"
"Cotoneaster henryanus","PD"
"Cotoneaster hissaricus","PD"
"Cotoneaster horizontalis","PD"
"Cotoneaster hupehensis","PD"
"Cotoneaster insignis","PD"
"Cotoneaster integerrimus","PD"
"Cotoneaster lucidus","PD"
"Cotoneaster megalocarpus","PD"
"Cotoneaster melanocarpus","PD"
"Cotoneaster microphyllus","PD"
"Cotoneaster moupinensis","PD"
"Cotoneaster multiflorus","PD"
"Cotoneaster niger","PD"
"Cotoneaster nitens","PD"
"Cotoneaster non-shan","PD"
"Cotoneaster nummularioides","PD"
"Cotoneaster nummularius","PD"
"Cotoneaster numullaria","PD"
"Cotoneaster obscurus","PD"
"Cotoneaster oliganthus","PD"
"Cotoneaster pannosus","PD"
"Cotoneaster perpusillus","PD"
"Cotoneaster pseudomultiflorus","PD"
"Cotoneaster racemiflorus","PD"
"Cotoneaster radicans","PD"
"Cotoneaster rehderi","PD"
"Cotoneaster reticulatus","PD"
"Cotoneaster rhytidophyllus","PD"
"Cotoneaster roborowskii","PD"
"Cotoneaster rotundifolius","PD"
"Cotoneaster rubens","PD"
"Cotoneaster salicifolius","PD"
"Cotoneaster saxatilis","PD"
"Cotoneaster simonsii","PD"
"Cotoneaster sternianus","PD"
"Cotoneaster suavis","PD"
"Cotoneaster tauricus","PD"
"Cotoneaster tenuipes","PD"
"Cotoneaster turbinatus","PD"
"Cotoneaster uniflorus","PD"
"Cotoneaster wardii","PD"
"Cotoneaster zabelii","PD"
"Cotoneaster zeravschanicus","PD"
"Cotonester acuminata","PD"
"Cotonester acutifolius","PD"
"Cotonester adpressus","PD"
"Cotonester ambiguus","PD"
"Cotonester divaricatus","PD"
"Cotonester foveolatus","PD"
"Cotonester microphyllus","PD"
"Cotonester submultiflorus","PD"
"Cotula coronopifolia","ND"
"Cotylelobium burckii","ND"
"Cotylelobium melanoxylon","ND"
"Couepia grandiflora","ND"
"Couepia longipendula","ND"
"Couepia polyandra","PD"
"Coula edulis","MPD"
"Coula gore","MPD"
"Couma guianensis","ND"
"Couma utilis","ND"
"Couratari asterotricha","PD"
"Couratari stellata","PD"
"Couroupita guianensis","ND"
"Couroupita oblongifolia","ND"
"Coursetia axillaris","PY"
"Coussapoa asperifolia","ND"
"Coussarea curvigemma","PD"
"Coussarea hydrangeaefolia","PD"
"Coutarea hexandra","ND"
"Cowania stansburyana","PD"
"Craibiodendron stellatum","PD"
"Crambe arborea","PD"
"Crambe cordifolia","PD"
"Crambe scaberrima","PD"
"Crambe strigosa","PD"
"Crambe tataria","PD"
"Craspedia variabilis","PD"
"Crassocephalum crepidioides","ND"
"Crassocephalum rubens","PD"
"Crassula alsinoides","PD"
"Crassula aquatica","PD"
"Crassula closiana","PD"
"Crataegus almaatensis","PD"
"Crataegus anomala","PD"
"Crataegus arnoldiana","PD"
"Crataegus azarolus","PD"
"Crataegus chlorocarpa","PD"
"Crataegus chlorosarca","PD"
"Crataegus chrysocarpa","PD"
"Crataegus coccinea","PD"
"Crataegus crus-galli","PD"
"Crataegus dahurica","PD"
"Crataegus douglasii","PD"
"Crataegus dsungarica","PD"
"Crataegus flava","PD"
"Crataegus jackii","PD"
"Crataegus kansuensis","PD"
"Crataegus laevigata","PD"
"Crataegus maximowiczii","PD"
"Crataegus microphylla","PD"
"Crataegus mollis","PD"
"Crataegus monogyna","PD"
"Crataegus nigra","PD"
"Crataegus orientalis","PD"
"Crataegus pedicellata","PD"
"Crataegus persimilis","PD"
"Crataegus phaenopyrum","PD"
"Crataegus pinnatifida","PD"
"Crataegus punctata","PD"
"Crataegus rivularis","PD"
"Crataegus sanguinea","PD"
"Crataegus sinaica","PD"
"Crataegus submollis","PD"
"Crataegus succulenta","PD"
"Crataegus tracyi","PD"
"Crataegus wattiana","PD"
"Crataeva benthami","ND"
"Crataeva nurvala","PD"
"Crataeva religiosa","PD"
"Cratoxylum cochinchinense","PD"
"Cratoxylum formosum","PD"
"Cremanthodium brunneopilosum","PD"
"Cremanthodium lineare","ND"
"Crepidiastrum denticulatum","ND"
"Crepis tectorum","ND"
"Crescentia alata","ND"
"Crescentia amazonica","ND"
"Crescentia cujete","ND"
"Cressa cretica","PY"
"Crinodendron hookerianum","PD"
"Crinodendron patagua","PD"
"Crithmum maritimum","MPD"
"Crocus banaticus","MD"
"Crocus caeruleus","MD"
"Crocus heuffelianus","MD"
"Crocus vernus","MD"
"Crossotoma spinescens","PD"
"Crotalaria aegyptiaca","PY"
"Crotalaria assamica","PY"
"Crotalaria burhia","PY"
"Crotalaria calycina","PY"
"Crotalaria cunninghamii","PY"
"Crotalaria grandibracteata","PY"
"Crotalaria juncea","PY"
"Crotalaria lanceolata","PY"
"Crotalaria medicaginea","PY"
"Crotalaria montana","PY"
"Crotalaria mysorensis","PY"
"Crotalaria pallida","PY"
"Crotalaria pumila","PY"
"Crotalaria retusa","PY"
"Crotalaria verrucosa","PY"
"Crotolaria pumila","PY"
"Crotolaria spectabilis","PY"
"Croton alabamensis","PD"
"Croton argyratus","PD"
"Croton aubrevillei","ND"
"Croton floribundus","PD"
"Croton macrostachyus","PD"
"Croton matourensis","ND"
"Croton megalocarpus","PD"
"Croton piptocalyx","PD"
"Croton priscus","ND"
"Croton punctatus","PD"
"Croton torreyanus","PD"
"Crowea angustifolia","PD"
"Cruciata laevipes","PD"
"Crudia amazonica","PY"
"Crudia curtisii","PY"
"Crudia gabonensis","PY"
"Crudia klainei","PY"
"Crudia oblonga","PY"
"Crudia senegalensis","PY"
"Crupina vulgaris","PD"
"Cryosophila warscewiczii","MPD"
"Crypsis aculeata","PD"
"Cryptandra arbutifolia","PY"
"Cryptantha minima","PD"
"Cryptantha pectocarya","PD"
"Cryptocarpa alba","ND"
"Cryptocarya alba","ND"
"Cryptocarya aschersoniana","ND"
"Cryptocarya chinensis","PD"
"Cryptocarya concinna","PD"
"Cryptocarya ferrea","PD"
"Cryptocarya hypospodia","ND"
"Cryptocarya mackinnoniana","PD"
"Cryptocarya mannii","PD"
"Cryptocarya murrayi","ND"
"Cryptocarya oblata","ND"
"Cryptocarya wightiana","PD"
"Cryptomeria japonica","PD"
"Cryptostegia grandiflora","PD"
"Cryptotaenia canadensis","MPD"
"Cryptotaenia elegans","MPD"
"Ctenium cirrhosum","PD"
"Cucumeropsis mannii","ND"
"Cucumis anguria","PD"
"Cucumis melo","PD"
"Cucumis myriocarpus","PD"
"Cucumis prophetarum","PD"
"Cucurbita foetidissima","PD"
"Cucurbita pepo","PD"
"Cullen cinereum","PY"
"Cullen corylifolium","PY"
"Cullen tenax","PY"
"Cuminia eriantha","PD"
"Cunninghamia lanceolata","ND"
"Cunonia macrophylla","PD"
"Cunonia pruionsa","PD"
"Cupania americana","PD"
"Cupania emarginata","PY"
"Cupania latifolia","PD"
"Cupania seemannii","ND"
"Cupania vernalis","PD"
"Cupaniopsis flagelliformis","PY"
"Cupaniopsis foveolata","PY"
"Cuphea carthagenensis","ND"
"Cuphea laminuligera","PD"
"Cuphea viscosissima","PD"
"Cuphea wrightii","PD"
"Cupressus arizonica","PD"
"Cupressus bakeri","PD"
"Cupressus cashmeriana","PD"
"Cupressus chengiana","PD"
"Cupressus duclouxiana","PD"
"Cupressus dupreziana","PD"
"Cupressus funebris","PD"
"Cupressus goveniana","PD"
"Cupressus guadalupensis","PD"
"Cupressus lusitanica","PD"
"Cupressus macnabiana","PD"
"Cupressus macrocarpa","PD"
"Cupressus nootkatensis","PD"
"Cupressus sargentii","PD"
"Cupressus sempervirens","PD"
"Cupressus torulosa","PD"
"Curatella americana","MD"
"Cuscuta campestris","ND"
"Cuscuta chinensis","PY"
"Cuscuta epithymum","PY"
"Cuscuta gronovii","PY"
"Cuscuta japonica","PY"
"Cuscuta lupuliformis","PY"
"Cuscuta obtusiflora","PYPD"
"Cuscuta reflexa","PY"
"Cussonia bancoensis","MD"
"Cutandia dichotoma","PD"
"Cyananthus hookeri","PD"
"Cyanea angustifolia","MPD"
"Cyanea grimesiana","MPD"
"Cyanea kunthiana","MD"
"Cyanea membranacea","MPD"
"Cyanella hyacinthoides","PD"
"Cyanella orchidiformis","PD"
"Cyanostegia angustifolia","PD"
"Cyanostegia lanceolata","PD"
"Cyanothamnus tenuis","PD"
"Cyanthillium stelluliferum","ND"
"Cyanus segetum","PD"
"Cyathocalyx maingayi","MPD"
"Cybianthus spicatus","ND"
"Cybistax antisyphilitica","PD"
"Cycas circinalis","MPD"
"Cycas revoluta","MPD"
"Cyclamen hederifolium","PD"
"Cyclamen persicum","PD"
"Cyclamen purpurascens","PD"
"Cyclocarya paliurus","PD"
"Cyclopia pubescens","PY"
"Cyclospermum leptophyllum","MPD"
"Cydonia oblonga","PD"
"Cylicodiscus gabunensis","ND"
"Cylindropuntia fulgida","PD"
"Cylindropuntia imbricata","PD"
"Cylindropuntia kleiniae","PD"
"Cymbalaria muralis","PD"
"Cymbaria daurica","PD"
"Cymbopetalum baillonii","MPD"
"Cymbopogon jwarancusa","PD"
"Cymbopogon obtectus","PD"
"Cymbopogon refractus","PD"
"Cymodocea nodosa","PD"
"Cymodocea rotundata","ND"
"Cymopterus glomeratus","MD"
"Cynanchum auriculatum","PD"
"Cynanchum barbigerum","PD"
"Cynanchum bungei","PD"
"Cynanchum inamoenum","PD"
"Cynanchum otophyllum","PD"
"Cynanchum paniculatum","PD"
"Cynanchum thesioides","PD"
"Cynodon dactylon","PD"
"Cynoglossum amabile","PD"
"Cynoglossum divaricatum","PD"
"Cynoglossum lanceolatum","PD"
"Cynoglossum officinale","PD"
"Cynometra ananta","ND"
"Cynometra bauhiniifolia","PY"
"Cynometra cauliflora","PY"
"Cynometra elmeri","PY"
"Cynometra megalophylla","ND"
"Cynometra spruceana","PY"
"Cynomorium coccineum","MPD"
"Cyperus cyperoides","ND"
"Cyperus esculentus","PD"
"Cyperus granitophilus","PD"
"Cyperus hillebrandii","PD"
"Cyperus iria","PD"
"Cyperus odoratus","PD"
"Cyperus papyrus","ND"
"Cyperus rotundus","PD"
"Cyperus schweinitzii","PD"
"Cyperus scoparius","PD"
"Cyperus sphacelatus","ND"
"Cyperus squarrosus","PD"
"Cyperus tenuis","PD"
"Cyperus ustulatus","PD"
"Cyphanthera odgersii","PD"
"Cyrtandra cordifolia","ND"
"Cyrtandra grandiflora","ND"
"Cyrtandra lessoniana","ND"
"Cyrtandra longifolia","ND"
"Cyrtocarpa velutinifolia","PD"
"Cyrtococcum patens","ND"
"Cyrtosia septentrionalis","MD"
"Cyrtostachys renda","MPD"
"Cytisophyllum sessilifolium","PY"
"Cytisus arboreus","PY"
"Cytisus austriacus","PY"
"Cytisus balansae","PY"
"Cytisus elongatus","PY"
"Cytisus florida","PY"
"Cytisus heterochrous","PY"
"Cytisus insularis","PY"
"Cytisus multiflorus","PY"
"Cytisus proliferus","PYPD"
"Cytisus purpureus","PY"
"Cytisus ratisbonensis","PY"
"Cytisus reverchonii","PY"
"Cytisus ruthenicus","PY"
"Cytisus scoparius","PY"
"Cytisus striatus","PY"
"Dacrycarpus dacrydioides","MPD"
"Dacrycarpus imbricatus","MD"
"Dacrydium comosum","MPD"
"Dacrydium cupressinum","MPD"
"Dacrydium dacrycarpus","MPD"
"Dacryodes costata","ND"
"Dacryodes edulis","ND"
"Dacryodes excelsa","ND"
"Dacryodes kingii","PD"
"Dacryodes klaineana","ND"
"Dacryodes laxa","PD"
"Dacryodes rostrata","ND"
"Dacryodes rugosa","PD"
"Dactyladenia scabrifolia","ND"
"Dactylis glomerata","PD"
"Dactyloctenium aegyptium","PD"
"Dactyloctenium radulans","PD"
"Daemonoropus calicarpa","MPD"
"Daemonoropus cristata","MPD"
"Daemonoropus didymophylla","MPD"
"Daemonoropus geniculata","MPD"
"Daemonoropus grandis","MPD"
"Daemonoropus margaritae","MPD"
"Daemonoropus microstachys","MPD"
"Daemonoropus periacantha","MPD"
"Daemonoropus sabu","MPD"
"Daemonoropus verticillaris","MPD"
"Dahlia coccinea","PD"
"Dais cotinifolia","PD"
"Dalbergia assamica","PY"
"Dalbergia bariensis","PY"
"Dalbergia cochinchinensis","PY"
"Dalbergia cultrata","PY"
"Dalbergia fusca","ND"
"Dalbergia inundata","PY"
"Dalbergia latifolia","PY"
"Dalbergia melanoxylon","PY"
"Dalbergia miscolobium","ND"
"Dalbergia nigra","ND"
"Dalbergia oliveri","PY"
"Dalbergia retusa","ND"
"Dalbergia riedelii","PY"
"Dalbergia rimosa","PY"
"Dalbergia riparia","PY"
"Dalbergia sissoo","PY"
"Dalbergia spruceana","ND"
"Dalbergia villosa","ND"
"Dalea candida","PY"
"Dalea foliosa","PY"
"Dalea gattingeri","PY"
"Dalea purpurea","PY"
"Dalechampia pentaphylla","PD"
"Dalhousiea africana","PY"
"Dalzellia ceylanica","PD"
"Dampiera eriocephala","PD"
"Dampiera spicigera","PD"
"Dampiera wellsiana","PD"
"Danae racemosa","PD"
"Daniellia thurifera","ND"
"Danthonia californica","PD"
"Danthonia decumbens","PD"
"Danthonia spicata","PD"
"Daphne cneorum","PD"
"Daphne gnidium","PD"
"Daphne mezereum","PD"
"Daphne oleoides","PD"
"Daphne papyracea","ND"
"Daphne tangutica","PD"
"Daphniphyllum glaucescens","MPD"
"Daphniphyllum neilgrensis","MPD"
"Daphnopsis americana","PD"
"Daphyniphyllum himalaense","MPD"
"Darwinia acerosa","PD"
"Darwinia biflora","PD"
"Darwinia carnea","PD"
"Darwinia chapmaniana","PD"
"Darwinia citriodora","PD"
"Darwinia collina","PD"
"Darwinia diminuta","PD"
"Darwinia diosmoides","PD"
"Darwinia fascicularis","PD"
"Darwinia ferricola","PD"
"Darwinia glaucophylla","PD"
"Darwinia helichrysoides","PD"
"Darwinia leiostyla","PD"
"Darwinia neildiana","PD"
"Darwinia oldfieldii","PD"
"Darwinia oxylepis","PD"
"Darwinia procera","PD"
"Darwinia purpurea","PD"
"Darwinia squarrosa","PD"
"Darwinia thymoides","PD"
"Darwinia wittwerorum","PD"
"Dasiphora fruticosa","PD"
"Dasypogon bromeliifolius","MPD"
"Datura ferox","PD"
"Datura metel","ND"
"Datura stramonium","PD"
"Daucus carota","MD"
"Daucus pusillus","MPD"
"Davidia involucrata","PD"
"Daviesia alternifolia","PY"
"Daviesia bursarioides","PY"
"Daviesia campephylla","PY"
"Daviesia cordata","PY"
"Daviesia cunderdin","PY"
"Daviesia decurrens","PY"
"Daviesia elongata","PY"
"Daviesia euphorbioides","PY"
"Daviesia horrida","PY"
"Daviesia megacalyx","PY"
"Daviesia microcarpa","PY"
"Daviesia oxylobium","PY"
"Daviesia preissii","PY"
"Daviesia pseudaphylla","PY"
"Daviesia spiralis","PY"
"Davilla nitida","MPD"
"Debregeasia longifolia","ND"
"Decaspermum fruticosum","PD"
"Deckenia nobilis","MPD"
"Dedeckera eurekensis","PD"
"Deeringothamnus rugelii","MPD"
"Deguelia costata","ND"
"Deguelia scandens","PY"
"Dehaasia incrassata","PD"
"Deinbollia pinnata","ND"
"Delarbrea michieana","MPD"
"Delissea rhytidosperma","MPD"
"Delissea subcordata","MPD"
"Delonix elata","PY"
"Delonix regia","PY"
"Delosperma herbeum","ND"
"Delosperma richardsonii","PD"
"Delphinium alabamicum","MPD"
"Delphinium ambiguum","MPD"
"Delphinium barbeyi","MPD"
"Delphinium brunonianum","MPD"
"Delphinium campylocentrum","MPD"
"Delphinium cardinale","MPD"
"Delphinium carolinianum","MD"
"Delphinium cashmerianum","MPD"
"Delphinium caucasicum","ND"
"Delphinium confusum","MPD"
"Delphinium crispulum","PD"
"Delphinium dasycarpum","PD"
"Delphinium densiflorum","MPD"
"Delphinium elatum","MPD"
"Delphinium exaltatum","MPD"
"Delphinium fissum","MPD"
"Delphinium flexuosum","ND"
"Delphinium formosum","ND"
"Delphinium geraniifolium","MPD"
"Delphinium geyeri","MPD"
"Delphinium glaucum","MPD"
"Delphinium grandiflorum","MPD"
"Delphinium gyalanum","MPD"
"Delphinium hohenackeri","MPD"
"Delphinium iliense","ND"
"Delphinium kamaonense","MD"
"Delphinium maackianum","PD"
"Delphinium nuttallianum","MPD"
"Delphinium occidentale","MPD"
"Delphinium parishii","MPD"
"Delphinium puniceum","ND"
"Delphinium purpusii","MPD"
"Delphinium pylzowii","MD"
"Delphinium ranunculoides","MPD"
"Delphinium siwanense","MPD"
"Delphinium speciosum","ND"
"Delphinium tatsienense","ND"
"Delphinium tricorne","MPD"
"Delphinium villosum","MPD"
"Dendrocalamus giganteus","ND"
"Dendrocalamus hamiltonii","ND"
"Dendrocalamus longispathus","ND"
"Dendrocalamus sikkimensis","ND"
"Dendrocalamus strictus","ND"
"Dendroenide moroides","ND"
"Dendromecon rigida","MPD"
"Dendropanax arboreus","MPD"
"Dendropanax cuneatus","MPD"
"Dendrosenecio keniodendron","ND"
"Dendroseris litoralis","ND"
"Deplanchia tetraphylla","PD"
"Derris microphylla","ND"
"Deschampsia cespitosa","PD"
"Deschampsia flexuosa","PD"
"Deschampsia nubigena","PD"
"Descurainia bourgaeana","PD"
"Descurainia gilva","PD"
"Descurainia lemsii","PD"
"Descurainia millefolia","PD"
"Descurainia preauxiana","PD"
"Descurainia sophia","PD"
"Desmanthus bicornutus","PY"
"Desmanthus illinoensis","PY"
"Desmanthus leptophyllus","PY"
"Desmanthus pubescens","PY"
"Desmanthus velutinus","PY"
"Desmanthus virgatus","PY"
"Desmazeria philistaea","PD"
"Desmocladus semiplanus","PD"
"Desmodium barbatum","PY"
"Desmodium canescens","PY"
"Desmodium discolor","PY"
"Desmodium elegans","PY"
"Desmodium filiforme","PY"
"Desmodium heterocarpon","PY"
"Desmodium heterophyllum","PY"
"Desmodium incanum","PY"
"Desmodium oojeinense","ND"
"Desmodium paniculatum","PY"
"Desmodium sessilifolium","PY"
"Desmodium tortuosum","PY"
"Desmodium uncinatum","PY"
"Desmodium varians","PY"
"Desmodium velutinum","PY"
"Desmoncus orthacanthos","MPD"
"Desmopsis panamensis","MPD"
"Desmos chinensis","MPD"
"Desplatsia chrysochlamys","ND"
"Desplatsia subericarpa","ND"
"Detarium macrocarpum","PY"
"Detarium microcarpum","PY"
"Deutzia crenata","PD"
"Deyeuxia flavens","PD"
"Dialium aubrevillei","PY"
"Dialium cochinchinense","PY"
"Dialium dinklagei","PY"
"Dialium guianense","PY"
"Dialium guineense","PY"
"Dialium platysepalum","PY"
"Dialium senegalense","PY"
"Dianella densifolius","MPD"
"Dianella ensifolia","PD"
"Dianella longifolia","MPD"
"Dianella nigra","PD"
"Dianella revoluta","MPD"
"Dianella sandwicensis","PD"
"Dianella tarda","MPD"
"Dianella tasmanica","MPD"
"Dianthus arenarius","PD"
"Dianthus armeria","PD"
"Dianthus deltoides","PD"
"Dianthus superbus","PD"
"Diapensia lapponica","PD"
"Diarrhena americana","PD"
"Diatenopteryx sorbifolia","ND"
"Dicella bracteosa","ND"
"Dicentra cucullaria","MPD"
"Dicentra eximia","MPD"
"Dicentra formosa","MPD"
"Dicerothamnus rhinocerotis","PD"
"Dichanthium annulatum","PD"
"Dichanthium sericeum","PD"
"Dichapetalum heudelotii","ND"
"Dichapetalum madagascariense","PD"
"Dichapetalum mombuttense","PD"
"Dichapetalum thollonii","PD"
"Dichapetalum unguiculatum","PD"
"Dichelachne micrantha","PD"
"Dichelostemma congestum","MPD"
"Dichelostemma ida-maia","MPD"
"Dichelostemma multiflorum","MPD"
"Dichondra repens","PY"
"Dichroa febrifuga","PD"
"Dichrocephala chrysanthemifolia","ND"
"Dichrocephala integrifolia","ND"
"Dichrostachys cinerea","PY"
"Dichrostachys spicata","PY"
"Dicoma tomentosa","PD"
"Dicramostigma leptopodum","MPD"
"Dicranostyles ampla","PY"
"Dicrastylis fulva","PD"
"Dictamnus albus","PD"
"Dictyoloma vandellianum","ND"
"Dictyophleba stipulosa","ND"
"Dictyosperma album","MPD"
"Diectiomis fastigiata","PD"
"Dieffenbachia seguine","ND"
"Dienbollia borbonica","ND"
"Diervilla lonicera","MD"
"Dietes bicolor","PD"
"Digera muricata","PD"
"Digitalis grandiflora","PD"
"Digitalis mariana","PD"
"Digitalis purpurea","PD"
"Digitaria ammophila","PD"
"Digitaria breviglumis","PD"
"Digitaria brownii","PD"
"Digitaria californica","PD"
"Digitaria ciliaris","PD"
"Digitaria eriantha","PD"
"Digitaria exilis","PD"
"Digitaria ischaemum","PD"
"Digitaria longiflora","ND"
"Digitaria milanjiana","PD"
"Digitaria ramularis","PD"
"Digitaria sanguinalis","PD"
"Digitaria velutina","PD"
"Dillenia albiflorus","MPD"
"Dillenia excelsa","MPD"
"Dillenia eximia","MPD"
"Dillenia indica","MPD"
"Dillenia obovata","MPD"
"Dillenia ovata","MPD"
"Dillenia parviflora","MPD"
"Dillenia suffruticosa","MPD"
"Dillenia sumatrana","MPD"
"Dillwynia floribunda","PY"
"Dillwynia retorta","PY"
"Dilodendron bipinnatum","ND"
"Dimocarpus longan","ND"
"Dimorphandra jorgei","PY"
"Dimorphandra macrostachya","PY"
"Dimorphandra mollis","PY"
"Dimorphandra wilsonii","PY"
"Dimorphotheca pluvialis","PD"
"Dimorphotheca polyptera","PD"
"Dimorphotheca sinuata","PD"
