FoCh name,Range,Habitat,Alpine,Min elevation,Max elevation,Standardized name,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
,500-1200 m,"Dry mountain slopes, sandy and gravelly floodplains, wastelands; 500-1200 m. Gansu, Qinghai, Shaanxi, Xinjiang, Xizang [Kazakhstan, Kyrgyzstan, Mongolia, Russia, Tajikistan].",Lowland,500,1200,Linum pallescens,Linum pallescens ,Linum,,pallescens,NA,NA,,,kew-2347270,TRUE,1.1,Accepted,Linaceae,Linum,,pallescens,,,Bunge,kew-2347270,Accepted,FALSE,FALSE,FALSE,28/10/2019
,900--1200 m,"Mixed forests; 900--1200 m. Guizhou, Heilongjiang, Jiangsu, Nei Mongol, Qinghai, Shaanxi, Sichuan, Taiwan, Xinjiang, Xizang, Yunnan, Zhejiang [Afghanistan, Japan, Kazakhstan, Nepal, Russia; N Africa, SW Asia, S Europe].",Lowland,900,1200,Stellaria neglecta,Stellaria neglecta Weihe ex Fingerh.,Stellaria,,neglecta,NA,NA,,Weihe ex Fingerh.,kew-2482630,TRUE,1.1,Accepted,Caryophyllaceae,Stellaria,,neglecta,,,Weihe,kew-2482630,Accepted,FALSE,FALSE,FALSE,06/09/2019
Solanum villosum,100-1300 m,"Slopes, valleys, near roads, shady places; 100-1300 m. Gansu, Qinghai, Shanxi, Xinjiang, occasionally cultivated in Hebei [Afghanistan, India, Nepal; SW Asia, Europe].",Lowland,100,1300,Solanum hoehnei,Solanum alatum ,Solanum,,alatum,NA,NA,,,tro-100363270,TRUE,1.1,Synonym,Solanaceae,Solanum,,hoehnei,,,C.V. Morton,tro-29607614,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1100-1300 m,"Dry open slopes, boulder strewn washes, open canyons; 1100-1300 m. Gansu, Hebei, Nei Mongol, Shaanxi, Shanxi [Mongolia].",Lowland,1100,1300,Caryopteris mongholica,Caryopteris mongholica ,Caryopteris,,mongholica,NA,NA,,,kew-34735,TRUE,1.1,Accepted,Lamiaceae,Caryopteris,,mongholica,,,Bunge,kew-34735,Accepted,FALSE,FALSE,FALSE,28/10/2019
Aster mongolicus,sea level to 1300 m,"Mountain slopes, thickets, semi-open secondary forests, margins of coniferous forests, mixed broad-leaved forests, field margins; sea level to 1300 m. Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol [Korea, E Russia].",Lowland,0,1300,Kalimeris mongolica,Kalimeris mongolica (Franch.) Kitam.,Kalimeris,,mongolica,NA,NA,,(Franch.) Kitam.,gcc-105749,TRUE,1.1,Accepted,Compositae,Kalimeris,,mongolica,,,(Franch.) Kitam.,gcc-105749,Accepted,FALSE,FALSE,FALSE,06/09/2019
,ca. 1400 m,"Forest margins, damp rocky ledges; ca. 1400 m. Anhui, Guangdong, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jilin, Liaoning, Nei Mongol, Shaanxi, Shandong, Shanxi, Sichuan [Japan, Korea].",Lowland,1400,1400,Thalictrum minus,Thalictrum minus L. var. hypoleucum (Sieb.et Zucc.) Miq.,Thalictrum,,minus,NA,var.,hypoleucum,(Sieb.et Zucc.) Miq.,tro-27100520,TRUE,1.1,Accepted,Ranunculaceae,Thalictrum,,minus,var.,hypoleucum,(Siebold & Zucc.) Miq.,tro-27100520,Accepted,FALSE,FALSE,FALSE,06/09/2019
,100-1500 m,"Valleys, hilly grasslands, stream banks; 100-1500 m. Anhui, Fujian, Gansu, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Zhejiang [Korea, Russia (Far East)].",Lowland,100,1500,Polygonum dissitiflorum,Polygonum dissitiflorum,Polygonum,,dissitiflorum,NA,NA,,,tro-26002291,TRUE,1.1,Accepted,Polygonaceae,Polygonum,,dissitiflorum,,,Hemsl.,tro-26002291,Accepted,FALSE,FALSE,FALSE,28/10/2019
,200-1500 m," Lax or dense forests or thickets on mountain slopes or valleys, shady places at roadsides; 200-1500 m. Anhui, Gansu, Guangxi, Guizhou, Hubei, Hunan, Jiangxi, Shaanxi, Sichuan, Zhejiang",Lowland,200,1500,Carex stipitinux,Carex stipitinux Clarke,Carex,,stipitinux,NA,NA,,Clarke,kew-231187,TRUE,1.1,Accepted,Cyperaceae,Carex,,stipitinux,,,C.B.Clarke ex Franch.,kew-231187,Accepted,FALSE,FALSE,FALSE,28/10/2019
,800-1500 m,"Woods, shady slopes, wet places; 800-1500 m. Gansu, Henan, Hubei, Shaanxi, Sichuan.",Lowland,800,1500,Bupleurum boissieuanum,Bupleurum boissieuanum H.Wolff,Bupleurum,,boissieuanum,NA,NA,,H.Wolff,kew-2686452,TRUE,1.1,Accepted,Apiaceae,Bupleurum,,boissieuanum,,,H.Wolff,kew-2686452,Accepted,FALSE,FALSE,FALSE,06/09/2019
,low elevations to 1500 m,"Waste places, roadsides, slopes, hills, steppes, forest steppes; low elevations to 1500 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang [Korea, Mongolia, Russia].",Lowland,0,1500,Artemisia argyi,Artemisia argyi Lévl. et Vant.,Artemisia,,argyi,NA,NA,,Lévl. et Vant.,gcc-151027,TRUE,1.1,Accepted,Compositae,Artemisia,,argyi,,,H.Lév. & Vaniot,gcc-151027,Accepted,FALSE,FALSE,FALSE,06/09/2019
