FoCh name,Range,Habitat,Alpine,Min elevation,Max elevation,Standardized name,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
,sea level to ca. 3000 m,"Rice fields, ditches, marshes, grasslands, waste places; sea level to ca. 3000 m. Anhui, Fujian, Guangdong, Guangxi, Guizhou, Hainan, Hubei, Hunan, Jiangsu, Jiangxi, Liaoning, Shandong, Sichuan, Taiwan, Yunnan, Zhejiang [Bhutan, Cambodia, N and S India, Indonesia (Sumatra to Irian Jaya), Japan, S Korea, Laos, Malaysia, Myanmar, Nepal, Philippines, Sri Lanka, Thailand, Vietnam; SE Australia, Pacific islands (New Zealand)].",Lowland,0,3000,Hypericum japonicum,Hypericum chinense,Hypericum,,chinense,NA,NA,,,kew-2906203,TRUE,1.1,Synonym,Hypericaceae,Hypericum,,japonicum,,,Thunb.,kew-2858299,Accepted,FALSE,FALSE,FALSE,28/10/2019
,sea level to 3000 m,"Common weed of open places, field margins, roadsides, dry streamsides; sea level to 3000 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Xinjiang, Xizang, Yunnan, Zhejiang [native to North America].",Lowland,0,3000,Erigeron canadensis,Conyza canadensis ,Conyza,,canadensis,NA,NA,,,gcc-90828,TRUE,1.1,Synonym,Compositae,Erigeron,,canadensis,,,L.,gcc-115400,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1000--3100 m,"Forests, scrub, mountains, by streams; 1000--3100 m. S Gansu, W Henan, Hubei, NW Hunan, SE Shaanxi, S Shanxi, Sichuan, W Zhejiang.",Lowland,1000,3100,Aconitum henryi,Aconitum sungpanense Hand.-Mazz.,Aconitum,,sungpanense,NA,NA,,Hand.-Mazz.,kew-2619578,TRUE,1.1,Synonym,Ranunculaceae,Aconitum,,henryi,,,E.Pritz. ex Diels,kew-2618812,Accepted,FALSE,FALSE,FALSE,28/10/2019
Phedimus aizoon,1000-3100 m,"Scrub, ravine edges in valleys, grasslands on rocky slopes, sandy, sunny, and grassy places on mountains, shady places on slopes, field banks, rock crevices; 1000-3100 m. Anhui, Gansu, Hebei, Heilongjiang, Henan, Hubei, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Zhejiang [Korea, Japan, Mongolia, Russia].",Lowland,1000,3100,Sedum aizoon,Sedum aizoon L.,Sedum,,aizoon,NA,NA,,L.,kew-2483174,TRUE,1.1,Accepted,Crassulaceae,Sedum,,aizoon,,,L.,kew-2483174,Accepted,FALSE,FALSE,FALSE,06/09/2019
,100-3100 m,"100-3100 m. Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, N Sichuan, Xinjiang [Japan, Korea, Mongolia, Russia (Siberia)]",Lowland,100,3100,Swertia diluta,Swertia diluta (Turcz.) Benth. et Hook. f.,Swertia,,diluta,NA,NA,,(Turcz.) Benth. et Hook. f.,tro-13802908,TRUE,1.1,Accepted,Gentianaceae,Swertia,,diluta,,,(Turcz.) Benth. & Hook. f.,tro-13802908,Accepted,FALSE,FALSE,FALSE,06/09/2019
,2300--3100 m,"By streams, alpine meadows; 2300--3100 m. Gansu (Shandan Xian), Nei Mongol (Ulan Hot Shi), Xinjiang (Tian Shan) [Kazakhstan, Mongolia, Russia (Siberia)].",Euryalpine,2300,3100,Ranunculus pulchellus,Ranunculus pulchelus C.A.Mey.var.sericeus Hook.f.et Thoms,Ranunculus,,pulchelus,NA,NA,,C.A.Mey.var.sericeus Hook.f.et Thoms,kew-2526661,TRUE,1.1,Accepted,Ranunculaceae,Ranunculus,,pulchellus,,,C.A.Mey.,kew-2526661,Accepted,TRUE,FALSE,FALSE,28/10/2019
Cuscuta europaea,800-3100 m,"Open grassy localities, streamsides, hilly areas on Asteraceae, Fabaceae, Chenopodiaceae, and other herbaceous plants; 800-3100 m. Gansu, Heilongjiang, Nei Mongol, Qinghai, Shaanxi, Shanxi, Sichuan, Xinjiang, Xizang, Yunnan [Japan, Kashmir; N Africa, W Asia, Europe, occasionally in North and South America].",Lowland,800,3100,Curscuta euvopaea,Curscuta euvopaea ,Curscuta,,euvopaea,NA,NA,,,,FALSE,1.1,,,Curscuta,,euvopaea,NA,,,,,FALSE,FALSE,FALSE,28/10/2019
,800-3100 m,"Open grassy localities, streamsides, hilly areas on Asteraceae, Fabaceae, Chenopodiaceae, and other herbaceous plants; 800-3100 m. Gansu, Heilongjiang, Nei Mongol, Qinghai, Shaanxi, Shanxi, Sichuan, Xinjiang, Xizang, Yunnan [Japan, Kashmir; N Africa, W Asia, Europe, occasionally in North and South America].",Lowland,800,3100,Cuscuta europaea,Cuscuta europaea L.,Cuscuta,,europaea,NA,NA,,L.,tro-8501087,TRUE,1.1,Accepted,Convolvulaceae,Cuscuta,,europaea,,,L.,tro-8501087,Accepted,FALSE,FALSE,FALSE,06/09/2019
,below 3100 m,"Sunny grassy slopes, among grasses on shaded slopes, scrub, sparse woods, stony places or rock crevices, less often forests; below 3100 m. Gansu, Hebei, Henan, SW Liaoning, SE Nei Mongol, Ningxia, E Qinghai, Shaanxi, Shanxi, W Sichuan.",Lowland,0,3100,Adenophora potaninii,Adenophora potaninii Korsh.,Adenophora,,potaninii,NA,NA,,Korsh.,kew-360436,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,potaninii,,,Korsh.,kew-360436,Accepted,FALSE,FALSE,FALSE,06/09/2019
,below 3100 m,"Mountain slopes, meadows, river banks, wet places, ravines, field margins; below 3100 m. Provinces S of Liaoning [Afghanistan, Bhutan, India, Indonesia, Japan, Korea, Nepal, Sikkim; naturalized in Africa, Europe, and North America].",Lowland,0,3100,Duchesnea indica,Duchesnea indica (Andr.) Focke,Duchesnea,,indica,NA,NA,,(Andr.) Focke,rjp-804,TRUE,1.1,Accepted,Rosaceae,Duchesnea,,indica,,,(Jacks.) Focke,rjp-804,Accepted,FALSE,FALSE,FALSE,06/09/2019
Stachys sieboldii var. sieboldii,0-3200 m,"Wet and submersed areas; 0-3200 m. Gansu, Hebei, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Xinjiang (cultivated in other provinces) [Japan; Europe, North America].",Lowland,0,3200,Stachys affinis,Stachys sieboldi Miq.,Stachys,,sieboldi,NA,NA,,Miq.,kew-195646,TRUE,1.1,Synonym,Lamiaceae,Stachys,,affinis,,,Bunge,kew-194731,Accepted,TRUE,FALSE,FALSE,06/09/2019
,1100-3200 m,"Thickets on mountain slopes, grasslands, riversides, lakeshores, wet places in ravines; 1100-3200 m. Gansu, Hebei, Nei Mongol, Qinghai, Shanxi, Sichuan, Xinjiang, Xizang [Japan, Korea, Russia (European part, Siberia)].",Lowland,1100,3200,Carex chlorostachys,Carex chlorostachys Stev.,Carex,,chlorostachys,NA,NA,,Stev.,kew-225514,TRUE,1.1,Accepted,Cyperaceae,Carex,,chlorostachys,,,Steven,kew-225514,Accepted,FALSE,FALSE,FALSE,06/09/2019
,1200--3200 m,"Dry or gravelly slopes; 1200--3200 m. Gansu, SW Nei Mongol, Ningxia, Qinghai, Shaanxi",Lowland,1200,3200,Clematis nannophylla,Clematis nannophylla,Clematis,,nannophylla,NA,NA,,,kew-2726407,TRUE,1.1,Accepted,Ranunculaceae,Clematis,,nannophylla,,,Maxim.,kew-2726407,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1200-3200 m,"Gravelly and stony slopes, forest margins; 1200-3200 m. E and S Gansu, W Hebei, S Nei Mongol, Ningxia, N Shanxi, NW Sichuan.",Lowland,1200,3200,Hedysarum polybotrys,Hedysarum polybotrys Hand.-Mazz.,Hedysarum,,polybotrys,NA,NA,,Hand.-Mazz.,ild-32341,TRUE,1.1,Accepted,Leguminosae,Hedysarum,,polybotrys,,,Hand.-Mazz.,ild-32341,Accepted,FALSE,FALSE,FALSE,06/09/2019
,1300-3200 m,"Sunny grassy slopes; 1300-3200 m. Gansu, Shaanxi, Shanxi.",Lowland,1300,3200,Scutellaria rehderiana,Scutellaria rederiana ,Scutellaria,,rederiana,NA,NA,,,kew-189629,TRUE,1.1,Accepted,Lamiaceae,Scutellaria,,rehderiana,,,Diels,kew-189629,Accepted,TRUE,FALSE,FALSE,28/10/2019
,1600--3200 m,"Scrub margins, valley sides, slopes; 1600--3200 m. Gansu, Guizhou, Qinghai, W Sichuan, E Xizang, NW Yunnan.",Lowland,1600,3200,Thalictrum uncatum,Thalictrum uncatum Maxim.,Thalictrum,,uncatum,NA,NA,,Maxim.,tro-27105139,TRUE,1.1,Accepted,Ranunculaceae,Thalictrum,,uncatum,,,Maxim.,tro-27105139,Accepted,FALSE,FALSE,FALSE,06/09/2019
,1900-3200 m,"Scrub on mountain summits or slopes, coniferous forests; 1900-3200 m. Gansu, Ningxia, Qinghai, Shanxi, Sichuan.",Lowland,1900,3200,Pertya discolor,Pertya discolor Rehd.,Pertya,,discolor,NA,NA,,Rehd.,gcc-30810,TRUE,1.1,Accepted,Compositae,Pertya,,discolor,,,Rehder,gcc-30810,Accepted,FALSE,FALSE,FALSE,06/09/2019
,2400-3200(-4000) m,"Shaded grassy slopes, thickets, slopes in steppes or meadows, rarely by water or sparse woods; 2400-3200(-4000) m. W Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shandong, Shanxi, NW Sichuan, Xinjiang [Korea, Mongolia, Russia (Far East); Europe].",Lowland,2400,3200,Euphrasia pectinata,Euphrasia pectinata,Euphrasia,,pectinata,NA,NA,,,tro-29205173,TRUE,1.1,Accepted,Orobanchaceae,Euphrasia,,pectinata,,,Ten.,tro-29205173,Accepted,FALSE,FALSE,FALSE,28/10/2019
,2700-3200 m,"Forests; 2700-3200 m. Qinghai, Sichuan, Xizang.",Lowland,2700,3200,Elymus barystachyus,Elymus barystachyus A.Love.,Elymus,,barystachyus,NA,NA,,A.Love.,kew-410935,TRUE,1.1,Accepted,Poaceae,Elymus,,barystachyus,,,L.B.Cai,kew-410935,Accepted,FALSE,FALSE,FALSE,06/09/2019
,2700--3200 m,"Alpine and subalpine wet meadows, shrubby grassland; 2700--3200 m. Gansu, Shanxi [Mongolia, Russia (Siberia, Far East)].",Euryalpine,2700,3200,Pedicularis tristis,Pedicularis tristis L.,Pedicularis,,tristis,NA,NA,,L.,kew-2550344,TRUE,1.1,Accepted,Orobanchaceae,Pedicularis,,tristis,,,L.,kew-2550344,Accepted,FALSE,FALSE,FALSE,06/09/2019
,300--3200 m,"Sparse forests, forest margins, alpine thickets, meadows on mountain slopes; 300--3200 m. Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Qinghai, Shandong, Shanxi, Sichuan, Xizang [Korea, Mongolia, Russia].",Euryalpine,300,3200,Potentilla longifolia,Potentilla longifolia Willd. ex Schlecht.,Potentilla,,longifolia,NA,NA,,Willd. ex Schlecht.,rjp-6600,TRUE,1.1,Accepted,Rosaceae,Potentilla,,longifolia,,,Willd. ex Schltdl.,rjp-6600,Accepted,FALSE,FALSE,FALSE,06/09/2019
,300-3200 m,"Forest margins on mountain slopes, moist valleys; 300-3200 m. Gansu, Hebei, Heilongjiang, Jilin, Qinghai, Shaanxi, Xinjiang [Kazakhstan, Kyrgyzstan, Mongolia, Russia; Europe; locally naturalized in North America].",Lowland,300,3200,Rumex pseudonatronatus,Rumex pseudonatronatus (Borb.) Borb. ex Murb.,Rumex,,pseudonatronatus,NA,NA,,(Borb.) Borb. ex Murb.,kew-2424835,TRUE,1.1,Accepted,Polygonaceae,Rumex,,pseudonatronatus,,,(Borbás) Murb.,kew-2424835,Accepted,FALSE,FALSE,FALSE,06/09/2019
,400--3200 m,"Sparse forests, forest margins, thickets, meadows, grasslands, mountain slopes, ravines; 400--3200 m. Anhui, Gansu, Guangdong, Guangxi, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Xizang, Yunnan [Japan, Korea, Mongolia, Russia (Far East)].",Lowland,400,3200,Potentilla chinensis,Potentilla chinensis Ser.,Potentilla,,chinensis,NA,NA,,Ser.,rjp-8916,TRUE,1.1,Accepted,Rosaceae,Potentilla,,chinensis,,,Ser.,rjp-8916,Accepted,FALSE,FALSE,FALSE,06/09/2019
Elsholtzia feddei,500-3200 m,"Grassy hills, valleys, forests; 500-3200 m. Gansu, Hebei, Qinghai, Shaanxi, Shanxi, Sichuan, Xizang, Yunnan",Lowland,500,3200,Elsholtzia feddeibenth,Elsholtzia feddeiBenth,Elsholtzia,,feddeibenth,NA,NA,,,,FALSE,1.1,,,Elsholtzia,,feddeibenth,NA,,,,,FALSE,FALSE,FALSE,28/10/2019
Phlomis umbrosa,700-3200 m,"Forests, grassy slopes, streamsides, thickets, wet areas; 700-3200 m. Anhui, Gansu, Guangdong, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Liaoning, Nei Mongol, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan",Lowland,700,3200,Phlomoides umbrosa,Phlomis umbrosa Turcz.,Phlomis,,umbrosa,NA,NA,,Turcz.,kew-152470,TRUE,1.1,Synonym,Lamiaceae,Phlomoides,,umbrosa,,,(Turcz.) Kamelin & Makhm.,kew-152628,Accepted,FALSE,FALSE,FALSE,06/09/2019
,900-3200 m,"Slopes, thickets in valleys; 900-3200 m. Gansu, Guizhou, Henan, Hubei, ?Hunan, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shanxi, Sichuan, Xizang, Yunnan.",Lowland,900,3200,Fallopia aubertii,Fallopia aubertii (L. Henry) Holub,Fallopia,,aubertii,NA,NA,,(L. Henry) Holub,kew-2807627,TRUE,1.1,Accepted,Polygonaceae,Fallopia,,aubertii,,,(L.Henry) Holub,kew-2807627,Accepted,FALSE,FALSE,FALSE,06/09/2019
,below 3200 m,"Pinus forests, mixed forests, thickets, grassy slopes, lakesides, between rocks; below 3200 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangxi, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Yunnan, Zhejiang [Bhutan, NE India, Laos, Myanmar, Nepal, N Thailand, Vietnam].",Lowland,0,3200,Arisaema erubescens,Arisaema erubescens (Wall.) Schott,Arisaema,,erubescens,NA,NA,,(Wall.) Schott,kew-15355,TRUE,1.1,Accepted,Araceae,Arisaema,,erubescens,,,(Wall.) Schott,kew-15355,Accepted,FALSE,FALSE,FALSE,06/09/2019
,below 3200 m,"Open forests, forest margins, shaded valleys, alpine meadows, streamsides; below 3200 m. Anhui, Gansu, Hebei, Heilongjiang, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Shaanxi, Shandong, Sichuan, Yunnan, Zhejiang [Japan, Korea].",Euryalpine,0,3200,Heracleum moellendorffii,Heracleum moellendorffii Hance,Heracleum,,moellendorffii,NA,NA,,Hance,kew-2846067,TRUE,1.1,Accepted,Apiaceae,Heracleum,,moellendorffii,,,Hance,kew-2846067,Accepted,FALSE,FALSE,FALSE,06/09/2019
,ca. 3200 m,"Trail sides on mountain slopes, ravine margins; ca. 3200 m. Sichuan",Lowland,3200,3200,Juncus giganteus,Juncus giganteus G. Sam.,Juncus,,giganteus,NA,NA,,G. Sam.,kew-315075,TRUE,1.1,Accepted,Juncaceae,Juncus,,giganteus,,,Sam.,kew-315075,Accepted,FALSE,FALSE,FALSE,28/10/2019
,low elevations to 3200 m,"Slopes, forest margins, roadsides, steppes, terraces, desert margins, dry riverbeds; low elevations to 3200 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Xinjiang, Xizang, Yunnan, Zhejiang [Afghanistan, India, Japan, Korea, Pakistan, Russia, Thailand; C and SW Asia, Europe].",Lowland,0,3200,Artemisia scoparia,Artemisia scoparia Waldst. et Kit.,Artemisia,,scoparia,NA,NA,,Waldst. et Kit.,kew-2901465,TRUE,1.1,Unresolved,Compositae,Artemisia,,scoparia,,,Waldst. & Kit.,kew-2901465,Unresolved,FALSE,FALSE,FALSE,06/09/2019
,(1300-)1700-3300(-4000) m,"Subalpine coniferous forests, slopes, roadsides; (1300-)1700-3300(-4000) m. C and S Gansu, E and S Qinghai, N Sichuan.",Euryalpine,1700,3300,Corydalis pseudimpatiens,Corydalis pseudoimpatiens Feddle,Corydalis,,pseudoimpatiens,NA,NA,,Feddle,kew-2739123,TRUE,1.1,Accepted,Papaveraceae,Corydalis,,pseudimpatiens,,,Fedde,kew-2739123,Accepted,TRUE,FALSE,FALSE,06/09/2019
,1100-3300 m,"Stream banks, grassy slopes, forest understories; 1100-3300 m. SW Gansu, Guizhou, ?Henan, W Hubei, S Shaanxi, Sichuan, NW Yunnan.",Lowland,1100,3300,Ligularia veitchiana,Ligularia veitchiana (Hemsl.) Greenm.,Ligularia,,veitchiana,NA,NA,,(Hemsl.) Greenm.,gcc-105168,TRUE,1.1,Accepted,Compositae,Ligularia,,veitchiana,,,(Hemsl.) Greenm.,gcc-105168,Accepted,FALSE,FALSE,FALSE,06/09/2019
,200-3300 m,"Forests, forest margins, montane thickets, montane scrub and grasslands, grassy slopes, streamsides; 200-3300 m. Fujian, Gansu, Guangdong, Guangxi, Hainan, Henan, Hubei, Hunan, Qinghai, Shandong, Shanxi, Sichuan, Taiwan, Xinjiang, Yunnan, Zhejiang [Afghanistan, Bhutan, Cambodia, India, Japan, Kashmir, Nepal, Pakistan, Sikkim, Vietnam].",Lowland,200,3300,Pimpinella diversifolia,Pimpinella diversifolia,Pimpinella,,diversifolia,NA,NA,,,tro-1700195,TRUE,1.1,Accepted,Apiaceae,Pimpinella,,diversifolia,,,DC.,tro-1700195,Accepted,FALSE,FALSE,FALSE,28/10/2019
,2200-3300 m,"Montane forests, thickets; 2200-3300 m. N Chongqing, Gansu, W Hubei, Ningxia, Shaanxi, Sichuan.",Lowland,2200,3300,Saussurea macrota,Saussurea macrota Franch.,Saussurea,,macrota,NA,NA,,Franch.,gcc-121348,TRUE,1.1,Accepted,Compositae,Saussurea,,macrota,,,Franch.,gcc-121348,Accepted,FALSE,FALSE,FALSE,06/09/2019
,2400--3300 m,"Forests, thickets, grassy slopes; 2400--3300 m. Gansu, Hebei, Henan, Qinghai, Shaanxi, Shandong, Shanxi.",Lowland,2400,3300,Asparagus longiflorus,Asparagus longiflorus Franch.,Asparagus,,longiflorus,NA,NA,,Franch.,kew-275134,TRUE,1.1,Accepted,Asparagaceae,Asparagus,,longiflorus,,,Franch.,kew-275134,Accepted,FALSE,FALSE,FALSE,06/09/2019
Senecio argunensis,500-3300 m,"Montane meadows, grassy slopes; 500-3300 m. Anhui, Gansu, Hebei, Heilongjiang, Henan, Hubei, Jiangsu, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shanxi, Sichuan [Japan, Korea, Mongolia, Russia (Far East, SE Siberia)].",Lowland,500,3300,Jacobaea argunensis,Senecio argunensis Turcz.,Senecio,,argunensis,NA,NA,,Turcz.,gcc-129052,TRUE,1.1,Synonym,Compositae,Jacobaea,,argunensis,,,(Turcz.) B.Nord.,gcc-98979,Accepted,FALSE,FALSE,FALSE,06/09/2019
,700-3300 m,"Fields, disturbed areas, roadsides, deserts; 700-3300 m. Anhui, Gansu, Hebei, Henan, Jiangsu, Ningxia, Qinghai, Shaanxi, Shanxi, Sichuan, Xinjiang, Xizang [Afghanistan, India, Kashmir, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan, Turkmenistan, Uzbekistan; N Africa, SW Asia, Europe; naturalized elsewhere].",Lowland,700,3300,Malcolmia africana,Malcolmia africana (L.) R.Br.,Malcolmia,,africana,NA,NA,,(L.) R.Br.,kew-2357893,TRUE,1.1,Accepted,Brassicaceae,Malcolmia,,africana,,,(L.) R.Br.,kew-2357893,Accepted,FALSE,FALSE,FALSE,06/09/2019
,900-3300,"Grassy slopes, river banks; 900-3300. Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Qinghai, Shanxi, Xinjiang [Mongolia, Russia (Far East, Siberia)].",Lowland,900,3300,Dontostemon micranthus,Dontostemon micranthus ,Dontostemon,,micranthus,NA,NA,,,kew-2775375,TRUE,1.1,Accepted,Brassicaceae,Dontostemon,,micranthus,,,C.A.Mey.,kew-2775375,Accepted,FALSE,FALSE,FALSE,28/10/2019
,ca. 3300 m,"Hillsides, scrub on shady slopes; ca. 3300 m. S Gansu, N Sichuan.",Lowland,3300,3300,Gentiana spathulifolia,Gentiana abaensis T. N. Ho,Gentiana,,abaensis,NA,NA,,T. N. Ho,kew-2819806,TRUE,1.1,Synonym,Gentianaceae,Gentiana,,spathulifolia,var.,abaensis,(T.N.Ho) Halda,kew-2821572,Accepted,FALSE,FALSE,FALSE,06/09/2019
,0-3400 m,"Sunny areas; 0-3400 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Xinjiang, Xizang, Yunnan, Zhejiang [Cambodia, Japan, Korea, Laos, Malaysia, Myanmar, Thailand, Vietnam; Africa, North America, South America]",Lowland,0,3400,Leonurus japonicus,Leonurus japonicus Houtt.,Leonurus,,japonicus,NA,NA,,Houtt.,kew-109541,TRUE,1.1,Accepted,Lamiaceae,Leonurus,,japonicus,,,Houtt.,kew-109541,Accepted,FALSE,FALSE,FALSE,06/09/2019
Aster trinervius subsp. ageratoides,100-3400 m,"Forests, forest margins, thickets, wet places in valleys; 100-3400 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Xizang, Yunnan, Zhejiang [Bhutan, NE India, Japan, Korea, N Myanmar, Nepal, E Russia, N Thailand, Vietnam].",Lowland,100,3400,Aster ageratoides,Aster ageratoides ,Aster,,ageratoides,NA,NA,,,gcc-47625,TRUE,1.1,Accepted,Compositae,Aster,,ageratoides,,,Turcz.,gcc-47625,Accepted,FALSE,FALSE,FALSE,28/10/2019
,100-3400 m,"Sparse forest margins, grasslands on mountain slopes, meadows, swamps, lake margins, sunny places at river margins or shallow water, valleys, wet places along trails, field margins, old fields; below 100-3400 m. Anhui, Chongqing, Fujian, S Gansu, Guangdong, Guangxi, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Xinjiang, S and SE Xizang, Yunnan, Zhejiang [Bhutan, India, Indonesia, Japan, Kashmir, Kazakhstan, Korea, Kyrgyzstan, Malaysia, Myanmar, Nepal, Pakistan, Papua New Guinea, Philippines, Russia, Sri Lanka, Tajikistan, Thailand, Turkmenistan, Uzbekistan, Vietnam; Africa, SW Asia, Australia, Pacific islands].",Lowland,100,3400,Pycreus sanguinolentus,Pycreus sanguinolentus (Vahl) Nees,Pycreus,,sanguinolentus,NA,NA,,(Vahl) Nees,kew-260462,TRUE,1.1,Accepted,Cyperaceae,Pycreus,,sanguinolentus,,,(Vahl) Nees,kew-260462,Accepted,FALSE,FALSE,FALSE,06/09/2019
,100-3400(-4200) m,"Grassy places, dry slopes, river beaches, dry sandy places, wastelands, roadsides; 100-3400(-4200) m. Gansu, Ningxia, Qinghai, Shaanxi, Sichuan, Xinjiang, Xizang, Yunnan [NW India, Kazakhstan, Kyrgystan, Pakistan, Russia, Tajikistan, Turkmenistan, Uzbekistan; N Africa, SW Asia, Europe; introduced in America and Australia].",Lowland,100,3400,Bromus tectorum,Bromus tectorum L. ,Bromus,,tectorum,NA,NA,,L.,kew-402067,TRUE,1.1,Accepted,Poaceae,Bromus,,tectorum,,,L.,kew-402067,Accepted,FALSE,FALSE,FALSE,06/09/2019
,1200-3400 m,"Forests, among shrubs, grasslands, streamsides; 1200-3400 m. S Gansu, W Hubei, Hunan, E Qinghai, S Shaanxi, W Sichuan.",Lowland,1200,3400,Pternopetalum heterophyllum,Pternopetalum heterophyllum,Pternopetalum,,heterophyllum,NA,NA,,,tro-1704681,TRUE,1.1,Accepted,Apiaceae,Pternopetalum,,heterophyllum,,,Hand.-Mazz.,tro-1704681,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1300-3400 m,"Forests, thickets, wastelands by rivers, streamsides, roadsides; 1300-3400 m. Anhui, Chongqing, SE Fujian, S Gansu, NE Guangdong, Guangxi, Guizhou, Hebei, Henan, Hubei, S Hunan, NW Jiangxi, Nei Mongol, E Qinghai, S Shaanxi, Shanxi, Sichuan, NE Xizang, Yunnan [Bhutan, India, Myanmar, Vietnam].",Lowland,1300,3400,Cirsium shansiense,Cirsium shansiense Petrak,Cirsium,,shansiense,NA,NA,,Petrak,gcc-94988,TRUE,1.1,Accepted,Compositae,Cirsium,,shansiense,,,Petr.,gcc-94988,Accepted,FALSE,FALSE,FALSE,28/10/2019
Neopallasia pectinata,1300-3400 m,"Deserts, gravelly places of river valleys, wastelands; 1300-3400 m. Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shanxi, Sichuan, Xinjiang, Xizang [Kazakhstan, Mongolia, Russia].",Lowland,1300,3400,Nepallasia pectinata,Nepallasia pectinata,Nepallasia,,pectinata,NA,NA,,,,FALSE,1.1,,,Nepallasia,,pectinata,NA,,,,,FALSE,FALSE,FALSE,28/10/2019
,1400--3400 m,"Thickets, dense forests, forest margins, near water courses, waste fields; 1400--3400 m. Gansu, Guizhou, Hubei, Hunan, Shaanxi, Sichuan, Xizang, Yunnan.",Lowland,1400,3400,Cotoneaster foveolatus,Cotoneaster foveolatus Rehd. Et Wils,Cotoneaster,,foveolatus,NA,NA,,Rehd. Et Wils,rjp-3277,TRUE,1.1,Accepted,Rosaceae,Cotoneaster,,foveolatus,,,Rehder & E.H.Wilson,rjp-3277,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1700-3400 m,"Understories of forests on slopes, forest margins, thickets, grasslands; 1700-3400 m. Gansu, Qinghai, Shaanxi, Sichuan, E Yunnan.",Lowland,1700,3400,Parasenecio roborowskii,Parasenecio roborowskii (Maxim.) Y. L. Chen,Parasenecio,,roborowskii,NA,NA,,(Maxim.) Y. L. Chen,gcc-1461,TRUE,1.1,Accepted,Compositae,Parasenecio,,roborowskii,,,(Maxim.) Y.L.Chen,gcc-1461,Accepted,FALSE,FALSE,FALSE,06/09/2019
