Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,Y,Y,N,15,15,17,19
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,N,Y,Y,16,16,0,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,N,Y,N,16,16,0,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,N,Y,N,21,21,0,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,Y,Y,N,21,21,2,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,N,Y,Y,26,26,0,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,N,Y,N,26,26,0,20
Adenophora_liliifolia,,,K_203580,Italy,,,,,,N,Y,N,Y,N,15,15,19,19
Adenophora_liliifolia,,,K_203580,Italy,,,,,,N,Y,N,Y,N,20,20,19,20
Adenostyles_alliariae,,,K_430898,Slovakia,,,,,,N,N,N,Y,N,15,15,6,13
Adenostyles_alliariae,,,K_430898,Slovakia,,,,,,N,N,N,Y,Y,15,15,10,18
Adenostyles_alliariae,,,K_430898,Slovakia,,,,,,N,N,N,Y,N,20,20,9,17
Alchemilla_acutiloba,,,K_109350,United-Kingdom,,,,,,N,N,Y,Y,N,25,25,5,7
Alchemilla_alpina,,,K_130291,United-Kingdom,,,,,,Y,N,Y,Y,N,15,15,15,37
Alchemilla_alpina,,,K_130291,United-Kingdom,,,,,,N,N,N,Y,N,15,15,0,37
Alchemilla_glabra,,,K_122685,United-Kingdom,,,,,,N,N,Y,Y,N,26,26,17,18
Alopecurus_vaginatus,,,K_368425,Georgia,,,,,,Y,N,N,Y,N,10,10,4,20
Alopecurus_vaginatus,,,K_368425,Georgia,,,,,,Y,N,N,Y,Y,13.33333333,13.33333333,6,20
Alopecurus_vaginatus,,,K_368425,Georgia,,,,,,Y,N,N,Y,N,15,15,13,20
Alopecurus_vaginatus,,,K_368425,Georgia,,,,,,Y,N,N,Y,N,20,20,7,20
Alyssoides_utriculata,,,B_IT-3009199,Italy,,,,,,N,N,N,Y,N,22,22,0,20
Alyssoides_utriculata,,,B_GR-2293181,Greece,,,,,,N,N,N,Y,N,22,22,0,20
Alyssoides_utriculata,,,B_GR-2293181,Greece,,,,,,N,N,N,Y,N,22,22,17,20
Alyssoides_utriculata,,,BBGK_06_3413,Greece,,,,,,N,N,N,N,N,21,21,80,100
Amberboa_glauca,,,K_340276,Georgia,,,,,,N,N,N,Y,N,15,15,14,19
