"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"Achnatherum sibiricum","Achnatherum","","sibiricum",NA,NA,"","","kew-387154",TRUE,"1.1","Synonym","Poaceae","Stipa","","sibirica","","","(L.) Lam.","kew-445734","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Achnatherum sp1","Achnatherum","","sp1",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp1",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Achnatherum splendens(Trin.)Nevski","Achnatherum","","splendens",NA,NA,"","(Trin.)Nevski","kew-387159",TRUE,"1.1","Synonym","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aconitum barbatum var. hispidum","Aconitum","","barbatum",NA,"var.","hispidum","","kew-2618420",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","barbatum","var.","hispidum","(DC.) Ser.","kew-2618420","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aconitum brunneum Hand.-Mazz.","Aconitum","","brunneum",NA,NA,"","Hand.-Mazz.","kew-2618464",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","brunneum","","","Hand.-Mazz.","kew-2618464","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aconitum flavum Hand.-Mazz.","Aconitum","","flavum",NA,NA,"","Hand.-Mazz.","kew-2618716",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","flavum","","","Hand.-Mazz.","kew-2618716","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aconitum sungpanense Hand.-Mazz.","Aconitum","","sungpanense",NA,NA,"","Hand.-Mazz.","kew-2619578",TRUE,"1.1","Synonym","Ranunculaceae","Aconitum","","henryi","","","E.Pritz. ex Diels","kew-2618812","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aconitum tanguticum (Maxim.) Stapf","Aconitum","","tanguticum",NA,NA,"","(Maxim.) Stapf","kew-2619596",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","tanguticum","","","(Maxim.) Stapf","kew-2619596","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Adenophora himalayana Feer.","Adenophora","","himalayana",NA,NA,"","Feer.","kew-360279",TRUE,"1.1","Accepted","Campanulaceae","Adenophora","","himalayana","","","Feer","kew-360279","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Adenophora lillifolioides","Adenophora","","lillifolioides",NA,NA,"","","kew-360326",TRUE,"1.1","Accepted","Campanulaceae","Adenophora","","liliifolioides","","","Pax & K.Hoffm.","kew-360326","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Adenophora potaninii var bockiana","Adenophora","","potaninii",NA,"var","bockiana","","kew-360437",TRUE,"1.1","Synonym","Campanulaceae","Adenophora","","potaninii","","","Korsh.","kew-360436","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Adenophora potaninii var potaninii","Adenophora","","potaninii",NA,"var","potaninii","","kew-465232",TRUE,"1.1","Synonym","Campanulaceae","Adenophora","","potaninii","","","Korsh.","kew-360436","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Adenophora stenanthina(Ledeb.)Kitag.","Adenophora","","stenanthina",NA,NA,"","(Ledeb.)Kitag.","kew-360481",TRUE,"1.1","Accepted","Campanulaceae","Adenophora","","stenanthina","","","(Ledeb.) Kitag.","kew-360481","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Adonis amurensis Regel et Radde.","Adonis","","amurensis",NA,NA,"","Regel et Radde.","kew-2623058",TRUE,"1.1","Accepted","Ranunculaceae","Adonis","","amurensis","","","Regel & Radde","kew-2623058","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Agrimonia pilosa Ledeb.","Agrimonia","","pilosa",NA,NA,"","Ledeb.","rjp-8068",TRUE,"1.1","Accepted","Rosaceae","Agrimonia","","pilosa","","","Ledeb.","rjp-8068","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Agrostis eriolepis","Agrostis","","eriolepis",NA,NA,"","","kew-389556",TRUE,"1.1","Synonym","Poaceae","Agrostis","","pilosula","","","Trin.","kew-390097","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Agrostis perlasa Pilger","Agrostis","","perlasa",NA,NA,"","Pilger","kew-390078",TRUE,"1.1","Synonym","Poaceae","Agrostis","","hookeriana","","","C.B.Clarke ex Hook.f.","kew-389714","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Agrostis sp1.","Agrostis","","sp1.",NA,NA,"","","",FALSE,"1.1","","","Agrostis","","sp1.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Agrostis sp2.","Agrostis","","sp2.",NA,NA,"","","",FALSE,"1.1","","","Agrostis","","sp2.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Agrostis stolonifera Linn","Agrostis","","stolonifera",NA,NA,"","Linn","kew-390383",TRUE,"1.1","Accepted","Poaceae","Agrostis","","stolonifera","","","L.","kew-390383","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Agrostis trinii","Agrostis","","trinii",NA,NA,"","","kew-390579",TRUE,"1.1","Synonym","Poaceae","Agrostis","","vinealis","","","Schreb.","kew-390633","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Agrostis trinii Turcz.","Agrostis","","trinii",NA,NA,"","Turcz.","kew-390579",TRUE,"1.1","Synonym","Poaceae","Agrostis","","vinealis","","","Schreb.","kew-390633","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Ajania fruticolosa(Ledeb.)Poljark.","Ajania","","fruticolosa",NA,NA,"","(Ledeb.)Poljark.","gcc-48822",TRUE,"1.1","Accepted","Compositae","Ajania","","fruticulosa","","","(Ledeb.) Poljakov","gcc-48822","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Ajania sp.","Ajania","","sp.",NA,NA,"","","",FALSE,"1.1","","","Ajania","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Ajania tenuifolia (Jacq.) Tzvel.","Ajania","","tenuifolia",NA,NA,"","(Jacq.) Tzvel.","gcc-47926",TRUE,"1.1","Accepted","Compositae","Ajania","","tenuifolia","","","Tzvelev","gcc-47926","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Ajuga ciliata Bunge","Ajuga","","ciliata",NA,NA,"","Bunge","kew-5223",TRUE,"1.1","Accepted","Lamiaceae","Ajuga","","ciliata","","","Bunge","kew-5223","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Allium chrysocephalun","Allium","","chrysocephalun",NA,NA,"","","kew-295304",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","chrysocephalum","","","Regel","kew-295304","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Allium cyaneum Regel.","Allium","","cyaneum",NA,NA,"","Regel.","kew-295393",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","cyaneum","","","Regel","kew-295393","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Allium cyathophorum var. farreri","Allium","","cyathophorum",NA,"var.","farreri","","kew-295396",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","cyathophorum","var.","farreri","(Stearn) Stearn","kew-295396","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Allium sikkimanse","Allium","","sikkimanse",NA,NA,"","","kew-296606",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","sikkimense","","","Baker","kew-296606","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Allium sp","Allium","","sp",NA,NA,"","","",FALSE,"1.1","","","Allium","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Allium victorialia L.","Allium","","victorialia",NA,NA,"","L.","kew-296917",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","victorialis","","","L.","kew-296917","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Allium victorialia var listera","Allium","","victorialia",NA,"var","listera","","tro-18406601",TRUE,"1.1","Synonym","Amaryllidaceae","Allium","","listera","","","Stearn","kew-295908","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Anaphalis aureo-punctata","Anaphalis","","aureo-punctata",NA,NA,"","","gcc-9820",TRUE,"1.1","Accepted","Compositae","Anaphalis","","aureopunctata","","","Lingelsh. & Borza","gcc-9820","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Anaphalis bicolor kokonorica","Anaphalis","","bicolor",NA,NA,"kokonorica","","gcc-86561",FALSE,"1.1","Accepted","Compositae","Anaphalis","","bicolor","","","(Franch.) Diels","gcc-86561","Accepted",FALSE,FALSE,TRUE,2020-04-22,"Species"
"Anaphalis margaritacea(Linn.)Benth.et Hook.f.","Anaphalis","","margaritacea",NA,NA,"","(Linn.)Benth.et Hook.f.","gcc-48987",TRUE,"1.1","Accepted","Compositae","Anaphalis","","margaritacea","","","(L.) Benth. & Hook.f.","gcc-48987","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Anaphalis sp1","Anaphalis","","sp1",NA,NA,"","","",FALSE,"1.1","","","Anaphalis","","sp1",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Anaphalis sp2","Anaphalis","","sp2",NA,NA,"","","",FALSE,"1.1","","","Anaphalis","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Androsace crecta","Androsace","","crecta",NA,NA,"","","kew-2637516",TRUE,"1.1","Accepted","Primulaceae","Androsace","","erecta","","","Maxim.","kew-2637516","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Androsace gmelinii(Gaertn.)Roem.et Schult.","Androsace","","gmelinii",NA,NA,"","(Gaertn.)Roem.et Schult.","kew-2637550",TRUE,"1.1","Accepted","Primulaceae","Androsace","","gmelinii","","","(L.) Roem. & Schult.","kew-2637550","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Androsace mariae","Androsace","","mariae",NA,NA,"","","kew-2637635",TRUE,"1.1","Synonym","Primulaceae","Androsace","","tibetica","var.","mairae","(Kanitz) R.Knuth","kew-2637827","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Androsace sp.","Androsace","","sp.",NA,NA,"","","",FALSE,"1.1","","","Androsace","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Anemone obtusiloba D.Don","Anemone","","obtusiloba",NA,NA,"","D.Don","kew-2638514",TRUE,"1.1","Accepted","Ranunculaceae","Anemone","","obtusiloba","","","D.Don","kew-2638514","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Anemone rivularis var.barbulata Turcz","Anemone","","rivularis",NA,"var.","barbulata","Turcz","kew-2890779",TRUE,"1.1","Synonym","Ranunculaceae","Anemone","","rivularis","var.","flore-minore","Maxim.","kew-2638653","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Angelica laxifoliata Diels","Angelica","","laxifoliata",NA,NA,"","Diels","kew-2639134",TRUE,"1.1","Accepted","Apiaceae","Angelica","","laxifoliata","","","Diels","kew-2639134","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Angelica laxifolliata","Angelica","","laxifolliata",NA,NA,"","","kew-2639134",TRUE,"1.1","Accepted","Apiaceae","Angelica","","laxifoliata","","","Diels","kew-2639134","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Angelica wulsiniana Wolff","Angelica","","wulsiniana",NA,NA,"","Wolff","kew-2639328",TRUE,"1.1","Synonym","Apiaceae","Angelica","","nitida","","","H.Wolff","kew-2639187","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Anisodus tanguticus ","Anisodus","","tanguticus",NA,NA,"","","kew-2640224",TRUE,"1.1","Accepted","Solanaceae","Anisodus","","tanguticus","","","(Maxim.) Pascher","kew-2640224","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Apiaceae sp.","","","sp.",NA,NA,"","","",FALSE,"1.1","","","Apiaceae","","sp.",NA,"","","","",TRUE,FALSE,FALSE,2020-04-22,NA
"Aquilegia oxysepala var. kansuensis Brühl","Aquilegia","","oxysepala",NA,"var.","kansuensis","Brühl","kew-2644934",TRUE,"1.1","Accepted","Ranunculaceae","Aquilegia","","oxysepala","var.","kansuensis","(Brühl) Brühl ex Hand.-Mazz.","kew-2644934","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Arabis hirstuta (L.) Scop","Arabis","","hirstuta",NA,NA,"","(L.) Scop","kew-2645681",TRUE,"1.1","Accepted","Brassicaceae","Arabis","","hirsuta","","","(L.) Scop.","kew-2645681","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Arabis hirsute (L.) Scop.","Arabis","","hirsute",NA,NA,"","(L.) Scop.","kew-2645681",TRUE,"1.1","Accepted","Brassicaceae","Arabis","","hirsuta","","","(L.) Scop.","kew-2645681","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Arabis pendula Linn.","Arabis","","pendula",NA,NA,"","Linn.","kew-2646016",TRUE,"1.1","Synonym","Brassicaceae","Catolobus","","pendulus","","","(L.) Al-Shehbaz","kew-2705814","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Arctium lappa ","Arctium","","lappa",NA,NA,"","","gcc-52146",TRUE,"1.1","Accepted","Compositae","Arctium","","lappa","","","L.","gcc-52146","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Arenaria przewalskii","Arenaria","","przewalskii",NA,NA,"","","kew-2649973",TRUE,"1.1","Synonym","Caryophyllaceae","Eremogone","","przewalskii","","","(Maxim.) Ikonn.","kew-2792131","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Arenaria sp1.","Arenaria","","sp1.",NA,NA,"","","",FALSE,"1.1","","","Arenaria","","sp1.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Arenaria sp2.","Arenaria","","sp2.",NA,NA,"","","",FALSE,"1.1","","","Arenaria","","sp2.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Arisaema erubescens ","Arisaema","","erubescens",NA,NA,"","","kew-15355",TRUE,"1.1","Accepted","Araceae","Arisaema","","erubescens","","","(Wall.) Schott","kew-15355","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Arisaema sp","Arisaema","","sp",NA,NA,"","","",FALSE,"1.1","","","Arisaema","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Artemisia desetorum Spreng.","Artemisia","","desetorum",NA,NA,"","Spreng.","gcc-110131",TRUE,"1.1","Accepted","Compositae","Artemisia","","desertorum","","","Spreng.","gcc-110131","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Artemisia eriopoda Bge. var. gansuensis","Artemisia","","eriopoda",NA,"var.","gansuensis","Bge.","gcc-86448",FALSE,"1.1","Accepted","Compositae","Artemisia","","eriopoda","","","Bunge","gcc-86448","Accepted",FALSE,FALSE,TRUE,2020-04-22,"Species"
"Artemisia gmelinii Web.ex Stechm","Artemisia","","gmelinii",NA,NA,"","Web.ex Stechm","gcc-41142",TRUE,"1.1","Accepted","Compositae","Artemisia","","gmelinii","","","Weber ex Stechm.","gcc-41142","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Artemisia hedinii Ostenf.","Artemisia","","hedinii",NA,NA,"","Ostenf.","gcc-144952",TRUE,"1.1","Accepted","Compositae","Artemisia","","hedinii","","","Ostenf.","gcc-144952","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Artemisia scoparia Waldst et Kir.","Artemisia","","scoparia",NA,NA,"","Waldst et Kir.","kew-2901465",TRUE,"1.1","Unresolved","Compositae","Artemisia","","scoparia","","","Waldst. & Kit.","kew-2901465","Unresolved",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Artemisia siversiana Ehrhart ex Willd.","Artemisia","","siversiana",NA,NA,"","Ehrhart ex Willd.","gcc-84508",TRUE,"1.1","Accepted","Compositae","Artemisia","","siversiana","","","Ehrh. ex Willd.","gcc-84508","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Artemisia sp.","Artemisia","","sp.",NA,NA,"","","",FALSE,"1.1","","","Artemisia","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Artemisia sp1","Artemisia","","sp1",NA,NA,"","","",FALSE,"1.1","","","Artemisia","","sp1",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Artemisia sp2","Artemisia","","sp2",NA,NA,"","","",FALSE,"1.1","","","Artemisia","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Artemisia sp3","Artemisia","","sp3",NA,NA,"","","",FALSE,"1.1","","","Artemisia","","sp3",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Aster alpinus Linn.","Aster","","alpinus",NA,NA,"","Linn.","gcc-47737",TRUE,"1.1","Accepted","Compositae","Aster","","alpinus","","","L.","gcc-47737","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aster souliei Franch.","Aster","","souliei",NA,NA,"","Franch.","gcc-103399",TRUE,"1.1","Accepted","Compositae","Aster","","souliei","","","Franch.","gcc-103399","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Aster sp1.","Aster","","sp1.",NA,NA,"","","",FALSE,"1.1","","","Aster","","sp1.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Aster sp2.","Aster","","sp2.",NA,NA,"","","",FALSE,"1.1","","","Aster","","sp2.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Aster sp3.","Aster","","sp3.",NA,NA,"","","",FALSE,"1.1","","","Aster","","sp3.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Aster sp5.","Aster","","sp5.",NA,NA,"","","",FALSE,"1.1","","","Aster","","sp5.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Asteraceae sp1","","","sp1",NA,NA,"","","",FALSE,"1.1","","","Asteraceae","","sp1",NA,"","","","",TRUE,FALSE,FALSE,2020-04-22,NA
"Asteraceae sp2","","","sp2",NA,NA,"","","",FALSE,"1.1","","","Asteraceae","","sp2",NA,"","","","",TRUE,FALSE,FALSE,2020-04-22,NA
"Asteraceae sp3","","","sp3",NA,NA,"","","",FALSE,"1.1","","","Asteraceae","","sp3",NA,"","","","",TRUE,FALSE,FALSE,2020-04-22,NA
"Astragalus floridus","Astragalus","","floridus",NA,NA,"","","ild-44868",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","floridus","","","Bunge","ild-44868","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Astragalus floridus Benth. ex Bunge.","Astragalus","","floridus",NA,NA,"","Benth. ex Bunge.","ild-44868",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","floridus","","","Bunge","ild-44868","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Astragalus membranaceus","Astragalus","","membranaceus",NA,NA,"","","ild-32156",TRUE,"1.1","Synonym","Leguminosae","Astragalus","","propinquus","","","Schischkin","ild-31282","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Astragalus monadelphus Bunge. ex Maxim.","Astragalus","","monadelphus",NA,NA,"","Bunge. ex Maxim.","ild-44853",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","monadelphus","","","Maxim.","ild-44853","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Astragalus peteiae","Astragalus","","peteiae",NA,NA,"","","ild-44909",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","peterae","","","H.T.Tsai & T.F.Yu","ild-44909","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Astragalus polycladus Bur.et Franch.","Astragalus","","polycladus",NA,NA,"","Bur.et Franch.","ild-44959",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","polycladus","","","Bureau & Franch.","ild-44959","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Astragalus sp1.","Astragalus","","sp1.",NA,NA,"","","",FALSE,"1.1","","","Astragalus","","sp1.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Astragalus sp2.","Astragalus","","sp2.",NA,NA,"","","",FALSE,"1.1","","","Astragalus","","sp2.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Astragalus sp3.","Astragalus","","sp3.",NA,NA,"","","",FALSE,"1.1","","","Astragalus","","sp3.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Astragalus sp4.","Astragalus","","sp4.",NA,NA,"","","",FALSE,"1.1","","","Astragalus","","sp4.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Astragalus tanguticus Batalin","Astragalus","","tanguticus",NA,NA,"","Batalin","ild-44827",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","tanguticus","","","Batalin","ild-44827","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Astragalus tongolensis var glaber","Astragalus","","tongolensis",NA,"var","glaber","","ild-44876",FALSE,"1.1","Accepted","Leguminosae","Astragalus","","tongolensis","","","Ulbr.","ild-44876","Accepted",FALSE,FALSE,TRUE,2020-04-22,"Species"
"Astragalus tongolensis var.glaber.","Astragalus","","tongolensis",NA,"var.","glaber.","","ild-44876",FALSE,"1.1","Accepted","Leguminosae","Astragalus","","tongolensis","","","Ulbr.","ild-44876","Accepted",FALSE,FALSE,TRUE,2020-04-22,"Species"
"Astragalus weigoldianus Hand.-Mazz.","Astragalus","","weigoldianus",NA,NA,"","Hand.-Mazz.","ild-44887",TRUE,"1.1","Synonym","Leguminosae","Astragalus","","skythropos","","","Bunge","ild-44886","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Atriplex patens","Atriplex","","patens",NA,NA,"","","kew-2665628",TRUE,"1.1","Synonym","Amaranthaceae","Atriplex","","laevis","","","Ledeb.","kew-2665410","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Atriplex sp","Atriplex","","sp",NA,NA,"","","",FALSE,"1.1","","","Atriplex","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"avena fatua L.","avena","","fatua",NA,NA,"","L.","kew-397488",TRUE,"1.1","Accepted","Poaceae","Avena","","fatua","","","L.","kew-397488","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"avena sativa L.","avena","","sativa",NA,NA,"","L.","kew-397860",TRUE,"1.1","Accepted","Poaceae","Avena","","sativa","","","L.","kew-397860","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Axyris amaron thoicles","Axyris","","amaron",NA,NA,"thoicles","","",FALSE,"1.1","","","Axyris","","amaron",NA,"thoicles","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Axyris prostrota L.","Axyris","","prostrota",NA,NA,"","L.","kew-2666812",TRUE,"1.1","Accepted","Amaranthaceae","Axyris","","prostrata","","","L.","kew-2666812","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Batrachium buhgei(Steud.)L.Liou","Batrachium","","buhgei",NA,NA,"","(Steud.)L.Liou","kew-2671097",TRUE,"1.1","Unresolved","Ranunculaceae","Batrachium","","bungei","","","(Steud.) L.Liou","kew-2671097","Unresolved",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Blysmocarex nudicarpa Y.C.Cang","Blysmocarex","","nudicarpa",NA,NA,"","Y.C.Cang","kew-221781",TRUE,"1.1","Synonym","Cyperaceae","Kobresia","","macrantha","","","Boeckeler","kew-251030","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Blysmus sinocompressus Tang et Wang+H189","Blysmus","","sinocompressus",NA,NA,"","Tang et Wang+H189","kew-221800",TRUE,"1.1","Accepted","Cyperaceae","Blysmus","","sinocompressus","","","Tang & F.T.Wang","kew-221800","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Boraginaceae sp","","","sp",NA,NA,"","","",FALSE,"1.1","","","Boraginaceae","","sp",NA,"","","","",TRUE,FALSE,FALSE,2020-04-22,NA
