Original,Spelling,Original.clean,TPLName,Familia,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Dendranthema lavandulifolium,Dendranthema lavandulifolium,Dendranthema lavandulifolium,Dendranthema lavandulifolium,Compositae,Dendranthema,NA,lavandulifolium,NA,NA,,,gcc-87586,TRUE,1.1,Accepted,Compositae,Dendranthema,,lavandulifolium,,,(fischer ex Trautv.) Kitam.,gcc-87586,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Deschampsia caespitosa (L.) Beauv.,Deschampsia caespitosa (L.) Beauv.,Deschampsia caespitosa,Deschampsia cespitosa,Poaceae,Deschampsia,NA,caespitosa,NA,NA,,(L.) Beauv.,kew-407577,TRUE,1.1,Synonym,Poaceae,Deschampsia,,cespitosa,,,(L.) P.Beauv.,kew-407579,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Deschampsia cespitosa,Deschampsia cespitosa,Deschampsia cespitosa,Deschampsia cespitosa,Poaceae,Deschampsia,NA,cespitosa,NA,NA,,,kew-407579,TRUE,1.1,Accepted,Poaceae,Deschampsia,,cespitosa,,,(L.) P.Beauv.,kew-407579,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Descurainia sophia,Descurainia sophia,Descurainia sophia,Descurainia sophia,Brassicaceae,Descurainia,NA,sophia,NA,NA,,,kew-2761851,TRUE,1.1,Accepted,Brassicaceae,Descurainia,,sophia,,,(L.) Webb ex Prantl,kew-2761851,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Descurainia sophia (L.) Webb ex Prantl,Descurainia sophia (L.) Webb ex Prantl,Descurainia sophia,Descurainia sophia,Brassicaceae,Descurainia,NA,sophia,NA,NA,,(L.) Webb ex Prantl,kew-2761851,TRUE,1.1,Accepted,Brassicaceae,Descurainia,,sophia,,,(L.) Webb ex Prantl,kew-2761851,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Deyeuxia flavens,Deyeuxia flavens,Deyeuxia flavens,Deyeuxia flavens,Poaceae,Deyeuxia,NA,flavens,NA,NA,,,kew-408046,TRUE,1.1,Unresolved,Poaceae,Deyeuxia,,flavens,,,Keng,kew-408046,Unresolved,FALSE,FALSE,FALSE,18/04/2020,Species
Deyeuxia flavens Keng,Deyeuxia flavens Keng,Deyeuxia flavens,Deyeuxia flavens,Poaceae,Deyeuxia,NA,flavens,NA,NA,,Keng,kew-408046,TRUE,1.1,Unresolved,Poaceae,Deyeuxia,,flavens,,,Keng,kew-408046,Unresolved,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus barbatus,Dianthus barbatus,Dianthus barbatus,Dianthus barbatus,Caryophyllaceae,Dianthus,NA,barbatus,NA,NA,,,kew-2763865,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,barbatus,,,L.,kew-2763865,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus carthusianorum,Dianthus carthusianorum,Dianthus carthusianorum,Dianthus carthusianorum,Caryophyllaceae,Dianthus,NA,carthusianorum,NA,NA,,,kew-2763976,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,carthusianorum,,,L.,kew-2763976,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dianthus deltoides,Dianthus deltoides,Dianthus deltoides,Dianthus deltoides,Caryophyllaceae,Dianthus,NA,deltoides,NA,NA,,,kew-2764144,TRUE,1.1,Accepted,Caryophyllaceae,Dianthus,,deltoides,,,L.,kew-2764144,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
