"Species","Treatment","Germination"
"Minuartia verna subsp. verna","X15.55CS",11
"Nardus stricta","X15.55CS",40.4
"Pedicularis tuberosa","X15.55CS",0
"Phleum rhaeticum","X15.55CS",50.8
"Phyteuma hemisphaericum","X15.55CS",84.6
"Phyteuma orbiculare","X15.55CS",30.6
"Pilosella officinarum","X15.55CS",59.4
"Poa alpina","X15.55CS",13.8
"Polygala alpina","X15.55CS",30.4
"Potentilla aurea","X15.55CS",24
"Primula farinosa","X15.55CS",83.4
"Pulsatilla alpina","X15.55CS",83.3
"Pulsatilla vernalis","X15.55CS",40.7
"Ranunculus montanum.","X15.55CS",7.9
"Rhinanthus glacialis","X15.55CS",0
"Scorzoneroides helvetica","X15.55CS",79.9
"Senecio doronicum","X15.55CS",100
"Serratula tinctoria","X15.55CS",92.1
"Sesleria caerulea","X15.55CS",21.4
"Soldanella alpina","X15.55CS",95.5
"Solidago virgaurea","X15.55CS",100
"Valeriana montana","X15.55CS",78.9
"Achillea moschata","X25.150CS",86.3
"Achillea nana","X25.150CS",37.5
"Antennaria dioica","X25.150CS",81.5
"Anthoxanthum odoratum","X25.150CS",81.3
"Anthyllis vulneraria","X25.150CS",9
"Arnica montana","X25.150CS",90
"Aster alpinus","X25.150CS",86.1
"Bartsia alpina","X25.150CS",0
"Biscutella laevigata","X25.150CS",73.7
"Campanula barbata","X25.150CS",40
"Carex curvula","X25.150CS",0
"Carex firma","X25.150CS",50
"Carex sempervirens","X25.150CS",1.6
"Dryas octopetala","X25.150CS",100
"Festuca halleri","X25.150CS",62.5
"Festuca nigricans","X25.150CS",58.6
"Festuca pumila","X25.150CS",69.2
"Festuca nigrescens","X25.150CS",70.2
"Gentiana acaulis","X25.150CS",1.7
"Gentiana clusii","X25.150CS",0
"Gentiana nivalis","X25.150CS",0
"Gentiana punctata","X25.150CS",0
"Gentiana verna","X25.150CS",0
"Gentianella anisodonta","X25.150CS",0
"Geum montanum","X25.150CS",11.9
"Helictochloa versicolor","X25.150CS",34.9
"Horminum pyrenaicum","X25.150CS",96.5
"Leontodon hispidus","X25.150CS",61.8
"Leontopodium alpinum","X25.150CS",98.3
"Lotus corniculatus","X25.150CS",37.5
"Luzula spicata","X25.150CS",0
"Minuartia verna subsp. verna","X25.150CS",6.8
"Nardus stricta","X25.150CS",3.9
"Pedicularis tuberosa","X25.150CS",0
"Phleum rhaeticum","X25.150CS",80.3
"Phyteuma hemisphaericum","X25.150CS",8.6
"Phyteuma orbiculare","X25.150CS",1.8
"Pilosella officinarum","X25.150CS",86.7
"Poa alpina","X25.150CS",88.9
"Polygala alpina","X25.150CS",71.1
"Potentilla aurea","X25.150CS",13.5
