File,Taxon,Accession,Dish,Temperature_day,Temperature_night,Photoperiod,Normal,Sown,Germinated
Venn cool fridge,Brachyscome ridigula,Bogong,15,12,10,14,19,20,19
Venn cool fridge,Brachyscome ridigula,Bogong,16,12,10,14,20,20,19
Venn cool fridge,Brachyscome ridigula,Bluff,8,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Bluff,10,12,10,14,20,20,19
Venn cool fridge,Brachyscome ridigula,Bluff,11,12,10,14,20,20,17
Venn cool fridge,Brachyscome ridigula,Bluff,12,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,Bluff,13,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Bluff,14,12,10,14,19,20,18
Venn cool fridge,Brachyscome ridigula,Bluff,15,12,10,14,19,20,18
Venn cool fridge,Brachyscome ridigula,Bluff,16,12,10,14,20,20,17
Venn cool fridge,Brachyscome ridigula,Magdala,1,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Magdala,2,12,10,14,20,20,13
Venn cool fridge,Brachyscome ridigula,Magdala,3,12,10,14,20,20,12
Venn cool fridge,Brachyscome ridigula,Magdala,4,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Magdala,5,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,Magdala,6,12,10,14,20,20,14
Venn cool fridge,Brachyscome ridigula,Magdala,7,12,10,14,20,20,14
Venn cool fridge,Brachyscome ridigula,Magdala,8,12,10,14,20,20,9
Venn cool fridge,Brachyscome ridigula,Hotham,1,12,10,14,16,20,16
Venn cool fridge,Brachyscome ridigula,Hotham,2,12,10,14,20,20,19
Venn cool fridge,Brachyscome ridigula,Hotham,3,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,Hotham,4,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Hotham,5,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,Hotham,6,12,10,14,17,20,17
Venn cool fridge,Brachyscome ridigula,Hotham,7,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,Hotham,8,12,10,14,20,20,14
Venn cool fridge,Brachyscome ridigula,Buller,1,12,10,14,20,20,17
Venn cool fridge,Brachyscome ridigula,Buller,2,12,10,14,20,20,19
Venn cool fridge,Brachyscome ridigula,Buller,3,12,10,14,20,20,14
Venn cool fridge,Brachyscome ridigula,Buller,4,12,10,14,20,20,15
Venn cool fridge,Brachyscome ridigula,Buller,5,12,10,14,20,20,12
Venn cool fridge,Brachyscome ridigula,Buller,6,12,10,14,20,20,17
Venn cool fridge,Brachyscome ridigula,Buller,7,12,10,14,18,20,18
Venn cool fridge,Brachyscome ridigula,Buller,8,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,HWP,1,12,10,14,20,20,17
Venn cool fridge,Brachyscome ridigula,HWP,2,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,HWP,3,12,10,14,19,20,18
Venn cool fridge,Brachyscome ridigula,HWP,4,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,HWP,5,12,10,14,20,20,18
Venn cool fridge,Brachyscome ridigula,HWP,6,12,10,14,20,20,15
Venn cool fridge,Brachyscome ridigula,HWP,7,12,10,14,20,20,16
Venn cool fridge,Brachyscome ridigula,HWP,8,12,10,14,20,20,17
Venn cool fridge,Brachyscome ridigula,McKay,1,12,10,14,19,20,8
