,Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable,mass
61,Aconitum_lycoctonum,NA,NA,K_16841,Norway,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,12,20,3.896
62,Aconitum_lycoctonum,NA,NA,K_16841,Norway,NA,NA,NA,NA,NA,N,Y,N,Y,Y,16,16,17,20,3.896
63,Aconitum_lycoctonum,NA,NA,K_16841,Norway,NA,NA,NA,NA,NA,N,Y,N,Y,Y,16,16,43,50,3.896
64,Aconitum_lycoctonum,NA,NA,B_AT-3005501,Austria,NA,NA,NA,NA,NA,N,N,N,Y,N,22,22,0,20,3.896
65,Aconitum_lycoctonum,NA,NA,B_FR-2587202,France,NA,NA,NA,NA,NA,N,N,N,Y,N,22,22,0,20,3.896
66,Aconitum_nasutum,NA,NA,K_343783,Georgia,NA,NA,NA,NA,NA,N,Y,Y,Y,N,20,20,5,5,2.125
67,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,N,Y,N,6,6,0,20,2.125
68,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,Y,N,Y,Y,N,10,10,9,20,2.125
69,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,Y,Y,N,10,10,10,19,2.125
70,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,N,Y,N,11,11,0,20,2.125
71,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,Y,Y,N,11,11,14,20,2.125
72,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,Y,N,Y,Y,N,11,11,15,20,2.125
73,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,Y,Y,N,15,15,17,19,2.125
74,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,N,Y,Y,16,16,0,20,2.125
75,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,N,Y,N,16,16,0,20,2.125
76,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,N,Y,N,21,21,0,20,2.125
77,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,Y,Y,N,21,21,2,20,2.125
78,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,N,Y,Y,26,26,0,20,2.125
79,Aconitum_talassicum,NA,NA,K_16368,Russia,NA,NA,NA,NA,NA,N,N,N,Y,N,26,26,0,20,2.125
80,Adenophora_liliifolia,NA,NA,K_203580,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,N,15,15,19,19,0.5
81,Adenophora_liliifolia,NA,NA,K_203580,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,N,20,20,19,20,0.5
82,Adenostyles_alliariae,NA,NA,K_430898,Slovakia,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,6,13,2
83,Adenostyles_alliariae,NA,NA,K_430898,Slovakia,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,10,18,2
84,Adenostyles_alliariae,NA,NA,K_430898,Slovakia,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,9,17,2
85,Alchemilla_acutiloba,NA,NA,K_109350,United-Kingdom,NA,NA,NA,NA,NA,N,N,Y,Y,N,25,25,5,7,0.371
86,Alchemilla_alpina,NA,NA,K_130291,United-Kingdom,NA,NA,NA,NA,NA,Y,N,Y,Y,N,15,15,15,37,0.52
87,Alchemilla_alpina,NA,NA,K_130291,United-Kingdom,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,0,37,0.52
88,Alchemilla_glabra,NA,NA,K_122685,United-Kingdom,NA,NA,NA,NA,NA,N,N,Y,Y,N,26,26,17,18,0.51
89,Alopecurus_vaginatus,NA,NA,K_368425,Georgia,NA,NA,NA,NA,NA,Y,N,N,Y,N,10,10,4,20,0.334
90,Alopecurus_vaginatus,NA,NA,K_368425,Georgia,NA,NA,NA,NA,NA,Y,N,N,Y,Y,13.33333333,13.33333333,6,20,0.334
91,Alopecurus_vaginatus,NA,NA,K_368425,Georgia,NA,NA,NA,NA,NA,Y,N,N,Y,N,15,15,13,20,0.334
92,Alopecurus_vaginatus,NA,NA,K_368425,Georgia,NA,NA,NA,NA,NA,Y,N,N,Y,N,20,20,7,20,0.334
93,Alyssoides_utriculata,NA,NA,B_IT-3009199,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,22,22,0,20,6.226
