;CD_REF;X0;genus.species;Region;Genus_species;Niche;Altmin;Altmax;Treeline;genus;species;CD_TAXSUP;NOM_VALIDE;Tax_RefCourtname;Tax_RefLongname;RANG;HYBRIDE;INDIG_PACA;INDIG_LR;TAX_Genus;TAX_Species;TAX_Subspecies;Tax_Nomsubspieces;genus.speciesC;P1;genus.speciesL;P2;P3;altmin;altmax;altmean;altsd;altnobs;strict
12;83296;13;Arabis.caerulea;Southern Alps;Arabis caerulea;Strict;1880;3250;1880;Arabis;caerulea;189376;Arabis caerulea (All.) Haenke, 1789;Arabis caerulea;Arabis caerulea ;ES;0;I;;Arabis;caerulea;NA;caerulea;Arabis.caerulea;P;Arabis.caerulea;P;P;1212;3144;2574;283;210;TRUE
13;83546;14;Arenaria.biflora;Southern Alps;Arenaria biflora;Strict;1880;3250;1880;Arenaria;biflora;189424;Arenaria biflora L., 1767;Arenaria biflora;Arenaria biflora ;ES;0;I;I;Arenaria;biflora;NA;biflora;Arenaria.biflora;P;Arenaria.biflora;P;P;1092;3152;2425;458;73;TRUE
14;83808;15;Armeria.alpina;Southern Alps;Armeria alpina;Strict;1880;3250;1880;Armeria;alpina;189464;Armeria alpina Willd., 1809;Armeria alpina;Armeria alpina ;ES;0;I;I;Armeria;alpina;NA;alpina;Armeria.alpina;P;Armeria.alpina;P;P;607;3144;2428;307;2587;TRUE
15;83874;16;Arnica.montana;Southern Alps;Arnica montana;Strict;1390;3250;1880;Arnica;montana;189471;Arnica montana L., 1753;Arnica montana;Arnica montana ;ES;0;I;I;Arnica;montana;NA;montana;Arnica.montana;P;Arnica.montana;P;P;735;3152;2077;266;1721;FALSE
16;83973;17;Artemisia.genipi;Southern Alps;Artemisia genipi;Strict;1390;3250;1880;Artemisia;genipi;189486;Artemisia genipi Weber, 1775;Artemisia genipi;Artemisia genipi ;ES;0;I;;Artemisia;genipi;NA;genipi;Artemisia.genipi;P;Artemisia.genipi;P;P;915;3531;2649;375;550;TRUE
17;83974;18;Artemisia.glacialis;Southern Alps;Artemisia glacialis;Strict;1390;3250;1880;Artemisia;glacialis;189486;Artemisia glacialis L., 1763;Artemisia glacialis;Artemisia glacialis ;ES;0;I;;Artemisia;glacialis;NA;glacialis;Artemisia.glacialis;P;Artemisia.glacialis;P;P;862;3152;2479;348;604;TRUE
18;84053;19;Artemisia.umbelliformis;Southern Alps;Artemisia umbelliformis;Strict;1880;3250;1880;Artemisia;umbelliformis;189486;Artemisia umbelliformis Lam., 1783;Artemisia umbelliformis;Artemisia umbelliformis ;ES;0;I;I;Artemisia;umbelliformis;NA;umbelliformis;Artemisia.umbelliformis;P;Artemisia.umbelliformis;P;P;1155;3017;2577;225;558;TRUE
19;84622;20;Aster.alpinus;Southern Alps;Aster alpinus;Strict;1390;3250;1880;Aster;alpinus;189558;Aster alpinus L., 1753;Aster alpinus;Aster alpinus ;ES;0;I;I;Aster;alpinus;NA;alpinus;Aster.alpinus;P;Aster.alpinus;P;P;735;3346;2134;348;2699;FALSE
20;85602;21;Bartsia.alpina;Southern Alps;Bartsia alpina;Strict;1880;3250;1880;Bartsia;alpina;189758;Bartsia alpina L., 1753;Bartsia alpina;Bartsia alpina ;ES;0;I;I;Bartsia;alpina;NA;alpina;Bartsia.alpina;P;Bartsia.alpina;P;P;837;3067;2241;270;3369;FALSE
21;86045;22;Biscutella.laevigata;Southern Alps;Biscutella laevigata;Generalist;0;3250;1880;Biscutella;laevigata;189883;Biscutella laevigata L., 1771;Biscutella laevigata;Biscutella laevigata ;ES;0;I;I;Biscutella;laevigata;NA;laevigata;Biscutella.laevigata;P;Biscutella.laevigata;P;P;1675;1675;1675;NA;NA;NA
22;87607;23;Campanula.barbata;Southern Alps;Campanula barbata;Strict;1390;3250;1880;Campanula;barbata;190272;Campanula barbata L., 1759;Campanula barbata;Campanula barbata ;ES;0;I;;Campanula;barbata;NA;barbata;Campanula.barbata;P;Campanula.barbata;P;P;1206;2832;2038;217;293;FALSE
23;87618;24;Campanula.cenisia;Southern Alps;Campanula cenisia;Strict;1880;3250;1880;Campanula;cenisia;190272;Campanula cenisia L., 1763;Campanula cenisia;Campanula cenisia ;ES;0;I;;Campanula;cenisia;NA;cenisia;Campanula.cenisia;P;Campanula.cenisia;P;P;979;3346;2643;347;518;TRUE
24;87622;25;Campanula.cochleariifolia;Southern Alps;Campanula cochleariifolia;Generalist;1050;3250;1880;Campanula;cochleariifolia;190272;Campanula cochleariifolia Lam., 1785;Campanula cochleariifolia;Campanula cochleariifolia ;ES;0;I;I;Campanula;cochleariifolia;NA;cochleariifolia;Campanula.cochleariifolia;P;Campanula.cochleariifolia;P;P;475;3346;2151;416;2386;FALSE
25;87724;27;Campanula.scheuchzeri;Southern Alps;Campanula scheuchzeri;Strict;1390;3250;1880;Campanula;scheuchzeri;190272;Campanula scheuchzeri Vill., 1779;Campanula scheuchzeri;Campanula scheuchzeri ;ES;0;I;I;Campanula;scheuchzeri;NA;scheuchzeri;Campanula.scheuchzeri;P;Campanula.scheuchzeri;P;P;NA;NA;NA;NA;NA;NA
26;87740;28;Campanula.thyrsoides;Southern Alps;Campanula thyrsoides;Strict;1390;3250;1880;Campanula;thyrsoides;190272;Campanula thyrsoides L., 1753;Campanula thyrsoides;Campanula thyrsoides ;ES;0;I;;Campanula;thyrsoides;NA;thyrsoides;Campanula.thyrsoides;P;Campanula.thyrsoides;P;P;1458;2736;2020;189;155;FALSE
27;88380;29;Carex.bicolor;Southern Alps;Carex bicolor;Strict;1390;3250;1880;Carex;bicolor;190355;Carex bicolor All., 1785;Carex bicolor;Carex bicolor ;ES;0;I;;Carex;bicolor;NA;bicolor;Carex.bicolor;P;Carex.bicolor;P;P;1212;3144;2419;198;1287;TRUE
28;88453;30;Carex.curvula;Southern Alps;Carex curvula;Strict;1880;3250;1880;Carex;curvula;190355;Carex curvula All., 1785;Carex curvula;Carex curvula ;ES;0;I;I;Carex;curvula;NA;curvula;Carex.curvula;P;Carex.curvula;P;P;1092;3346;2394;339;205;TRUE
29;88509;31;Carex.firma;Southern Alps;Carex firma;Strict;1390;3250;1880;Carex;firma;190355;Carex firma Mygind ex Host, 1797;Carex firma;Carex firma ;ES;0;I;;Carex;firma;NA;firma;Carex.firma;P;Carex.firma;P;P;1599;2555;2358;142;71;TRUE
30;88515;32;Carex.foetida;Southern Alps;Carex foetida;Strict;1390;3250;1880;Carex;foetida;190355;Carex foetida All., 1785;Carex foetida;Carex foetida ;ES;0;I;;Carex;foetida;NA;foetida;Carex.foetida;P;Carex.foetida;P;P;928;3152;2466;267;1108;TRUE
31;88708;66;Kobresia.myosuroides;Southern Alps;Kobresia myosuroides;Strict;1880;3250;1880;Kobresia;myosuroides;NA;Carex myosuroides Vill., 1779;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;837;3346;2423;248;3763;TRUE
32;88865;33;Carex.sempervirens;Southern Alps;Carex sempervirens;Strict;1390;3250;1880;Carex;sempervirens;190355;Carex sempervirens Vill., 1787;Carex sempervirens;Carex sempervirens ;ES;0;I;I;Carex;sempervirens;NA;sempervirens;Carex.sempervirens;P;Carex.sempervirens;P;P;NA;NA;NA;NA;NA;NA
33;89968;34;Cerastium.arvense;Southern Alps;Cerastium arvense;Generalist;0;3250;1880;Cerastium;arvense;190485;Cerastium arvense L., 1753;Cerastium arvense;Cerastium arvense ;ES;0;I;I;Cerastium;arvense;NA;arvense;Cerastium.arvense;P;Cerastium.arvense;P;P;168;3346;1965;453;2304;FALSE
34;90042;35;Cerastium.latifolium;Southern Alps;Cerastium latifolium;Strict;1880;3250;1880;Cerastium;latifolium;190485;Cerastium latifolium L., 1753;Cerastium latifolium;Cerastium latifolium ;ES;0;I;;Cerastium;latifolium;NA;latifolium;Cerastium.latifolium;P;Cerastium.latifolium;P;P;915;3295;2554;314;1496;TRUE
35;90071;36;Cerastium.pedunculatum;Southern Alps;Cerastium pedunculatum;Strict;1880;3250;1880;Cerastium;pedunculatum;190485;Cerastium pedunculatum Gaudin, 1828;Cerastium pedunculatum;Cerastium pedunculatum ;ES;0;I;;Cerastium;pedunculatum;NA;pedunculatum;Cerastium.pedunculatum;P;Cerastium.pedunculatum;P;P;1645;3293;2598;269;95;TRUE
36;90116;37;Cerastium.uniflorum;Southern Alps;Cerastium uniflorum;Strict;1880;4810;1880;Cerastium;uniflorum;190485;Cerastium uniflorum Clairv., 1811;Cerastium uniflorum;Cerastium uniflorum ;ES;0;I;;Cerastium;uniflorum;NA;uniflorum;Cerastium.uniflorum;P;Cerastium.uniflorum;P;P;1100;3531;2824;409;38;TRUE
37;91410;38;Cirsium.spinosissimum;Southern Alps;Cirsium spinosissimum;Strict;1390;3250;1880;Cirsium;spinosissimum;190854;Cirsium spinosissimum (L.) Scop., 1769;Cirsium spinosissimum;Cirsium spinosissimum ;ES;0;I;;Cirsium;spinosissimum;NA;spinosissimum;Cirsium.spinosissimum;P;Cirsium.spinosissimum;P;P;947;3346;2403;253;2511;TRUE
38;92220;39;Comastoma.tenellum;Southern Alps;Comastoma tenellum;Strict;1880;3250;1880;Comastoma;tenellum;715630;Comastoma tenellum (Rottb.) Toyok., 1961;Comastoma tenellum;Comastoma tenellum ;ES;0;I;I;Comastoma;tenellum;NA;tenellum;Comastoma.tenellum;P;Comastoma.tenellum;P;P;1429;3144;2389;282;323;TRUE
39;95322;41;Draba.hoppeana;Southern Alps;Draba hoppeana;Strict;1880;3250;1880;Draba;hoppeana;191944;Draba hoppeana Rchb., 1828;Draba hoppeana;Draba hoppeana ;ES;0;I;;Draba;hoppeana;NA;hoppeana;Draba.hoppeana;P;Draba.hoppeana;P;P;NA;NA;NA;NA;NA;NA
40;95461;43;Dryas.octopetala;Southern Alps;Dryas octopetala;Strict;1390;3250;1880;Dryas;octopetala;191970;Dryas octopetala L., 1753;Dryas octopetala;Dryas octopetala ;ES;0;I;I;Dryas;octopetala;NA;octopetala;Dryas.octopetala;P;Dryas.octopetala;P;P;723;3346;2205;286;5167;FALSE
41;96844;44;Eriophorum.angustifolium;Southern Alps;Eriophorum angustifolium;Generalist;0;3250;1880;Eriophorum;angustifolium;192302;Eriophorum angustifolium Honck., 1782;Eriophorum angustifolium;Eriophorum angustifolium ;ES;0;I;I;Eriophorum;angustifolium;NA;angustifolium;Eriophorum.angustifolium;P;Eriophorum.angustifolium;P;P;5;2920;2179;335;1468;FALSE
42;96859;45;Eriophorum.scheuchzeri;Southern Alps;Eriophorum scheuchzeri;Strict;1390;3250;1880;Eriophorum;scheuchzeri;192302;Eriophorum scheuchzeri Hoppe, 1800;Eriophorum scheuchzeri;Eriophorum scheuchzeri ;ES;0;I;I;Eriophorum;scheuchzeri;NA;scheuchzeri;Eriophorum.scheuchzeri;P;Eriophorum.scheuchzeri;P;P;723;2920;2432;249;658;TRUE
43;98054;46;Festuca.alpina;Southern Alps;Festuca alpina;Strict;1390;3250;1880;Festuca;alpina;192551;Festuca alpina Suter, 1802;Festuca alpina;Festuca alpina ;ES;0;I;I;Festuca;alpina;NA;alpina;Festuca.alpina;P;Festuca.alpina;P;P;771;3165;2508;328;109;TRUE
44;98272;47;Festuca.halleri;Southern Alps;Festuca halleri;Strict;1390;3250;1880;Festuca;halleri;192551;Festuca halleri All., 1785 (s. str.);Festuca halleri;Festuca halleri ;ES;0;I;;Festuca;halleri;NA;halleri;Festuca.halleri;P;Festuca.halleri;P;P;928;3150;2467;264;982;TRUE
45;98477;49;Festuca.quadriflora;Southern Alps;Festuca quadriflora;Strict;1390;3250;1880;Festuca;quadriflora;NA;Festuca pumila Chaix, 1785;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;735;3346;2423;301;1925;TRUE
46;98527;50;Festuca.scabriculmis;Southern Alps;Festuca scabriculmis;Strict;1390;3250;1880;Festuca;scabriculmis;192551;Festuca scabriculmis (Hack.) K.Richt., 1890;Festuca scabriculmis;Festuca scabriculmis ;ES;0;I;;Festuca;scabriculmis;NA;scabriculmis;Festuca.scabriculmis;P;Festuca.scabriculmis;P;P;837;2952;2258;308;587;TRUE
47;98607;51;Festuca.violacea;Southern Alps;Festuca violacea;Strict;1390;3250;1880;Festuca;violacea;192551;Festuca violacea Schleich. ex Gaudin, 1808;Festuca violacea;Festuca violacea ;ES;0;I;;Festuca;violacea;NA;violacea;Festuca.violacea;P;Festuca.violacea;P;P;800;3293;2329;316;5459;TRUE
48;99854;53;Gentiana.acaulis;Southern Alps;Gentiana acaulis;Strict;1390;3250;1880;Gentiana;acaulis;192750;Gentiana acaulis L., 1753;Gentiana acaulis;Gentiana acaulis ;ES;0;I;I;Gentiana;acaulis;NA;acaulis;Gentiana.acaulis;P;Gentiana.acaulis;P;P;735;3241;2140;307;1875;FALSE
49;99870;54;Gentiana.brachyphylla;Southern Alps;Gentiana brachyphylla;Strict;1880;3250;1880;Gentiana;brachyphylla;192750;Gentiana brachyphylla Vill., 1779;Gentiana brachyphylla;Gentiana brachyphylla ;ES;0;I;I;Gentiana;brachyphylla;NA;brachyphylla;Gentiana.brachyphylla;P;Gentiana.brachyphylla;P;P;1062;3150;2479;241;1234;TRUE
50;99878;55;Gentiana.clusii;Southern Alps;Gentiana clusii;Strict;1390;3250;1880;Gentiana;clusii;192750;Gentiana clusii Perrier & Songeon, 1855;Gentiana clusii;Gentiana clusii ;ES;0;;I;Gentiana;clusii;NA;clusii;Gentiana.clusii;P;Gentiana.clusii;P;P;NA;NA;NA;NA;NA;NA
51;99910;56;Gentiana.nivalis;Southern Alps;Gentiana nivalis;Strict;1880;3250;1880;Gentiana;nivalis;192750;Gentiana nivalis L., 1753;Gentiana nivalis;Gentiana nivalis ;ES;0;I;I;Gentiana;nivalis;NA;nivalis;Gentiana.nivalis;P;Gentiana.nivalis;P;P;278;3144;2293;317;877;TRUE
52;99928;57;Gentiana.punctata;Southern Alps;Gentiana punctata;Strict;1390;3250;1880;Gentiana;punctata;192750;Gentiana punctata L., 1753;Gentiana punctata;Gentiana punctata ;ES;0;I;;Gentiana;punctata;NA;punctata;Gentiana.punctata;P;Gentiana.punctata;P;P;915;3346;2259;299;616;TRUE
53;99953;58;Gentiana.verna;Southern Alps;Gentiana verna;Generalist;1050;3250;1880;Gentiana;verna;192750;Gentiana verna L., 1753;Gentiana verna;Gentiana verna ;ES;0;I;I;Gentiana;verna;NA;verna;Gentiana.verna;P;Gentiana.verna;P;P;411;3067;2158;379;3802;FALSE
54;100208;60;Geum.montanum;Southern Alps;Geum montanum;Strict;1390;3250;1880;Geum;montanum;192780;Geum montanum L., 1753;Geum montanum;Geum montanum ;ES;0;I;I;Geum;montanum;NA;montanum;Geum.montanum;P;Geum.montanum;P;P;342;3031;2295;272;7133;TRUE
55;100515;61;Gnaphalium.supinum;Southern Alps;Gnaphalium supinum;Strict;1880;3250;1880;Gnaphalium;supinum;192858;Gnaphalium supinum L., 1768;Gnaphalium supinum;Gnaphalium supinum ;ES;0;I;I;Gnaphalium;supinum;NA;supinum;Gnaphalium.supinum;P;Gnaphalium.supinum;P;P;867;3152;2471;256;1107;TRUE
56;104362;65;Juncus.trifidus;Southern Alps;Juncus trifidus;Strict;1390;3250;1880;Juncus;trifidus;193689;Juncus trifidus L., 1753;Juncus trifidus;Juncus trifidus ;ES;0;I;I;Juncus;trifidus;NA;trifidus;Juncus.trifidus;P;Juncus.trifidus;P;P;523;3152;2339;303;2057;TRUE
57;105502;67;Leontodon.hispidus;Southern Alps;Leontodon hispidus;Generalist;0;4810;1880;Leontodon;hispidus;193954;Leontodon hispidus L., 1753;Leontodon hispidus;Leontodon hispidus ;ES;0;I;I;Leontodon;hispidus;NA;hispidus;Leontodon.hispidus;P;Leontodon.hispidus;P;P;1;2752;1693;564;248;FALSE
58;105765;69;Leucanthemopsis.alpina;Southern Alps;Leucanthemopsis alpina;Strict;1880;3250;1880;Leucanthemopsis;alpina;194068;Leucanthemopsis alpina (L.) Heywood, 1975;Leucanthemopsis alpina;Leucanthemopsis alpina ;ES;0;I;I;Leucanthemopsis;alpina;NA;alpina;Leucanthemopsis.alpina;P;Leucanthemopsis.alpina;P;P;NA;NA;NA;NA;NA;NA
59;106144;70;Linaria.alpina;Southern Alps;Linaria alpina;Generalist;1050;4810;1880;Linaria;alpina;194168;Linaria alpina (L.) Mill., 1768;Linaria alpina;Linaria alpina ;ES;0;I;I;Linaria;alpina;NA;alpina;Linaria.alpina;P;Linaria.alpina;P;P;NA;NA;NA;NA;NA;NA
60;106813;72;Luzula.alpinopilosa;Southern Alps;Luzula alpinopilosa;Strict;1390;3250;1880;Luzula;alpinopilosa;194322;Luzula alpinopilosa (Chaix) Breistr., 1947;Luzula alpinopilosa;Luzula alpinopilosa ;ES;0;I;I;Luzula;alpinopilosa;NA;alpinopilosa;Luzula.alpinopilosa;P;Luzula.alpinopilosa;P;P;928;3152;2373;327;749;TRUE
61;106859;73;Luzula.spicata;Southern Alps;Luzula spicata;Strict;1390;3250;1880;Luzula;spicata;194322;Luzula spicata (L.) DC., 1805;Luzula spicata;Luzula spicata ;ES;0;I;I;Luzula;spicata;NA;spicata;Luzula.spicata;P;Luzula.spicata;P;P;NA;NA;NA;NA;NA;NA
62;108621;74;Minuartia.verna;Southern Alps;Minuartia verna;Generalist;0;3250;1880;Minuartia;verna;194796;Minuartia verna (L.) Hiern, 1899;Minuartia verna;Minuartia verna ;ES;0;I;I;Minuartia;verna;NA;verna;Minuartia.verna;P;Minuartia.verna;P;P;607;3087;2260;340;2353;TRUE
63;108987;75;Myosotis.alpestris;Southern Alps;Myosotis alpestris;Strict;1390;3250;1880;Myosotis;alpestris;195001;Myosotis alpestris F.W.Schmidt, 1794;Myosotis alpestris;Myosotis alpestris ;ES;0;I;I;Myosotis;alpestris;NA;alpestris;Myosotis.alpestris;P;Myosotis.alpestris;P;P;551;3117;2207;365;5649;FALSE
64;109366;76;Nardus.stricta;Southern Alps;Nardus stricta;Strict;1390;3250;1880;Nardus;stricta;195069;Nardus stricta L., 1753;Nardus stricta;Nardus stricta ;ES;0;I;I;Nardus;stricta;NA;stricta;Nardus.stricta;P;Nardus.stricta;P;P;165;3346;2203;283;8068;FALSE
65;111960;77;Oxyria.digyna;Southern Alps;Oxyria digyna;Strict;1880;3250;1880;Oxyria;digyna;195627;Oxyria digyna (L.) Hill, 1768;Oxyria digyna;Oxyria digyna ;ES;0;I;I;Oxyria;digyna;NA;digyna;Oxyria.digyna;P;Oxyria.digyna;P;P;1039;3346;2526;314;995;TRUE
66;112276;79;Papaver.alpinum;Southern Alps;Papaver alpinum;Strict;1390;3250;1880;Papaver;alpinum;195739;Papaver alpinum L., 1753;Papaver alpinum;Papaver alpinum ;ES;0;I;I;Papaver;alpinum;NA;alpinum;Papaver.alpinum;P;Papaver.alpinum;P;P;NA;NA;NA;NA;NA;NA
67;112602;81;Pedicularis.tuberosa;Southern Alps;Pedicularis tuberosa;Strict;1390;3250;1880;Pedicularis;tuberosa;195895;Pedicularis tuberosa L., 1753;Pedicularis tuberosa;Pedicularis tuberosa ;ES;0;I;;Pedicularis;tuberosa;NA;tuberosa;Pedicularis.tuberosa;P;Pedicularis.tuberosa;P;P;979;2908;2144;283;589;FALSE
68;113175;82;Phleum.alpinum;Southern Alps;Phleum alpinum;Strict;1390;3250;1880;Phleum;alpinum;196129;Phleum alpinum L., 1753 (s. str.);Phleum alpinum;Phleum alpinum ;ES;0;I;I;Phleum;alpinum;NA;alpinum;Phleum.alpinum;P;Phleum.alpinum;P;P;1584;2698;2243;220;126;FALSE
69;113381;83;Phyteuma.hemisphaericum;Southern Alps;Phyteuma hemisphaericum;Strict;1390;3250;1880;Phyteuma;hemisphaericum;196249;Phyteuma hemisphaericum L., 1753;Phyteuma hemisphaericum;Phyteuma hemisphaericum ;ES;0;I;I;Phyteuma;hemisphaericum;NA;hemisphaericum;Phyteuma.hemisphaericum;P;Phyteuma.hemisphaericum;P;P;989;3144;2396;291;641;TRUE
70;113525;85;Pilosella.officinarum;Southern Alps;Pilosella officinarum;Generalist;0;3250;1880;Pilosella;officinarum;715557;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862;Pilosella officinarum;Pilosella officinarum ;ES;0;I;I;Pilosella;officinarum;NA;officinarum;Pilosella.officinarum;P;Pilosella.officinarum;P;P;-8;2899;1057;667;8121;FALSE
71;113624;86;Pinguicula.leptoceras;Southern Alps;Pinguicula leptoceras;Strict;1390;3250;1880;Pinguicula;leptoceras;196288;Pinguicula leptoceras Rchb., 1823;Pinguicula leptoceras;Pinguicula leptoceras ;ES;0;I;;Pinguicula;leptoceras;NA;leptoceras;Pinguicula.leptoceras;P;Pinguicula.leptoceras;P;P;2115;2438;2278;169;4;TRUE
72;114105;89;Poa.alpina;Southern Alps;Poa alpina;Strict;1390;3250;1880;Poa;alpina;196467;Poa alpina L., 1753;Poa alpina;Poa alpina ;ES;0;I;I;Poa;alpina;NA;alpina;Poa.alpina;P;Poa.alpina;P;P;706;3531;2224;371;7748;FALSE
73;114523;90;Polygala.alpina;Southern Alps;Polygala alpina;Strict;1390;3250;1880;Polygala;alpina;196529;Polygala alpina (DC.) Steud., 1821;Polygala alpina;Polygala alpina ;ES;0;I;I;Polygala;alpina;NA;alpina;Polygala.alpina;P;Polygala.alpina;P;P;448;2801;2081;347;555;FALSE
74;115414;91;Potentilla.aurea;Southern Alps;Potentilla aurea;Strict;1390;3250;1880;Potentilla;aurea;196618;Potentilla aurea L., 1756;Potentilla aurea;Potentilla aurea ;ES;0;I;I;Potentilla;aurea;NA;aurea;Potentilla.aurea;P;Potentilla.aurea;P;P;735;2932;2303;270;1553;TRUE
75;115837;92;Primula.auricula;Southern Alps;Primula auricula;Strict;1390;3250;1880;Primula;auricula;196635;Primula auricula L., 1753;Primula auricula;Primula auricula ;ES;0;I;;Primula;auricula;NA;auricula;Primula.auricula;P;Primula.auricula;P;P;1450;2063;1809;127;33;FALSE
76;115868;93;Primula.farinosa;Southern Alps;Primula farinosa;Generalist;1050;3250;1880;Primula;farinosa;196635;Primula farinosa L., 1753;Primula farinosa;Primula farinosa ;ES;0;I;;Primula;farinosa;NA;farinosa;Primula.farinosa;P;Primula.farinosa;P;P;729;2988;2035;394;2261;FALSE
77;115883;95;Primula.integrifolia;Southern Alps;Primula integrifolia;Strict;1880;3250;1880;Primula;integrifolia;196635;Primula integrifolia L., 1753;Primula integrifolia;Primula integrifolia ;ES;0;;I;Primula;integrifolia;NA;integrifolia;Primula.integrifolia;P;Primula.integrifolia;P;P;NA;NA;NA;NA;NA;NA
78;117125;96;Ranunculus.montanus;Southern Alps;Ranunculus montanus;Generalist;1050;3250;1880;Ranunculus;montanus;NA;Ranunculus montanus Willd., 1799;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;117601;97;Rhinanthus.glacialis;Southern Alps;Rhinanthus glacialis;Strict;1390;3250;1880;Rhinanthus;glacialis;197131;Rhinanthus glacialis Personnat, 1863;Rhinanthus glacialis;Rhinanthus glacialis ;ES;0;I;;Rhinanthus;glacialis;NA;glacialis;Rhinanthus.glacialis;P;Rhinanthus.glacialis;P;P;1589;2422;1955;219;75;FALSE
80;117679;98;Rhododendron.ferrugineum;Southern Alps;Rhododendron ferrugineum;Strict;1390;3250;1880;Rhododendron;ferrugineum;197174;Rhododendron ferrugineum L., 1753;Rhododendron ferrugineum;Rhododendron ferrugineum ;ES;0;I;I;Rhododendron;ferrugineum;NA;ferrugineum;Rhododendron.ferrugineum;P;Rhododendron.ferrugineum;P;P;735;3002;2043;296;7737;FALSE
