"TPLName","Alpine"
"Leontopodium japonicum","Lowland"
"Leontopodium leontopodioides","Lowland"
"Leontopodium microphyllum","Lowland"
"Leonurus japonicus","Lowland"
"Lepidium cuneiforme","Lowland"
"Lespedeza davurica","Lowland"
"Leucanthemum vulgare","Lowland"
"Libanotis seseloides","Lowland"
"Ligularia fischeri","Lowland"
"Ligularia przewalskii","Lowland"
"Ligularia sagitta","Lowland"
"Ligularia veitchiana","Lowland"
"Ligusticum moniliforme","Lowland"
"Lilium callosum","Lowland"
"Lilium duchartrei","Lowland"
"Lilium pumilum","Lowland"
"Linum amurense","Lowland"
"Linum catharticum","Lowland"
"Linum pallescens","Lowland"
"Linum usitatissimum","Lowland"
"Lolium persicum","Lowland"
"Lotus corniculatus","Lowland"
"Luzula campestris","Lowland"
"Luzula multiflora","Lowland"
"Luzula sylvatica","Lowland"
"Lysimachia barystachys","Lowland"
"Macleaya microcarpa","Lowland"
"Malcolmia africana","Lowland"
"Malva verticillata","Lowland"
"Medicago lupulina","Lowland"
"Medicago minima","Lowland"
"Medicago ruthenica","Lowland"
"Medicago sativa","Lowland"
"Melica onoei","Lowland"
"Melilotus albus","Lowland"
"Melilotus officinalis","Lowland"
"Melilotus suaveolens","Lowland"
"Meum athamanticum","Lowland"
"Mimulus szechuanensis","Lowland"
"Muhlenbergia huegelii","Lowland"
"Nabalus tatarinowii","Lowland"
"Neopallasia pectinata","Lowland"
"Nepeta densiflora","Lowland"
"Nepeta multifida","Lowland"
"Nepeta tenuifolia","Lowland"
"Notopterygium forrestii","Lowland"
"Olgaea tangutica","Lowland"
"Orostachys fimbriata","Lowland"
"Oxalis corniculata","Lowland"
"Oxytropis coerulea","Lowland"
"Oxytropis halleri","Lowland"
"Oxytropis longipedunculata","Lowland"
"Oxytropis xinglongshanica","Lowland"
"Parasenecio deltophyllus","Lowland"
"Parasenecio roborowskii","Lowland"
"Parasenecio sinicus","Lowland"
"Parietaria debilis","Lowland"
"Parnassia palustris","Lowland"
"Patrinia heterophylla","Lowland"
"Pedicularis albiflora","Lowland"
"Pedicularis cristatella","Lowland"
"Pedicularis rudis","Lowland"
"Pedicularis schizorrhyncha","Lowland"
"Pedicularis spicata","Lowland"
"Pedicularis striata","Lowland"
"Peganum harmala","Lowland"
"Peganum multisectum","Lowland"
"Pennisetum glaucum","Lowland"
"Persicaria amphibia","Lowland"
"Persicaria bistorta","Lowland"
"Persicaria hydropiper","Lowland"
"Persicaria nepalensis","Lowland"
"Persicaria orientalis","Lowland"
"Pertya discolor","Lowland"
"Peucedanum praeruptorum","Lowland"
"Philadelphus incanus","Lowland"
"Phlomoides dentosa","Lowland"
"Phlomoides kansuensis","Lowland"
"Phlomoides umbrosa","Lowland"
"Phragmites australis","Lowland"
"Phtheirospermum japonicum","Lowland"
"Phyteuma nigrum","Lowland"
"Phyteuma orbiculare","Lowland"
"Phytolacca acinosa","Lowland"
"Picris hieracioides","Lowland"
"Pilea pumila","Lowland"
"Pimpinella diversifolia","Lowland"
"Pimpinella major","Lowland"
"Pimpinella saxifraga","Lowland"
"Pinguicula poldinii","Lowland"
"Piptatherum tibeticum","Lowland"
"Plantago asiatica","Lowland"
"Plantago major","Lowland"
"Plantago maritima","Lowland"
"Plantago media","Lowland"
"Pleurospermum cristatum","Lowland"
"Pleurospermum uralense","Lowland"
"Plumbagella micrantha","Lowland"
"Poa faberi","Lowland"
"Poa nemoralis","Lowland"
"Poa nepalensis","Lowland"
"Polemonium chinense","Lowland"
"Polygonatum verticillatum","Lowland"
"Polygonum dissitiflorum","Lowland"
"Polygonum divaricatum","Lowland"
"Polygonum multiflorum","Lowland"
"Polygonum thunbergii","Lowland"
"Polypogon fugax","Lowland"
"Portulaca oleracea","Lowland"
"Potentilla chinensis","Lowland"
"Potentilla conferta","Lowland"
"Potentilla supina","Lowland"
"Potentilla tanacetifolia","Lowland"
"Primula elatior","Lowland"
"Primula nutans","Lowland"
"Primula polyneura","Lowland"
"Primula veris","Lowland"
"Prunella vulgaris","Lowland"
"Pternopetalum heterophyllum","Lowland"
"Pycreus sanguinolentus","Lowland"
"Ranunculus japonicus","Lowland"
"Ranunculus pedatifidus","Lowland"
"Ranunculus serpens","Lowland"
"Rhododendron anthopogonoides","Lowland"
"Rodgersia aesculifolia","Lowland"
"Roegneria nutans","Lowland"
"Rorippa palustris","Lowland"
"Rumex acetosa","Lowland"
"Rumex acetosella","Lowland"
"Rumex aquaticus","Lowland"
"Rumex crispus","Lowland"
"Rumex patientia","Lowland"
"Rumex pseudonatronatus","Lowland"
"Salsola collina","Lowland"
"Salvia flava","Lowland"
"Salvia przewalskii","Lowland"
"Salvia roborowskii","Lowland"
"Salvia tricuspis","Lowland"
"Sambucus javanica","Lowland"
"Sanguisorba officinalis","Lowland"
"Saposhnikovia divaricata","Lowland"
"Saussurea iodostegia","Lowland"
"Saussurea japonica","Lowland"
"Saussurea macrota","Lowland"
"Saussurea mongolica","Lowland"
"Saussurea neofranchetii","Lowland"
"Saussurea nigrescens","Lowland"
"Saussurea oligantha","Lowland"
"Saussurea parviflora","Lowland"
"Saussurea salicifolia","Lowland"
"Saussurea variiloba","Lowland"
"Scabiosa columbaria","Lowland"
"Schoenoplectus triqueter","Lowland"
"Scleranthus perennis","Lowland"
"Scorzonera austriaca","Lowland"
"Scrofella chinensis","Lowland"
"Scrophularia incisa","Lowland"
"Scutellaria baicalensis","Lowland"
"Scutellaria rehderiana","Lowland"
"Sedum aizoon","Lowland"
"Sedum roseum","Lowland"
"Sedum sarmentosum","Lowland"
"Sedum stellariifolium","Lowland"
"Sempervivum arachnoideum","Lowland"
"Senecio densiserratus","Lowland"
"Senecio diversipinnus","Lowland"
"Senecio flammeus","Lowland"
"Serratula centauroides","Lowland"
"Serratula strangulata","Lowland"
"Seseli libanotis","Lowland"
"Seseli squarrulosum","Lowland"
"Setaria glauca","Lowland"
"Setaria viridis","Lowland"
"Sibbaldianthe bifurca","Lowland"
"Sibiraea angustata","Lowland"
"Sigesbeckia pubescens","Lowland"
"Silene aprica","Lowland"
"Silene baccifera","Lowland"
"Silene conoidea","Lowland"
"Silene fortunei","Lowland"
"Silene gracilicaulis","Lowland"
"Silene nutans","Lowland"
"Silene pterosperma","Lowland"
"Silene repens","Lowland"
"Sinacalia tangutica","Lowland"
"Sinosenecio euosmus","Lowland"
"Solanum americanum","Lowland"
"Solanum hoehnei","Lowland"
"Sonchus arvensis","Lowland"
"Sonchus asper","Lowland"
"Sonchus transcaspicus","Lowland"
"Sphallerocarpus gracilis","Lowland"
"Stachys affinis","Lowland"
"Stachys aspera","Lowland"
"Stellaria aquatica","Lowland"
"Stellaria dianthifolia","Lowland"
"Stellaria graminea","Lowland"
"Stellaria media","Lowland"
"Stellaria neglecta","Lowland"
"Stellaria palustris","Lowland"
"Stellaria parviumbellata","Lowland"
"Stipa baicalensis","Lowland"
"Stipa bungeana","Lowland"
"Stipa pekinensis","Lowland"
"Stipa przewalskyi","Lowland"
"Stipa sibirica","Lowland"
"Swertia bimaculata","Lowland"
"Swertia diluta","Lowland"
"Swertia franchetiana","Lowland"
"Swertia tetraptera","Lowland"
"Taraxacum campylodes","Lowland"
"Taraxacum mongolicum","Lowland"
"Tephroseris rufa","Lowland"
"Thalictrum cultratum","Lowland"
"Thalictrum macrorhynchum","Lowland"
"Thalictrum minus","Lowland"
"Thalictrum petaloideum","Lowland"
"Thalictrum przewalskii","Lowland"
"Thalictrum uncatum","Lowland"
"Thermopsis lanceolata","Lowland"
"Thesium refractum","Lowland"
"Thlaspi arvense","Lowland"
"Thymus michaelis","Lowland"
"Thymus mongolicus","Lowland"
"Thymus praecox","Lowland"
"Thymus pulegioides","Lowland"
"Thymus serpyllum","Lowland"
"Tofieldia calyculata","Lowland"
"Torilis japonica","Lowland"
"Torilis scabra","Lowland"
"Tragus berteronianus","Lowland"
"Trifolium alpestre","Lowland"
"Trifolium montanum","Lowland"
"Trifolium repens","Lowland"
"Trigonella foenum-graecum","Lowland"
"Tripora divaricata","Lowland"
"Trisetum flavescens","Lowland"
"Turritis brassica","Lowland"
"Urtica cannabina","Lowland"
"Vaccaria hispanica","Lowland"
"Vaccinium myrtillus","Lowland"
"Vaccinium uliginosum","Lowland"
"Vaccinium vitis-idaea","Lowland"
"Valeriana officinalis","Lowland"
"Valeriana pseudofficinalis","Lowland"
"Verbena officinalis","Lowland"
"Veronica anagallis-aquatica","Lowland"
"Veronica biloba","Lowland"
"Veronica chamaedrys","Lowland"
"Veronica rockii","Lowland"
"Vicia amoena","Lowland"
"Vicia sativa","Lowland"
"Vicia tetrasperma","Lowland"
"Vicia unijuga","Lowland"
"Xanthopappus subacaulis","Lowland"
"Zygophyllum macracanthum","Lowland"
"Zygophyllum mucronatum","Lowland"
"Carex iynx","Lowland"
"Leucochrysum albicans","Lowland"
"Euchiton involucratus","Lowland"
"Brachyscome staceae","Lowland"
"Epacris purpurascens","Lowland"
"Geum urbanum","Lowland"
"Gingidia harveyana","Lowland"
"Wahlenbergia stricta","Lowland"
"Coronidium waddelliae","Lowland"
"Coronidium gunnianum","Lowland"
"Epilobium billardierianum","Lowland"
"Carex brownii","Lowland"
"Stachys albicaulis","Lowland"
"Diplolepis mucronata","Lowland"
"Ditassa albonerva","Lowland"
"Acaena alpina","Lowland"
"Calceolaria biflora","Lowland"
"Calandrinia sericea","Lowland"
"Lupinus microcarpus","Lowland"
"Adesmia papposa","Lowland"
"Sisyrinchium striatum","Lowland"
"Verbascum thapsus","Lowland"
"Campanula raineri","Lowland"
"Pedicularis palustris","Lowland"
"Phleum hirsutum","Lowland"
"Silene dioica","Lowland"
"Alyssum murale","Lowland"
"Hypericum richeri","Lowland"
"Myricaria germanica","Lowland"
"Allium insubricum","Lowland"
"Aconitum tauricum","Lowland"
"Phyteuma scheuchzeri","Lowland"
"Rhaponticum bicknellii","Lowland"
"Plantago lanceolata","Lowland"
"Viola dubyana","Lowland"
"Hornungia pauciflora","Lowland"
"Verbascum alpinum","Lowland"
"Polemonium caeruleum","Lowland"
"Centaurea scabiosa","Lowland"
"Laserpitium peucedanoides","Lowland"
"Silene saxifraga","Lowland"
"Horminum pyrenaicum","Lowland"
"Serratula tinctoria","Lowland"
"Telekia speciosissima","Lowland"
"Minuartia graminifolia","Lowland"
"Sanguisorba dodecandra","Lowland"
"Saxifraga tombeanensis","Lowland"
"Saxifraga vandellii","Lowland"
"Ribes alpinum","Lowland"
"Rumex alpinus","Lowland"
"Silene quadridentata","Lowland"
"Valeriana montana","Lowland"
"Festuca spectabilis","Lowland"
"Potentilla grammopetala","Lowland"
"Senecio integerrimus","Lowland"
"Moehringia glaucovirens","Lowland"
"Laserpitium nitidum","Lowland"
"Eriophorum vaginatum","Lowland"
"Carduus carduelis","Lowland"
"Aquilegia einseleana","Lowland"
"Menyanthes trifoliata","Lowland"
"Primula matthioli","Lowland"
"Epilobium alpestre","Lowland"
"Silene elisabethae","Lowland"
"Allium beesianum","Lowland"
"Allium macranthum","Lowland"
"Gentiana stipitata","Lowland"
"Codonopsis canescens","Lowland"
"Heteropappus crenatifolius","Lowland"
"Achnatherum psilantherum","Lowland"
"Codonopsis viridiflora","Lowland"
"Corydalis pseudimpatiens","Lowland"
"Stipa inebrians","Lowland"
"Anaphalis bicolor","Lowland"
"Eremogone przewalskii","Lowland"
"Rhodiola dumulosa","Lowland"
"Hedysarum tanguticum","Lowland"
"Juncus potaninii","Lowland"
"Viola bulbosa","Lowland"
"Aster poliothamnus","Lowland"
"Poa sinoglauca","Lowland"
"Pedicularis ingens","Lowland"
"Gentiana algida","Lowland"
"Elymus durus","Lowland"
"Pimpinella smithii","Lowland"
"Gentiana officinalis","Lowland"
